"Anna Johansson","Herr talman! Sten Bergheden har frågat mig när det kommer ett beslut om att vi kan öka tyngden till 64 ton och när vi kan få beslut på att öka till 74 ton. Låt mig först säga att välfungerande och hållbara vägtransporter i hela landet är en prioriterad fråga för regeringen. Vårt mål är att minska miljöpåverkan från transportsektorn och flytta långväga godstransporter från lastbil till tåg och sjöfart. Vi behöver fortsätta att effektivisera transportsystemet, minska dess miljöpåverkan och öka säkerheten. Ett sätt att uppnå dessa mål skulle kunna vara att tillåta större fordon med högre lastkapacitet. Jag är därför positiv till att Transportstyrelsen och Trafikverket fick i uppdrag att utreda möjligheterna att tillåta tyngre lastbilar på det allmänna vägnätet. Det finns dock ett antal frågeställningar som måste klaras ut innan regeringen kan ta ställning till om tyngre lastbilar på det allmänna vägnätet är en lämplig åtgärd sett i ett helhetsperspektiv. Ett effektivt utnyttjande av lastbilsflottan är positivt, till exempel om tyngre lastbilar gör det möjligt att transportera samma mängd gods med färre lastbilar. Högre bruttovikter resulterar i princip i sänkta kostnader och minskade utsläpp av koldioxid per transporterat ton gods. Flera remissinstanser pekar dock på att de lägre transportkostnaderna kan innebära att gods förs över från järnväg till väg med risk för ökade koldioxidutsläpp som följd. En annan viktig fråga är behovet av investeringar i infrastrukturen och vem som i så fall ska bekosta dessa investeringar. Jag ber därför att få återkomma med svar på frågan om när detta kommer att införas. ","S"
"Sten Bergheden"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag tackar infrastrukturministern för svaret, även om jag kanske hade hoppats på en lite mer offensiv attityd från regeringen i denna fråga. Jag hade hoppats på att vi redan nu skulle ha haft beslutet om att kunna köra 64 ton och att man eventuellt redan skulle ha planerat vidare för 74 ton. Vi vet att våra åkeriföretag har en tuff konkurrenssituation. Vi i Alliansen gav Transportstyrelsen ett uppdrag om utredning eller rapport om att stärka möjligheten för åkeriföretag och andra företag att transportera mer på sina resor när de ändå sker. Det skulle stärka företagens allmänna konkurrenskraft i landet. Vi beställde utredningen i april 2014, och den var klar den 18 augusti 2014. Därefter har den varit ute på remiss. Man pekar i rapporten tydligt på att det skulle gynna svenska jobb, stärka vår konkurrenskraft och minska utsläppen av miljöfarliga avgaser från lastbilar om man skulle göra så här. Dieselbehovet skulle minska med ungefär 20 procent. Herr talman! En annan sak som vi har gjort är att vi har försökt få bort den olagliga delen av åkerinäringen genom införande av klampning, sanktionsavgifter för brott mot cabotagetrafiken och krav på frakthandlingar i bil. Vi går också vidare med att skärpa beställaransvaret. Detta gör vi för att få bort den olagliga delen av trafiken på våra vägar. Men vi vet att konkurrenssituationen är tuff, och därför behöver man titta vidare på vad vi kan göra för att stärka svensk åkerinäring och svenska företags konkurrenskraft. Det är anledningen till att denna fråga tas upp. Det är även så att Finland har infört 76 ton sedan oktober 2013. Jag utgår från att det som visat sig fullt möjligt i Finland också borde kunna vara möjligt här i Sverige. Utredningen pekar tydligt på att man i stort sett omgående skulle kunna ta ett beslut om 64 ton och sedan gå vidare med 74 ton med vissa broförstärkningar och lite annat, vilket kan kräva en del renoveringskostnader. Men 64 ton skulle ungefär 90 procent av det statliga vägnätet klara redan i dag. Herr talman! Vi vet också att remissinstanserna har varit positiva till att höja vikterna till 64 ton respektive 74 ton och även öka längden på våra fordon upp till 32 meter. Våra lastbilstillverkare i Sverige arbetar aktivt med att få fram olika system för att kunna förlänga lastbilarna och öka vikten till 74 ton. Jag har själv varit nere i Göteborg och diskuterat detta och provkört. Man förväntar sig snabba besked från regeringen. Företag, fordonsindustri och åkerinäring väntar på besked från regeringen. Jag ser i detta interpellationssvar att man fortfarande tittar vidare på och utreder detta och att man ser en risk för att det kan konkurrera med järnvägen i Sverige. Jag vill för min del gärna diskutera just åkerinäringens förutsättningar. Hur kan vi stärka åkerierna, så att de klarar sig bättre i konkurrensen? Vi har självklart konkurrens mellan olika transportled, men vi har också konkurrens mellan åkerier, både svenska och utländska. Kan vi hjälpa till att stärka dem genom en bättre lagstiftning vill vi självklart göra det.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Återigen: När kommer beskedet? 64 ton borde ni kunna besluta om på nästa regeringssammanträde. ","M"
"Karin Svensson Smith","Herr talman! Det är bra att vi är flera partier som är intresserade av att minska energianvändningen vid godstransporter. Det är viktigt med tanke på att mycket av de vinster som gjorts i energiåtgång genom minskad personbilism och mindre och energieffektivare bilar förtagits av att den tunga vägtrafiken ökat sin energianvändning och klimatpåverkan. Men det är inte så enkelt att man bara kan göra lastbilar tyngre och längre och på det viset få ned antalet transporter och spara energi. Det resonemanget fungerar bara om det inte finns alternativa sätt att transportera gods. Det som har visats i bland annat den utredning som Trivector gjort i sammanhanget är att det finns en konkurrenssituation med järnvägen. Längre bakåt i tiden gjordes en sammanställning av Bo-Lennart Nelldal på KTH som med all önskvärd tydlighet visar att varje gång som vi har låtit lastbilar bli tyngre och längre har järnvägen tappat i konkurrenskraft. Man kan se det här ur ett större systemperspektiv. Energianvändningen i godstransporter är starkt beroende av friktionen. Friktionen mellan gummihjul och asfalt är hög. Jag har stor respekt för att de lastbilsföretag som finns gör så bra lastbilar som man kan tänka sig. Men det är ett fysikaliskt faktum att det är mycket mindre friktion mellan stålhjul och räl. En vanlig människa kan putta en tom godsvagn framför sig med sin egen handkraft. Det kan man inte med en lastbil. Ännu mindre friktion är det mellan fartygsskrov och vatten. Det vi borde kunna vara överens om, skulle jag önska, är att vi måste få till stånd en bättre fördelning mellan väg, järnväg och sjöfart när det gäller godstransporter. Då skulle vi göra de allra största vinsterna klimatmässigt, energimässigt och luftföroreningsmässigt. Jag hörde Sten Bergheden säga att man kan höja lastbilsvikten lite grann redan nu men sedan behöver förstärka broar. Men enligt Trafikverkets utredning handlar det om en kostnad på 2 miljarder. Jag ser järnvägens problem i dag och tror uppriktigt sagt att dessa 2 miljarder skulle göra större nytta genom att öka framkomligheten och tillförlitligheten i järnvägssystemet. Det skulle gynna både person- och godstransporter. Jag tror också att man ska tänka i ett vidare EU-perspektiv. Det är ingen tillfällighet att maxvikten i EU är 40 ton och att lastbilar i EU inte får vara längre än 18,75 meter. Vi har ett undantag från de EU-gemensamma reglerna. Jag kommer förvisso från ett parti som inte brukar dra sig för att kritisera EU när vi tycker att det är motiverat. Men i det här avseendet tycker vi att de europeiska gemensamma reglerna ger bättre förutsättningar. De ger en mer optimal fördelning mellan väg, järnväg och sjöfart samt större möjligheter att nå målet att minska beroendet av fossila drivmedel. Sedan finns det också en oro där forskningen ännu är lite oklar om hur man ska se på det hela. Det handlar om trafiksäkerhetseffekterna. När långa lastbilar blandas med mycket persontrafik har de en förmåga att göra att privatbilister råkar köra in i dem därför att de underskattar bromssträcka och vridaxelsystem. Det bör man beakta. Jag tycker inte att vi ska skynda på i något remissvar här. ","MP"
"Lars Tysklind"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Av naturliga skäl kommer vi in i ett slags transportslagsövergripande diskussion. Det är kanske också där vi ska vara när vi diskuterar den här typen av frågor. Min och Folkpartiets utgångspunkt i sammanhanget är att även om vi ser det transportslagsövergripande är det inte rimligt att vi inte optimerar varje transportslag var för sig. Den sista aspekten som Karin Svensson Smith tog upp är oerhört viktig och egentligen helt avgörande. Det är att man kan säkra trafiksäkerheten. Det har gjorts försök, bland annat de försök som gjordes uppe i Norrland med projektet En trave till, ETT-projektet, och även projekt som man har gjort i Halland på motorvägen där. Man har inte kunnat visa att det är ett stort problem. På grund av att det blev färre lastbilar tog det i viss mån ut effekten. Det visade sig att även bilister hade en ganska stor förmåga att anpassa sig till detta. Men det är helt klart att man måste ta stor hänsyn till den frågan. Vi diskuterar nu väg och järnväg. Men Karin Svensson Smith tog även upp detta med friktion och hamnade då i sjöfarten. Det är där vi brukar hamna om vi talar om lite friktion. Jag skulle vilja lägga in en annan aspekt, om vi ändå talar om att optimera de olika trafikslagen och att det egentligen hänger på det. När vi nu fortsätter arbetet med den inre sjöfarten och regelverket för den måste vi även där kunna beakta konkurrenssituationen så att sjöfarten kan ta sin del av de tunga transporterna. Det gäller att man jobbar på många fronter och inte gör det så svårt för ett transportslag som sjöfarten att det inte kan utvecklas. För att den ska kunna utvecklas måste vi avstå från att utveckla de andra. Det resonemanget blir väldigt bakvänt. Det som Sten Bergheden tar upp är att vi måste komma till skott så att vi får tyngre och längre lastbilar i Sverige. Det finns som jag förstår det också en majoritet för det i Sveriges riksdag. Det har åtminstone funnits en ganska stadig majoritet för det under de år som jag har varit här. ","FP"
"Leif Pettersson","Herr talman! I grunden är jag väldigt positiv till längre och tyngre fordon. Jag är det av några skäl. Först och främst kommer vi inte att ha järnväg till alla ställen varifrån vi behöver transportera material. Det kommer aldrig att finnas järnväg ute i skogen där vi avverkar skog för massaindustri, sågverksindustri och så vidare. De försök som har gjorts med En trave till-fordonen, ETT-fordonen, visar att det är en framkomlig väg att på det sättet få ned antalet lastbilar och samtidigt klara ett lägre vägslitage därför att man lägger på fler axlar på bilarna och på det sättet kommer ned i vägslitage. Om vi tänker oss den andra vägen att vi skulle förbjuda de långa fordonen, de 25-metersfordon vi har i dag, och gå till 18 meter och 40 ton: Hur många fler lastbilar skulle vi då inte ha som korkar igen vägarna i Sverige? Det är för mig en helt orimlig väg att tänka sig att vi skulle gå den vägen. Det skulle dessutom innebära att vi får mycket större problem med illegala transporter, inte bara utländska utan även svenska. Det bygger på att man kan frakta gods med dumpade löner. Det är inte tillräckligt mycket gods för att lönekostnaden ska ge ett ordentligt utslag på fraktkostnaderna. Om man får längre fordon och kan frakta mer gods ger det ett mindre utslag. Det är också svårare för skumraskföretagen att investera i de nya och dyrare lastbilar som krävs för detta. Det måste man ha med i sammanhanget.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Man måste också ha klart för sig en sak. Det är precis som Karin Svensson Smith sa. Det är ett EU-undantag som vi har. Vi får inte vara så ivriga att vi biter över ett för stort stycke så att vi förlorar alltihop. Risken finns. Det finns de som är stora motståndare till det system som vi har i Norden, i Sverige, Norge, Finland och så vidare. Bland annat i Österrike finns mycket motstånd mot det. Jag kan förstå att det med deras alper inte är så lätt att komma med tunga lastbilar och komma upp för alla de backarna. Vi måste komma ihåg att om vi nu går fram för fort och för hårt riskerar vi hela undantaget. Det skulle vara den största katastrofen av allt. Därför måste vi nog se till att vi gör det på ett sådant sätt att vi gör det som en försöksverksamhet, tar det så sakteliga men med en tydlig målsättning att vi ska öka vikten och längden på fordonen. Om vi tar det den vägen kommer vi att kunna komma fram och inte riskera hela stycket och hela undantaget. ","S"
"Anna Johansson","Herr talman! Att göra fort är stort, att göra rätt är större. Det finns, precis som flera av remissinstanserna också påpekar, stora vinster med att öka den tillåtna tyngden från dagens vikter upp till 64 ton i ett första steg. Upp till 75 ton kräver det ganska stora investeringar, precis som Karin Svensson Smith nämnde i sitt anförande. Men det finns också risker med att öka till 64 ton. Jag nämnde det i mitt svar, och jag tänker nämna det igen. Vi måste orka se hela transportsektorn som ett system. Fortsätter vi att se varje trafikslag för sig och hantera dem som enheter som inte alls hänger ihop med varandra riskerar vi att lösa problem på ett håll som ger upphov till problem på ett annat håll. Att se det i system tror jag är en nyckelfråga. Det gäller att se till att vi får ett system där vi totalt sett minskar transportsektorns klimat- och miljöpåverkan. Det gäller att vi utformar ett system så att man inte får effekten att man för över gods som i dag går på järnväg till väg i stället för att det relativt sett blir, som man får uttrycka det så, för billigt. Vi behöver också se till att vi inte får ett incitament för att öka den illegala trailerhanteringen som i dag är ett stort problem. När vi gör förändringar ska vi se till att vi gör dem på ett sätt så att vi når de mål vi har för transportpolitiken och inte motverkar de mål vi själva satt upp. Därför är det viktigt att göra det i den takt vi hinner med och se till att det förslag som vi så småningom lägger fram också blir ett väl genomtänkt och bra förslag när det genomförs. Därmed är det inte sagt att det inte kommer att genomföras. Men vi ska säkerställa att det vi beslutar om leder till positiva förändringar. Den illegala konkurrensen på det här området är kanske inte i första hand en fråga om vikt och längd utan snarare en fråga om regelverk och regelefterlevnad. Regeringen har sagt att det är mycket prioriterat för oss att minska risken för social dumpning och öka regelefterlevnaden. Vi har också tydligt uttryckt att om de nu vidtagna åtgärderna inte är tillräckliga är vi definitivt beredda att se om det finns ytterligare åtgärder som vi behöver vidta.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Men detta är inte i första hand en fråga om vikt och längd, utan det är helt andra aspekter som berörs, till exempel lönedumpning och inte minst vilka krav på seriositet som transportköpare ställer på de åkare som de anlitar. ","S"
"Sten Bergheden","Herr talman! Tack, infrastrukturministern, för svaret! Först och främst vill jag korrigera en uppgift som Karin Svensson Smith hade. Hon sade att det kostar runt 2 miljarder att bygga ut vägarna för 74 ton. Det nämns i utredningen. Men där pratar man också om en nytta som ligger närmare 2,9 miljarder. Nyttan är alltså större med att satsa och bygga vidare, och samtidigt förstärker man broarna inför också andra problem. Den satsningen är en långsiktig investering för landet. Vi vet, som jag sa inledningsvis, att Finland har klarat diskussionen med EU. De har 76 ton i dag. Jag håller med Leif Pettersson i den diskussionen: Vi måste gå fram i den takten, så att vi inte riskerar de undantag som vi redan har. Det har vi diskuterat i trafikutskottet, och det är viktigt att vi fortsätter. Men vi måste ändå se en vilja från Sveriges regering. Vad vill man? Vill vi ge åkeriägarna och företagarna i Sverige en möjlighet att ta ett steg till, om det är möjligt? Vill man det, eller vill man det inte? Det får vi inte några svar på. Jo, möjligtvis från Karin Svensson Smith, som sa att lastbilar är ett stort problem och att vi ska minska den verksamheten så mycket som det över huvud taget går. Den allmänna synen är väl att just i de här frågorna är det inte regeringspartiet Socialdemokraterna som styr, utan i de här frågorna är det Miljöpartiet som styr och sätter agendan, och Socialdemokraterna får snällt rätta in sig i ledet. Vi har sett det tidigare när det gäller Förbifart Stockholm och i andra frågor. Det är väl den allmänna synen, och det syntes ju tydligt i den debatten. Herr talman! Karin Svensson Smith tog också upp att man har mindre lastbilar i Europa. Men Sverige är ett stort och glest land, och vi är beroende av både längre och tyngre lastbilar för att klara konkurrensen. Det är en helt annan situation. Det är inte svårt att orientera sig i den biten. Om man studerar en karta ser man bara där hur pass stora avstånd vi har att hantera, med lastbilar dit det aldrig kommer att finnas några järnvägsspår. Herr talman! Jag håller med när det gäller den olagliga biten. Men vi har ytterligare ett bekymmer när det gäller den lagliga delen av de åkerier som kommer från Europa och andra delar av världen. De kör transporter här och kan pressa priser av olika andra skäl som vi har svårare att komma åt genom lagstiftning. Därför skulle vi kunna ge våra svenska åkerier och företag en konkurrensfördel genom att släppa på att vi kan köra med längre och tyngre lastbilar i landet. Min fråga till infrastrukturministern blir då: Vad tänker ni göra för att ytterligare stärka åkerinäringens möjligheter och konkurrenskraften här i landet?  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Självklart ska vi ta bort den olagliga delen. Där kommer vi att ställa upp på alla de förslag som kommer fram. Men vi ställer också upp på att stärka svensk åkerinäring genom att införa längre och tyngre lastbilar. Precis som Lars Tysklind sa har vi en tydlig majoritet här i riksdagen för att driva igenom både längre och tyngre lastbilar, och jag tycker att vi ska använda den. Herr talman! Vi vill samtidigt minska klimatpåverkan med längre och tyngre lastbilar. Det är en av de bärande delarna. Men om nu regeringen vill gå ännu längre när det gäller att stimulera en förstärkning av miljövänliga lastbilar borde man väl ännu mer se på de försök som nu görs när det gäller trådlastbilar och annat för att kunna komma vidare, så att vi i nästa steg kan elektrifiera våra vägar. Men inte heller där syns det någon ansats till att man vill ta några kliv framåt, utan man jobbar mer på att lastbilar ska bort från vägarna eftersom de är ett miljöproblem. ","M"
"Karin Svensson Smith","Herr talman! Motivet till att Sverige fick ett undantag vid EU-inträdet var just det faktum att man behöver transportera skogsråvara fram till förädling och att järnväg eller sjöfart sällan är ett alternativ där. Jag har sett försök där det känns ganska motiverat, om det absolut inte finns någon konkurrens och vägarna håller. Jag har också studerat detta, så vi är inte totalmotståndare. Men vi vill, precis som ministern sa, se detta som ett system där den sammantagna viljan och strävan - inte bara från regeringshåll utan också från oppositionen - borde vara att minimera klimatpåverkan och ändå få fram godstransporterna. Då behöver vi hitta en rationell fördelning mellan järnväg, väg och sjöfart. Därför behöver man tänka till lite och inte bara slå till och säga: Vi tar ett transportslag i taget. Ulf Björnstig, som tidigare var trafiksäkerhetschef i Trafikverket, har gjort en forskningssammanställning över dödsolyckor på väg i norra Sverige. Vid över hälften av olyckorna var ett tungt fordon inblandat. Vi bör titta lite närmare på det innan vi klarlägger exakt vad som är smart. Sverige har de kortaste tågen och de längsta lastbilarna i hela Europa. Det finns enorma behov inom järnvägen, och då kan man inte säga att vi ska ta 2 miljarder till detta utan att se på effekterna på annat. Jag tror att det är bättre att tänka rätt och ha ett underbyggt resonemang innan man slår till och gör lastbilarna längre och använder pengar som i stället skulle kunna användas för att förbättra järnvägstrafiken. Jag tror att vi har anledning att prata lite till om detta, och då kan vi förhoppningsvis bli lika överens som vi blev när det gäller att få mer ordning och reda på vägarna, att liksom gynna den åkerinäring som sköter sig genom att ha bättre kontroll och bättre regler för trafiken på väg. Det kan vi bli överens om. Min ambition är att vi ska kunna bli överens om det andra också. ","MP"
"Lars Tysklind","Herr talman! Om vi håller på en stund till är vi nog överens om det mesta. Bara det att Karin Svensson Smith säger att hon inte är totalmotståndare tycker jag var ett mycket positivt uttalande. Men Karin brukar ju vara en klok person. Jag kan också glädja Leif Pettersson att också vi två är ganska överens i det här resonemanget. Vi var plötsligt väldigt mycket överens.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Om vi nu ser EU-perspektivet i det här sammanhanget: Vi kan se att diskussionen om gränsöverskridande transporter mellan länder är lika. Vi behöver inte jämföra oss med Österrike, utan vi kan samspela med Finland och andra länder. Där är det faktiskt på väg att vi får ha transporter över gränsen. Vi måste ha samma regler båda, men det går åt det hållet. Som Sten Bergheden var inne på kan vi konstatera att detta med transporter i Sverige kanske är något helt annat med de avstånd vi har och att vi inte kan tro att vi ska ha järnväg överallt. Men det satsas mycket på järnväg, och det finns mycket att göra på järnväg. Jag vill återkomma till det jag inledde med förut: Statsrådet sa tydligt att vi inte ska ta varje transportslag för sig. Det tror jag faktiskt att vi allihop är inställda på och har slutat med. Men att vi ser det transportslagsövergripande kan inte stå i motsatsförhållande till att optimera de olika transportslagen. Det måste naturligtvis alltid vara en avvägning var man lägger investeringarna. Men jag ser definitivt inte det motsatsförhållandet. ","FP"
"Leif Pettersson","Herr talman! Konkurrensfrågorna är viktiga i sammanhanget. Det handlar om konkurrens på lika villkor. Vi får inte göra sådana särregler i Sverige att vi faller utanför de konkurrensregler som finns inom EU. Det är viktigt att i det här sammanhanget tänka även på det. De lastbilar på 90 ton som körde Northlands malm från Kaunisvaara till Svappavaara var naturligtvis ett undantag. Det var på vägar som inte höll för det. Det visade sig att man måste repa upp och så. Men dessa lastbilar i sig släppte ut renare luft än vad man andas här i Stockholm. De sa lite skämtsamt när jag var där att vi egentligen borde köra omkring lite grann här i Stockholm med dessa bilar för att rena luften. Jag vet inte om det hade funkat riktigt så. Men det säger lite grann om hur utvecklingen på lastbilssidan går mot renare och renare motorer. Det innebär att det egentligen inte är lastbilarna som är problemet utan att det är utsläppen från lastbilarna som är problemet. Om transporterna går på gummi eller järn spelar mindre roll.  Sedan är järnvägen oslagbar när det gäller att transportera stort och tungt gods. En järnväg mellan Kaunisvaara och Svappavaara hade inneburit att Northland hade varit kvar, därför att kostnaderna för transporterna var större än kostnaderna för att bryta malmen.  Sten Bergheden tar med jämna mellanrum upp elvägar. Jag förstår inte riktigt detta resonemang. Då skulle man göra bilar som bara kan åka efter dessa vägar. Om de ska åka på en annan väg måste de ha två motorer. Hur mycket mer i last får de då? Nej, lägg ned det där projektet, och sätt i stället igång och satsa på järnväg för dessa pengar.  ","S"
