"Margot Wallström","Herr talman! Hans Rothenberg har frågat mig om jag och regeringen avser att verka för att ge Taiwan samma observatörsstatus i FN som Palestina har och om jag och regeringen avser att verka för att Sverige erkänner Taiwan. Låt mig börja med frågan om ett erkännande av Taiwan. I likhet med de allra flesta andra länder för Sverige en ett-Kina-politik. Detta innebär att vi inte erkänner Taiwan som en självständig stat och att Sverige inte har diplomatiska förbindelser med Taiwan. Regeringen avser inte att erkänna Taiwan. Trots avsaknaden av diplomatiska förbindelser har Sverige breda och frekventa kontakter med Taiwan, och regeringen har för avsikt att fortsätta att utveckla våra förbindelser. Handel utgör en central del av våra relationer. Ett uttryck för detta är bland annat att Sverige och Taiwan varje år träffas i det så kallade Joint Business Council för att diskutera hur våra kontakter på främst det ekonomiska området kan främjas. Även till exempel akademiskt utbyte och parlamentariska kontakter med Taiwan är väl utvecklade. När det gäller frågan om observatörsstatus för Taiwan i FN är den hypotetisk, eftersom Taiwan inte har lämnat in någon ansökan. Regeringen har därför inte haft anledning att ta ställning till detta. Sverige ställer sig positivt till att Taiwan kan delta i internationella organisationers arbete, under förutsättning att detta inte kräver status som stat. Det finns många områden där Taiwans deltagande kan ge ett positivt bidrag till internationell samverkan, exempelvis inom viktiga globala frågor, som hälsa, klimat och luftfart. ","S"
"Hans Rothenberg","Herr talman! Taiwan eller, som det officiellt heter, Republiken Kina grundades för över 100 år sedan och har under de senaste decennierna utvecklats från att ha varit en hårdför diktatur till att i dag vara ett demokratiskt land. Det är ett land som har kontroll över sina gränser. Det är ett land som har en utvecklad välfärd. Det är ett land som har en hög utbildnings- och forskningsnivå. Det är ett land som bedriver handel med omvärlden. Taiwan är i dag, mig veterligen i alla fall, den enda fungerande demokrati i världen som saknar en plats i Förenta nationerna. Taiwan blev faktiskt en gång i tiden utslängt från Förenta nationerna - det var 1971. Taiwan var med som ett av de länder som grundade Förenta nationerna och satt med i dess säkerhetsråd. Men 1971 hände någonting, och det är någonting som omvärlden inte ska vara stolt över i dag. Man vände Taiwan ryggen och släppte in Fastlandskina, Folkrepubliken Kina, som fick överta Taiwans plats i Förenta nationerna. Jag skulle faktiskt vilja säga att det är en ganska skamlig hantering av en av de grundande nationerna i Förenta nationerna. Det finns några länder som genom åren har gjort någon form av bot, kan man säga. USA har genom sitt militära stöd till Taiwan garanterat Taiwans säkerhet. Men det finns många länder som skulle kunna göra mycket mer. Sveriges regering har nu erkänt staten Palestina, herr talman. Huruvida det var klokt eller oklokt är en diskussion som vi kan ta i ett annat sammanhang. Det svenska signalspråket är dock ganska tydligt, nämligen att Sverige engagerar sig även om statsbildningen inte är fullt på plats eller fullt under kontroll. Det borde kunna öppna möjligheter för andra länder att också få Sveriges välsignelse. Turen kan då komma till länder med utvecklad demokrati, stabil ekonomi, framstående utbildning och forskning samt ett utvecklat välfärdssystem. Taiwan är i det sammanhanget en ganska tydlig kandidat på området. Jag noterar att utrikesministern svarar på min interpellation med att regeringen inte avser att erkänna Taiwan. Det finns dock en annan dimension, som jag också har interpellerat om, och det gäller möjligheten att ha observatörsstatus i Förenta nationerna. Med anledning av den bakgrund och historik Taiwan har i Förenta nationerna är det inget sympatiskt svar att säga att Taiwan inte har lämnat in någon ansökan. Taiwan har varit inne i Förenta nationerna. De har varit inne i den församlingen, på plats, och som sagt blivit utslängda. Man kan väl därför utgå ifrån att kandidaturen till FN om observatörsstatus borde vara tämligen stående från Taiwans sida. När Sverige nu har öppnat Pandoras ask och tagit initiativ till att gå före borde dock detta kunna vara ett utomordentligt lämpligt tillfälle för Sverige att gå före, erkänna Taiwan som nation och, vilket kanske är den enklare vägen, se till att Taiwan får observatörsstatus. Det är en status Palestina har haft sedan ett antal år. ","M"
"Margareta Cederfelt","Herr talman! Jag följer upp Hans Rothenbergs fråga till utrikesministern, och jag skulle egentligen vilja grunda den i Taiwans ställning som en självständig stat.  Taiwan har faktiskt, och genomför, fria, självständiga och demokratiska val. Taiwan representerar också de resultat valen genererar - det blir skifte av majoriteter i de fall valresultatet så visar, och så var det senast. Det är ett av de kriterier vi normalt ställer upp för en demokrati. Det finns fungerande civila institutioner, och det finns fungerande ministerier. Just det som oftast efterlyses uppfylls, nämligen de kriterier som brukar ställas på en självständig stat. Jag får be om ursäkt för att jag står här och sluddrar lite grann; jag har varit hos tandläkaren och är fortfarande bedövad i munnen. Min fråga till utrikesministern är varför det är så svårt att acceptera och erkänna Taiwan som självständig stat. Jag känner väl till Kinas förhållningssätt, men jag tycker att det är tråkigt att ett litet, demokratiskt land ska hamna i skuggan av en stor auktoritetsstat.  När det sedan gäller säkerhetsrådet skulle en observatörsplats där kunna ytterligare underlätta för Taiwan att räknas och höras i andra internationella sammanslutningar samt bidra till en fredssituation i den delen av världen. Det är lika viktigt att det finns fred, lugn och ro och demokratier i den asiatiska delen av världen som i den europeiska. ","M"
"Eva-Lena Jansson","Herr talman! Jag har tagit del av interpellationen och av svaret, och jag hade inte tänkt lägga mig i debatten. Jag måste dock ställa några frågor till Hans Rothenberg och Margareta Cederfelt. Vi har i Sverige under åtta års tid haft en moderat utrikesminister som heter Carl Bildt. Kina och Taiwan har funnits under hela den tiden. Jag undrar alltså om det är först nu ni har sett situationen. Varför har ni inte ställt frågan till Carl Bildt tidigare? Är det så att ni känner att det är först nu man skulle kunna bedriva en annan typ av utrikespolitik? Varför ett så sent uppvaknande - vad har ni gjort under åtta års tid? ","S"
"Margot Wallström","Herr talman och ärade ledamöter! När det gäller de frågor som ställs om Taiwan finns det inga skillnader mellan den här regeringen och den tidigare. Det vill jag gärna framhålla. Sverige följer, precis som samtliga EU-länder och flertalet andra länder, en så kallad ett-Kina-politik. Därmed har vi inga diplomatiska förbindelser med Taiwan. Realiteten bakom en sådan politik är att inget land kan välja att ha diplomatiska relationer med både Kina och Taiwan.  Samtidigt uppskattar vi förstås den taiwanesiska demokratin och respekten för mänskliga rättigheter, och vi har väl utvecklade inofficiella kontakter med Taiwan. Vi har ett utbyte inom handel, utbildning, kultur och forskning, och även samarbetet mellan parlamentariker är omfattande. Vi värnar dessa relationer med Taiwan och ser gärna att kontakterna utvecklas ytterligare inom ramen för ett-Kina-politiken. Breda kontaktytor är nämligen också ett gott stöd för Taiwans ekonomi och demokrati, och det stärker förutsättningarna för Taiwan att i dialog med Kina avgöra sin egen framtid. Konkreta exempel på kontakterna med Taiwan är, som jag nämnde redan i svaret på interpellationen, det Joint Business Council som ägde rum i Taiwan förra året. Då var statssekreterare Erik Bromander med. I höst kommer det att äga rum i Stockholm, även då på statssekreterarnivå, och Sverige är ett av de länder som har haft flest möten med Taiwan i det här formatet. Det är just ett tillfälle för ekonomiska förbindelser och för svenska och taiwanesiska företagare att träffas och utbyta erfarenheter. Sedan finns det ett antal kontakter inom olika områden, som besöksutbyten, studentutbyten, kommersiella kontakter med mera. Det är den position vi har när det gäller Taiwan, och det är också den praktiska realitet som har utvecklats i kontakterna mellan Sverige och Taiwan. ","S"
"Hans Rothenberg","Herr talman! Jag vill först säga till Eva-Lena Jansson: Jo, jag har noterat att Sverige i åtta år hade en utrikesminister som hette Carl Bildt. Det var ganska bra åtta år.  Engagemanget för Taiwan är inte på något vis nyvaknat. För egen del har jag, tillsammans med många andra kolleger i Sveriges riksdag, motionerat om Taiwan och om att Sverige borde aktivera sig i att vara en drivande kraft för att Taiwan ska nå ökad status i världssamfundet och FN, liksom att Sverige skulle kunna erkänna Taiwan. Det som gör att jag nu ställer en interpellation till utrikesministern är just det jag nämnde i mitt första inlägg, nämligen att Sveriges regering har tagit ett steg vidare i förhållningssättet till länder man tidigare inte har erkänt.  Palestina är det mest lysande exemplet på detta. Som jag sa tidigare kanske vi inte ska diskutera erkännandet av Palestina och huruvida det var rätt eller orätt, men man kan i alla fall konstatera att Taiwan har betydligt större kontroll över sina gränser än vad staten Palestina har. Det finns många saker som talar för att Taiwan skulle åtnjuta en större respekt och ett större engagemang från omvärlden.  Det finns flera nivåer att bekräfta en nation på. En är genom ett erkännande, en annan är genom Förenta nationerna och en tredje är genom handelsutbyte. Det är den tredje punkten jag tycker kunde vara intressant att höra utrikesministerns syn på. Jag har talat med handelsministern ett antal gånger, och han hävdar att alla ministrar i regeringen är handelsministrar. Det har kanske belysts ännu tydligare de senaste veckorna. Taiwan vill ha till stånd ett handelsavtal med Europeiska unionen, och ett handelsavtal skulle betyda mycket både för EU och för Taiwan. Detta handelsavtal har hamnat i skuggan av andra handelsavtal med Sydkorea, Kanada och USA. Det skulle vara ett stort steg om Sverige kunde vara en stark röst för att aktivera ambitionerna att påbörja och fullfölja ett handelsavtal med Taiwan. Ett handelsavtal innebär lägre priser i och med sänkta tullar, synkronisering av standarder och eliminering av handelskvoter. Det innebär att man bekräftar en respekt för varandra - en respekt som EU och Taiwan på många sätt redan har visat genom handel. Pandoras ask är öppnad i och med att regeringen har erkänt Palestina. Det får mig att hysa en förhoppning om att regeringen skulle kunna gå vidare och ta ett steg till och göra det möjligt för demokratiskt fungerande länder att åtnjuta samma status som regeringen har givit till exempel Palestina genom att erkänna Taiwan och driva frågan om en observatörsstatus i FN. Initiativet kan komma från Sverige utan en anmodan från Taiwan. Regeringen skulle också kunna vara en stark röst i EU för att aktivt driva på för att EU och Taiwan ska ha ett färdigt handelsavtal om några år. ","M"
"Margareta Cederfelt","Herr ålderspresident! Det ifrågasattes tidigare varför Hans Rothenberg och jag inte har lyft upp denna fråga tidigare. Det har vi gjort, i olika sammanhang. Jag skulle vilja ställa några motfrågor. Varför kan inte nuvarande regering arbeta aktivt och driva demokratiska frågor vidare också i andra sammanhang än när det rör Palestina? Varför kan inte nuvarande regering ändra förhållningssätt? Det går faktiskt att driva en aktiv, framåtsyftande utrikespolitik också när det gäller Taiwan. Den debatt vi nu för visar på det lilla landets utsatta position i förhållande till en stormakt. För mig är det viktigt att också ett litet land ska kunna räknas som självständigt och ha samma möjligheter som ett större land. Utrikesministern nämnde flera områden där det förekommer samarbete mellan Sverige och Taiwan och mellan EU och Taiwan. Det är viktigt att vi inte bara plockar ut de för oss bästa bitarna i form av studentsamarbete och företagande - många stora svenska multinationella företag är verksamma i Taiwan - utan att vi ser helheten och hur vi kan fördjupa ett samarbete med Taiwan. Regeringen bör ta upp frågan i EU och driva på i utrikesministerkretsen. Där finns stora möjligheter för Sverige att lyfta upp en viktig fråga om ett litet lands möjligheter till självständighet. ","M"
"Eva-Lena Jansson","Herr ålderspresident! Jag tackar för inläggen från utrikesministern, Hans Rothenberg och Margareta Cederfelt.  Jag vet att både Hans Rothenberg och Margareta Cederfelt har motionerat i Taiwanfrågan. Jag ställde min fråga mot bakgrund av att Carl Bildt var utrikesminister i åtta år utan att driva fråga aktivt som sin politik. Kristdemokraterna kritiserade till och med att den inte fanns med i den utrikespolitiska deklarationen. Min fråga till Hans Rothenberg och Margareta Cederfelt är: Har Moderaterna en ny utrikespolitik vad gäller Kina och Taiwan?  Det är viktigt att vi får reda på det, för det måste framgå om det är partiet som står bakom detta eller om det är enskilda ledamöter. ","S"
"Margot Wallström","Herr ålderspresident och ärade ledamöter! Nej, vi kommer inte att ta något sådant initiativ eftersom vi har en ett-Kina-politik i likhet med samtliga EU-medlemmar och de flesta övriga stater. Situationen är unik för varje land, och bedömningen är att möjligheterna att nå framgång här är mycket små. Vi är konsekventa och har samma hållning som den tidigare regeringen. Det finns inget önskemål om observationsstatus från Taiwan. Frågan är därför helt hypotetisk, och vi intar ingen position i den. Det är utmärkt att det finns ett dagligt praktiskt samarbete, och det ska vi fortsätta att utveckla. Vi är glada för den demokratiska utvecklingen i Taiwan. Vi har inget emot det, utan vi tänker fortsätta att investera i kontakterna med Taiwan. ","S"
"Hans Rothenberg","Herr ålderspresident! Taiwan har försummats av omvärlden under många decennier. Bakom detta ligger förmodligen det som är outtalat, nämligen att det finns ett annat Kina på fastlandet, ett Kina som är stort och mäktigt och som omvärlden inte i onödan vill stöta sig med. När det handlar om civilkurage i utrikespolitiken är väl detta ett utvecklingsområde, minst sagt. I Sverige finns det samröre på lokal och regional nivå med Taiwan, det vill säga Republiken Kina. Många vittnesmål berättar att den respekt som Taiwans företrädare visas ute i regionerna av landshövdingar med flera är större än den som den svenska staten visar. Det finns mycket kvar att göra. Det är synd att regeringen inte tar tillfället i akt att flytta fram positionerna även i Taiwanfrågan när man nu har öppnat Pandoras ask och börjat erkänna andra länder. Man borde se vad Sverige som en sedan decennier tillbaka respekterad och ansedd röst i världssamfundet kan göra för att få Taiwan att komma ett steg närmare in i kretsen. Jag beklagar regeringens återhållsamhet, men mandatperioden är lång. Jag ser fram emot att regeringen går vidare i sin utrikespolitik och handelspolitik och tar nya steg. Kanske kommer både utrikesministern och handelsministern att överraska oss. Det skulle i så fall glädja både Sverige och Taiwan. ","M"
