"Magdalena Andersson","Herr talman! Jonas Jacobsson Gjörtler har ställt sex frågor rörande effekterna på sysselsättning, antal arbetade timmar, välstånd och produktivitet av regeringens förslag i budgetpropositionen för 2015. Kvantitativa analyser av effekterna av olika reformer är ett viktigt beslutsunderlag. Men det är viktigt att påpeka att det råder stor osäkerhet om de exakta effekterna på sysselsättning, arbetade timmar och produktivitet av enskilda reformer. Regeringens linje är därför att göra en försiktig och samlad bedömning av effekterna av de reformer som föreslås. Det finns också en stor risk att man bara räknar på sådant som det finns utvecklade metoder för. Det är lite som att leta efter nycklarna under lampans sken. Förra regeringens fokus på antal sysselsatta och arbetade timmar ger inte en fullständig bild av hur välståndet utvecklats eftersom dessa variabler till stor del påverkas av tillväxten i befolkningen. Ett annat adekvat mått på välståndsökning är bnp per capita, eftersom det ger ett grovt mått på genomsnittlig inkomst per person. Under de förra två mandatperioder sjönk Sveriges bnp per capita. Den svenska produktivitetsutvecklingen har varit svag sedan finanskrisen. Visserligen har den varit bättre än i Sydeuropa men svagare än i USA, Danmark, Japan och Tyskland. Demografin kan inte förklara detta. Antalet personer i yrkesverksam ålder i relation till antalet personer i pensionsålder har minskat mer i Danmark och Japan än i Sverige, och nästan lika mycket i USA. Vissa grupper som tidigare har stått utanför arbetsmarknaden har klivit in i arbetskraften. Men andelen personer som definieras tillhöra en grupp med svag anknytning till arbetsmarknaden har samtidigt minskat som andel av det totala antalet sysselsatta. En ändrad sammansättning av arbetskraften kan därför inte förklara den svaga produktivitetsutvecklingen. Det är viktigt med investeringar i utbildning, forskning, infrastruktur och en aktiv näringspolitik för att få upp produktivitetstillväxten igen. Det är inget alternativ att lyfta ut grupper från arbetsmarknaden; vi ska i stället se till att alla grupper lyfts upp med hjälp av utbildning och aktiv arbetsmarknadspolitik. Sysselsättningen förväntas framöver öka snabbare än arbetskraften. Regeringens föreslagna politik i budgetpropositionen 2015, med bland annat utbildningskontrakt, 90-dagarsgarantin och extratjänster, bidrar till minskningen av arbetslösheten. I budgetpropositionen 2015 föreslogs även investeringar i bland annat utbildning, infrastruktur och klimat, som bidrar till minskningen av arbetslösheten. Sammantaget bedömdes i budgetpropositionen 2015 den totala effekten av regeringens politik bli en något högre bnp-tillväxt och sysselsättning. ","S"
"Jonas Jacobsson Gjörtler","Herr talman! Jag vill börja med att tacka finansministern för svaret. Jag tycker att jag har fått svar på åtminstone en del av frågorna om än kanske inte riktigt på alla. Vi börjar i en ände som jag tycker är positiv där finansministern ger ett svar som ger en viss förhoppning. Den fråga jag ställde, som jag tror var nr 5, var: Anser finansministern anser att det vore bra för Sverige om produktiviteten i arbetskraften ökar genom att svaga grupper åter lyfts bort från arbetsmarknaden genom exempelvis förtidspensioneringar? Jag syftade då på att man skulle göra på samma sätt som socialdemokratiska regeringar har gjort historiskt. Glädjande nog svarar finansministern här tydligt att det inte är något alternativ att lyfta ut grupper från arbetsmarknaden. Det betyder att finansministern här lovar att inte använda den typ av tricks som tidigare S-regeringar har använt, det vill säga att lyfta bort svaga grupper från arbetsmarknaden genom exempelvis förtidspension. Det är bra, och jag tar det som ett löfte. Man kan i och för sig notera att finansministern för bara ett halvår sedan lovade att stå fast vid överskottsmålet, men där har det kommit nya besked nu. Jag hoppas att finansministern inte har som huvudprincip att svika alla löften. Det som är mer problematiskt är att finansministern framhärdar i sin vägran att i siffror redovisa beräkningarna på de egna förslagens effekter när det gäller sysselsättning och antal arbetade timmar. I stället hänvisas det till att regeringen gör en \"försiktig och samlad bedömning\" av effekterna. Som motiv för detta anges att det råder osäkerhet om de exakta effekterna. Herr talman! En budget är alltså en prognos över framtida ekonomiska händelser. Det är en prognos; det är inget facit. Det här att det finns osäkerhet i siffrorna är därför tämligen självklart när vi talar om en budget. Herr talman! Man gör inte en budget för att man vet alla de exakta svaren - då hade man ju kunnat strunta i att budgetera och bara skriva in siffrorna i årsredovisningen på en gång. Nej, man gör en budget för att man försöker göra så bra beräkningar och bedömningar som möjligt med den information man har tillgänglig vid budgeteringstillfället. Att det finns osäkerhet i siffrorna är liksom en grundförutsättning i hela budgetarbetet. Det betyder dock inte att man inte har ett ansvar att göra så bra beräkningar som man kan. Finansministern och regeringen har ett ansvar att göra så bra beräkningar som de kan av effekterna av de reformer som föreslås. Och regeringen har en skyldighet att redovisa beräkningarna för riksdagen och för svenska folket. Men det väljer ni att inte göra, och det vill ni inte göra. De etablerade metoder som finns bryr sig finansministern alltså inte om, utan nöjer sig med \"den samlade bedömningen\" av regeringens politik. Finansministern säger sig inte vilja famla efter nycklarna under lampans sken. Men av svaret av döma verkar finansministern ha släckt lampan och slutat leta efter nycklarna, vilket är tråkigt. Det ser mörkt ut för Sverige. Jag skulle därför vilja upprepa den sista fråga som jag ställde i min interpellation, nämligen: Är finansministern beredd att säkerställa att riksdagen fortsättningsvis får en relevant redovisning av vilka beräknade effekter på sysselsättning och antalet arbetade timmar som regeringens olika förslag medför? ","M"
"Magdalena Andersson","Herr talman! Kommer vi att redovisa relevant information om antal arbetade timmar och sysselsättning för enskilda förslag? Problemet är att all politik som regeringen genomför, men också politik som regeringen inte genomför påverkar sysselsättning och arbetade timmar. Den tidigare regeringen har bara redovisat effekterna av sina skatteförslag. Man har utvecklat den metodiken med stor frenesi på Finansdepartementet. Däremot har man inte utvecklat metodiken för att räkna på effekterna av till exempel det faktum att PISA-resultaten, skolresultaten, i Sverige faller snabbare än i något annat OECD-land med resultatet att alldeles för många ungdomar i Sverige går ut skolan utan de kunskaper som krävs på framtidens arbetsmarknad. Vad betyder det för arbetade timmar och sysselsättning? Vad betyder det att den tidigare regeringen ändrade i gymnasieprogrammen så att man inte gav högskolebehörighet till yrkesprogrammen på gymnasiet, vilket gjorde att det blev mycket färre ungdomar som sökte sig dit? Det är utbildningar som ger jobb, och som gav jobb direkt. Vad har det fått för påverkan på sysselsättning och arbetade timmar? Vad innebär det att man låter färre ungdomar gå på högskolan? Vi har färre, snarare än fler, ungdomar som andel av befolkningen som går på högskolan. Vad får det för effekt på arbetade timmar och sysselsättning? Det har den tidigare regeringen inte redovisat. Om man ska göra en fullständig redovisning av detta kräver det att man utvecklar nya metoder. Men att bara visa den ena sidan och inte den andra ger en missvisande bild. Däremot gör vi naturligtvis en bedömning av de samlade effekterna. Jag tycker att det ger en mer rättvisande bild än att bara visa effekterna av några förslag, och inte av alla. Vi gör beräkningar, precis som Jonas Jacobsson Gjörtler säger. Allt detta är naturligtvis osäker materia, men vi gör beräkningar så långt vi kan. Dessa redovisar vi i budgeten, och de finns också i prognoserna. Vi avser inte att släcka lampan. Däremot avser vi att utveckla metoderna så att vi kan sprida ljuset bortom skatter, eftersom den här regeringen inte är riktigt lika fokuserad på skatter som den tidigare regeringen var. Denna regering är kanske lite mer fokuserad på att ungdomar ska få möjlighet att jobba och plugga i stället för att gå långtidsarbetslösa och att barnen ska lära sig det de behöver i skolan. Du säger att det är ett löfte att inte lyfta bort svaga grupper från arbetsmarknaden. Tvärtom vill vi lyfta in svaga grupper på arbetsmarknaden, och vi vill att människor ska få jobba i stället för att gå i fas 3 år ut och år in. Det som är intressant i mitt svar är att det inte går att förklara den svaga produktivitetsutvecklingen med att arbetskraftens sammansättning har förändrats. Det är något annat som förklarar att vi har haft så dålig produktivitetsutveckling under den borgerliga regeringens tid och det faktum att bnp per capita inte ökade under de åtta år som vi hade en borgerlig regering. ","S"
"Jonas Jacobsson Gjörtler","Herr talman! Jag tackar finansministern för svaret. Jag tycker kanske att hon försöker blanda bort korten lite grann när hon talar om annat. Hon styr in på utbildning, PISA-resultat och annat. Alla de saker som finansministern tar upp är både relevanta och viktiga. De behöver säkert studeras närmare både kors och tvärs. Finansministern hävdar att det har redovisats alldeles för lite i budgetpropositionen under alliansregeringens år. Jag har inget problem med att man redovisar fler saker i budgetpropositionen. I grunden tror jag att det är bra. Kunskap är alltid bra, och om man kan redovisa ytterligare uppgifter ser jag inget problem med det. Finansministerns problem här är dock inte det hon säger att hon vill redovisa, utan det är att hon har ett antal saker som hon absolut inte vill redovisa. Det är det jag tycker är bekymret. Det duger inte att säga att man har otillräckliga underlag på en del områden och att ha det som förevändning att plocka bort redovisningen på andra områden, där det faktiskt finns en utvecklad metodik för att ta fram underlag. Detta underlag går att ta fram, det har gjorts tidigare och det bör göras även framöver. Det är ett ansvar som finansministern har. Det är tur att finansministern inte jobbar i ett privat företag. Jag undrar vad som skulle hända om man som ansvarig skulle gå till styrelsen med ett förslag till budget där man vägrar att redovisa några som helst beräkningar för de förslag som man vill ha stöd för? Jag kan försäkra att man inte skulle bli särskilt långlivad på jobbet. Herr talman! Stefan Löfven sa i regeringsförklaringen att \"ett tydligt sysselsättningsmål ska styra den ekonomiska politiken\". Exakt samma formulering står i budgetpropositionen. Det är alltså ett sysselsättningsmål, inte ett arbetslöshetsmål. Nu undrar jag, Magdalena Andersson: Vilket är detta sysselsättningsmål? Stefan Löfven har också vid upprepade tillfällen under valrörelsen sagt att en kommande rödgrön regering skulle redovisa sysselsättningseffekten av alla förslag. Jag tror att han uttryckte det som att alla förslag som regeringen lägger fram måste vägas utifrån deras jobbskapande effekt. Då vill jag fråga finansministern: Hur är det möjligt för er att väga olika förslags effekter på jobb och sysselsättning när ni inte redovisar dessa effekter? Det blir ju inte så lite motsägelsefullt när statsministern säger att sysselsättningseffekterna av alla förslag ska redovisas och finansministern nu står här och säger att sysselsättningseffekterna inte ska redovisas av några förslag. Herr talman! Jag tycker att det är uppenbart att regeringen inte vill redovisa siffrorna. Skälet är sannolikt att man inser att de föreslagna reformerna leder till lägre sysselsättning, och inte högre. Det duger inte riktigt att finansministern hävdar att regeringen gör en samlad bild och en samlad bedömning. Det är en typ av svepande formuleringar, som kan betyda vad som helst. Det som är relevant är att riksdagen och svenska folket behöver få ett underlag som går att studera och mäta och där man kan göra någon form av objektiv bedömning, eller i alla fall ett försök till en sådan. Om vi är överens om att vårt välstånd skapas genom att vi arbetar är det ganska viktigt att vi beräknar, bedömer och mäter effekterna av olika förslag när det gäller just sysselsättning och antal arbetade timmar. ","M"
"Fredrik Schulte","Herr talman! Jag kan med gott samvete säga att jag är den riksdagsledamot som under det senaste halvåret har debatterat mest med finansministern i den här kammaren. Hon nickar instämmande. Och jag måste säga att av alla de diskussioner som vi har haft är nog svaret på den här interpellationen det mest flagranta jag har fått ta del av. Finansministern glider på sanningen, på åtminstone tre punkter i svaret. Och hon kommer med två direkt felaktiga påståenden. I slutet av interpellationssvaret säger finansministern att regeringens föreslagna politik i budgetpropositionen 2015 med bland annat utbildningskontrakt, 90-dagarsgaranti och extratjänster bidrar till att minska arbetslösheten. Det har finansministern hävdat i nästan ett halvår nu. Men för bara några veckor sedan erkände hon, efter att Ylva Johansson, arbetsmarknadsministern, hade klargjort det i riksdagens talarstol, att arbetsmarknadspolitik inte skapar nya jobb. Därför är det nu lite anmärkningsvärt att finansministern återigen påstår att arbetsmarknadspolitik skulle minska arbetslösheten. Den enda slutsatsen man kan dra av det är att finansministern tänker siffertricksa ned arbetslösheten. Hon håller med om att arbetsmarknadspolitik inte skapar några nya jobb, men hon säger att arbetsmarknadspolitiken ska minska arbetslösheten. Det måste vara siffertricksande. Den andra punkten som är häpnadsväckande har Jonas Jacobsson Gjörtler varit inne på, att man konsekvent avstår från att göra några beräkningar av de effekter som den föreslagna politiken har. Svenskt Näringsliv har räknat utifrån samma beräkningskonventioner som Finansdepartementet använder och kommit fram till att det handlar om 20 000 färre jobb. Återigen glider finansministern på sanningen och försöker påskina annat än vad som är den objektiva verkligheten. Den tredje punkten är att finansminister påstår, och glider på sanningen när hon säger, att det inte är relevant att mäta antalet sysselsatta och antalet nya arbetstillfällen. Antalet jobb ökar inte bara för att befolkningen växer. Spaniens befolkning har ökat med 2 miljoner, tror jag att det är, under de senaste åtta åren, men antalet arbetstillfällen har minskat med 2 ½ miljon. Man skulle kunna ta många sådana exempel. Måttet på hur många jobb som faktiskt kommer till är relevant, inte minst på grund av att den arbetsföra befolkningen inte växer bara för att befolkningen växer. I Sverige har befolkningen till exempel ökat, i stor utsträckning tack vare - får man lov att säga - att vi blir allt äldre. Det innebär inte att de som är i arbetsför ålder ökar, och därför är det relevant att mäta även hur många arbetstillfällen som skapas. När det gäller de två punkterna där finansministern kommer med direkt felaktiga påståenden säger hon i svaret att under de förra två mandatperioderna sjönk Sveriges bnp per capita. Nej, herr talman! Den ökade. Den ökade med 2,5 procent. Att finansministern med allt stöd som hon har från Finansdepartementet ändå kan komma fram till den slutsatsen är häpnadsväckande. Jag rekommenderar alla som lyssnar på debatten att gå till hemsidan ekonomifakta.se för att kunna konstatera att det ligger till på det sättet. Och om man jämför med omvärlden kan man konstatera att det är tredje bäst i EU. Men Magdalena Andersson påstår att Sveriges bnp per capita har minskat. Därtill har Sverige varit det land som har varit mest generöst med flyktingmottagande. ","M"
"Monica Green","Herr talman! Jag är glad över att vi har en finansminister som tar jobben på allvar. Den gamla regeringen misslyckades med sin jobbpolitik, och därför förlorade de valet. Jag är glad över att vi nu har en regering som fokuserar på jobben och en finansminister som sätter jobben först. Jobb kommer till genom utbildning. Därför var det bra att vi hade ett förslag om utbildningskontrakt. Jobb kommer också till genom att vi anställer fler lärare och fler inom välfärden. Bland annat därför behövs extratjänsterna i välfärden. Där kan man visa vad man går för och kanske på sikt också bli anställd. Det behövs också fler arbetare inom äldrevården. Därför var det bra att det fanns satsningar på äldrevården i vår budget. Jag beklagar att Sverigedemokraterna, Moderaterna, Kristdemokraterna, Centerpartiet och Folkpartiet gjorde gemensam sak och röstade ned alla de förslagen. Med dem hade vi kunnat få fart på utbildningen och jobben snabbare. ","S"
"Magdalena Andersson","Herr talman! Interpellanten säger att jag talar om annat. Det betyder att jag inte talar om skatter utan om skola, ungdomars utbildning och ungdomars jobbmöjligheter. För Moderaterna är det att tala om annat. Det säger mycket om det moderata partiet. Självklart ska politiken vägas utifrån jobbskapande effekt. Det gör vi också. Det finns en poäng med att utveckla beräkningsmetoderna för vilken jobbskapande effekt olika delar av politiken har haft. Men Moderaterna, med sin förkärlek för skatter, har framför allt jobbat med att utveckla metoder för att räkna på skattesidan. Jag tror att det finns möjlighet att sprida ljusets sken till andra politikområden också. Det är dock otroligt osäkra beräkningar. Därför är det inte uppenbart att det mest rättvisande är att visa det effekt för effekt på de enskilda åtgärderna. Det kan vara bättre att göra en samlad bedömning. Det kommer vi att återkomma till. Enligt Fredrik Schulte har jag sagt att arbetsmarknadspolitiken inte skapar jobb. Det är naturligtvis helt korrekt. Det är företag som skapar jobb. Det gör även kommuner och landsting och staten när man får skattepengar för att kunna anställa människor för att utföra viktiga arbetsuppgifter. Det är där jobben skapas. Det är naturligtvis inte arbetsmarknadspolitiken som gör det. Däremot rustar den människor för att kunna ta jobb. Och därför är arbetsmarknadspolitiken viktig. Den gör så att människor kan ta de jobb som skapas i företagen, och därför kan arbetsmarknadspolitiken minska arbetslösheten, genom att människor kan ta de jobb som finns. Det är ett stort problem i dag att de inte kan det. Svenskt Näringsliv säger att nästan var femte rekrytering misslyckas samtidigt som vi har 400 000 arbetslösa. Här finns det ett rekryteringsgap. Om man kan sluta det rekryteringsgapet via arbetsmarknadspolitik kan arbetsmarknadspolitiken alltså inte skapa jobben - de skapas i företagen - men däremot göra så att människor får jobb och därmed minska arbetslösheten. Jag säger inte i svaret att det inte är relevant att mäta sysselsättningen. Däremot säger jag att det inte ger en fullständig bild. Så är det väl med alla mått. Inget enskilt statistiskt mått ger en fullständig bild. Och därför är det viktigt att jobba med olika mått. Jag noterar att den tidigare, borgerliga, regeringen väldigt sällan valde att visa bnp per capita, vilket naturligtvis beror på att den sjönk under de år som de satt i regering. Jag visar nu en bild för kammarens ledamöter från Världsbanken där man kan se hur Sveriges bnp per capita har sjunkit från 2006 till den senaste siffran som fanns, för 2013. ","S"
"Jonas Jacobsson Gjörtler","Herr talman! Finansministern tycker att jag anklagar henne för att tala om annat och att jag därmed inte skulle tycka att annat, såsom skola, utbildning med mera, är relevant. Det var inte vad jag sa. Jag underströk att det visst kan vara mycket relevant. Jag har inte något problem med att man utvecklar och gör en noggrannare redovisning också inom andra sektorer. Finansministern uttryckte det som att man borde sprida ljusskenet även till andra sektorer. Det har jag inget problem med. Problemet är att hon försöker släcka ljuset i den del av sektorn som är relevant. Om man är ute och kör på en mörk väg hjälper det inte att man tänder en lampa i skogen, om man samtidigt släcker ljuset på vägen där man kör. Om vi ska se till att det blir fler jobb måste vi också fortsätta att mäta sysselsättnings- och jobbeffekterna av de förslag som läggs fram. Herr talman! Jag vill återigen citera ur regeringsförklaringen. Det står så här: \"Ett tydligt sysselsättningsmål ska styra den ekonomiska politiken.\" Exakt samma formulering finns i budgetpropositionen på s. 27. Det är första sidan i finansplanen. Magdalena Andersson, vilket är detta sysselsättningsmål? Stefan Löfvens ord om att alla förslag som regeringen lägger fram måste vägas utifrån deras jobbskapande effekt. Då vill jag fråga finansministern: Hur är det möjligt för er att väga olika förslags effekter på jobb och sysselsättning när ni väljer att inte redovisa dessa effekter? ","M"
"Fredrik Schulte","Herr talman! Det finns mycket av det som finansministern sa som jag skulle vilja kommentera, men eftersom min talartid är begränsad vill jag fokusera på de direkt felaktiga påståenden som Magdalena Andersson gjorde här i talarstolen. Återigen: Enligt OECD, Statistiska centralbyrån och IMF kan man konstatera att Sveriges bnp per capita har ökat med 2,5 procent, och vi är det tredje bästa landet i EU. Här står alltså finansministern rätt upp och ljuger inför svenska folket när hon påstår att bnp per capita skulle ha minskat. Jag vet inte om det är föremål för en KU-anmälan, men det är icke desto mindre häpnadsväckande. Det andra som är häpnadsväckande är finansministerns resonemang om att produktiviteten har haft en svag utveckling. Hon har rätt i den bemärkelsen att i historiska mått mätt har produktiviteten inte varit lika stark under de senaste två mandatperioderna. Men det har den inte heller varit i övriga västvärlden. I Sverige har produktiviteten hållits nere på grund av att fler människor har kommit i arbete och fått enklare jobb som inte har ökat produktiviteten. Då påstår finansministern att de som tidigare har stått utanför arbetsmarknaden nu har klivit in. Ja, det är vi helt överens om. Andelen med svag anknytning till arbetsmarknaden har minskat. Om arbetskraften har blivit större och andelen i arbetskraften som har svag anknytning till arbetsmarknaden har blivit mindre, då måste det ju vara så att de som tidigare stod långt ifrån arbetsmarknaden i större utsträckning har fått jobb. Så är det också. Sverige har Europas lägsta långtidsarbetslöshet.  ","M"
"Monica Green","Herr talman! Det mest häpnadsväckande i den här debatten är väl att MUF:arna försöker tricksa med sina ord fram och tillbaka. De påstår saker som finansministern gör och inte gör för att fokusera på något annat. Det som verkligen är intressant är ju att den gamla regeringen misslyckades med sin jobbpolitik. Det var också därför som svenska folket valde att rösta bort den. Man kan ha att göra med dåliga förlorare, men någon gång måste man kanske se framåt i stället för att satsa bara på skattesänkningar, som den gamla borgerliga regeringen gjorde. Man satsade till exempel 19 gånger mer på skattesänkningar än vad man satsade på skolan.  Det är kanske viktigare att satsa på det som ger jobb. Vi socialdemokrater anser att utbildning ger jobb. Vi tycker att människor ska få fler chanser till utbildning genom hela livet. Det ska finnas möjlighet till validering, och man ska ha bättre chanser att hitta jobb med matchning och så vidare, vilket var ett av de stora problemen under den gamla borgerliga regeringen. Sedan kan ju moderater tricksa sig igenom debatter här, men det hjälper ju inte. Vad vi behöver göra är att satsa på jobben och få igenom våra förslag med utbildningskontrakt, 90-dagarsgaranti, extratjänster, satsning på fler lärare, mindre grupper i skolan och allt det som gör att människor blir rustade för att ta de nya jobb som kommer att växa fram. Dessutom ska vi satsa på jobb på arbetsmarknaden i hela landet. Det tycker jag är betydligt viktigare än att fokusera på vad finansministern eventuellt har sagt och inte sagt. Det är viktigare att se resultaten. Med vår politik satsar vi jobben, och det kommer att visa sig. ","S"
