"Magdalena Andersson","Herr talman! Niklas Wykman har frågat mig hur jag ser på Svenskt Näringslivs beräkningar av effekten på sysselsättningen av regeringens förslag i budgetpropositionen för 2015. Effektberäkningar av den typ som Svenskt Näringsliv har gjort är mycket osäkra. Att ange en siffra på tusentalet när, i termer av hur många jobb till exempel en enstaka skatteförändring leder till, är inte rimligt givet den osäkerhet som omgärdar analysen. Regeringen gör därför i stället en samlad bedömning av sysselsättningseffekterna av sitt förslag i budgetpropositionen. Den sammantagna bedömningen av den av regeringen föreslagna politiken i budgetpropositionen för 2015 är att den leder till en högre sysselsättning och en lägre arbetslöshet. Även Konjunkturinstitutet bedömer att regeringens budgetförslag bidrar till en starkare arbetsmarknadsutveckling 2015 och 2016. Riksdagens beslut angående statsbudgeten från den 3 december får till följd att de för sysselsättningen viktiga investeringarna inom äldreomsorg, miljö och utbildning, som var en del av regeringens förslag, nu försenas. ","S"
"Niklas Wykman","Herr talman! Att vi har en statsminister och en finansminister som ger olika beskrivningar av läget i de offentliga finanserna är inte den enda förvirring som råder i svensk politik. Det är förvisso en unik och allvarlig händelse, men det är inte det enda som är höljt i dunkel. Finansministern och Finansdepartementet vill inte längre på traditionellt vis redovisa sysselsättningseffekterna av politiken. Under alliansregeringen hade medborgarna möjlighet att noggrant ta del av politikens effekter. I enlighet med bästa möjliga vetenskapliga grund och erfarenhet redovisade man dess effekter på jämställdhet, fördelning och sysselsättning. Den här regeringen har valt att inte redovisa just sysselsättningen. Man skulle kanske kunna tro att det är en slump. Det andra får man utgå från att regeringen fortfarande vill redovisa, och man kan se det i budgetpropositionen. Men just effekterna på sysselsättningen vill regeringen inte längre redovisa. Detta har kanske sina skäl. Så här skriver man själv i propositionen: \"De skatteförslag som lämnas och aviseras i denna proposition kommer att bidra till att sysselsättningen . dämpas något.\" Hur mycket den dämpas väljer man dock att inte berätta för svenska folket. Det är givetvis inte så att man saknar kunskap om detta. På Finansdepartementet finns ekonomer och program som efter den bästa vetenskapliga erfarenhet som finns tillgänglig och som används på universitet världen över tydligt kan redovisa vad politiken har för effekter. Finansminister Magdalena Andersson vill dock inte tillkännage för svenska folket vad som ges vid hand när man gör de här beräkningarna. Det är en kunskap hon väljer att behålla för sig själv. Det är beklagligt, för det försämrar kvaliteten på den offentliga debatten och gör det svårare för expertmyndigheter, professorer, medborgare och detta parlament att på allvar utvärdera och granska den politik som förs.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är också allvarligt för att det inte är någonting nytt. De regeringar som Magdalena Andersson aktivt stött har bland annat lagt ned Eso, den expertgrupp för studier av offentlig ekonomi som granskat sådana här saker. Magdalena Andersson har menat att Finanspolitiska rådet är överflödigt under en socialdemokratisk regering. Man har tagit tillbaka uppdrag till Statistiska centralbyrån att övervaka hur utvecklingen på arbetsmarknaden sköts. Kort och gott vill man att jobbpolitiken ska omgärdas av stor osäkerhet och liten möjlighet till inblick i vad reformerna egentligen har för effekt. Magdalena Andersson säger att den samlade bedömningen av politiken är att sysselsättningen ökar. Men man väljer att inte redovisa både plus- och minusposterna. Man redovisar plusposterna. Sedan tiger man om minusposterna och säger att det netto trots allt ska bli plus, men oklart hur mycket. Varför är det så besvärande för finansministern att redovisa hela kalkylen? Vad är det som gör att man inte kan anförtro svenska folket hela berättelsen? Varför är det bara du, Magdalena Andersson, som ska få känna till hela kalkylen? Varför misstror du svenska folket den kunskapen? Lägg hela kalkylen på bordet! Du säger att det är osäkra kalkyler. Ja, det är möjligt att de är osäkra. I viss mån är det självklart. Det är svårt att göra den här typen av kalkyler. Det är därför som väldigt många professorer och andra skickliga akademiker under mycket lång tid har utvecklat de beräkningstekniker vars resultat ni undanhåller. Må vara att kalkylerna är osäkra, men vilken är den bästa bedömningen? Svenskt Näringsliv har använt de kalkyler som Finansdepartementet använt fram till den här propositionen och kommit fram till att din politik kostar ungefär 25 000 jobb. Du vill i ditt svar inte berätta om du anser att det är något fel på kalkylerna. Du säger bara att de är osäkra. Det betyder att du kanske kan tro att det rör sig om mycket mer än 25 000 jobb - 35 000, 45 000? Är det plus eller minus? Vilken är den bästa bedömningen? ","M"
"Patrik Björck","Herr talman! Upplevelsen att Niklas Wykman befunnit sig på något partikansli de senaste åtta åren förstärks efter varje nytt inlägg. Kalkyler är Niklas Wykman mycket intresserad av, och det är gott och väl, herr talman. Sedan säger Niklas Wykman att man under alliansregeringen kunde få ta del av effekterna av regeringens politik. Det, herr talman, är just det som är problemet. 400 000 arbetslösa har fått ta del av effekterna av alliansregeringens politik. Har Niklas Wykman någon gång under de senaste åtta åren tittat ut från sitt partikansli, närmat sig verkligheten, kanske rest ut i landet och träffat någon av de 400 000 arbetslösa? De förlorade inte bara sitt jobb under alliansregeringens tid, Niklas Wykman, utan också möjligheten att försörja sig och möjligheterna till ett anständigt liv. Och det kommer mer, herr talman: De förlorade möjligheten att komma tillbaka till arbetsmarknaden. Det är resultatet av alliansregeringens politik.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag tror inte, Niklas Wykman, att de 400 000 arbetslösa satt och läste Anders Borgs kalkyler skrattande när de drabbades av arbetslöshet. Nej, de noterade naturligtvis på sitt eget bankkonto effekterna av alliansregeringens politik. Där kunde man svart på vitt se vad den politiken gav. Den gav en arbetsmarknad med ett sämre funktionssätt. Den gav en situation där vi trots 400 000 arbetslösa hade 100 000 lediga jobb i befintliga företag. Niklas Wykmans alliansregering vägrade att satsa pengar som kunde ge de arbetslösa möjlighet att ta de lediga jobben. Om vi hade haft en annan politik under de åren och tillsatt de 100 000 jobben hade de i sin tur skapat ytterligare arbete, för så fungerar ekonomin. Arbete skapar arbete, och alliansregeringens arbetslöshetspolitik skapar mer arbetslöshet. Herr talman! Jag skulle rekommendera Niklas Wykman ett litet besök i verkligheten. Jag ska inte på något sätt raljerande säga att kalkyler är oviktigt. Det är säkert viktigt. Men för den som drabbas av alliansregeringens politik, och kan läsa ut effekterna av regeringens politik på sitt eget bankkonto och faktiskt får svårt att försörja sig och sin familj, är inte Anders Borgs fantasikalkyler de senaste åtta åren någon uppbygglig läsning eller någonting som hjälper en i vardagen. Nu har vi en möjlighet om vi får genomföra den politik som Magdalena Andersson redogör för och vårt budgetalternativ där vi offensivt satsar på att pressa tillbaka arbetslösheten. Vi kan låta människor om fyra år utvärdera effekterna av vår politik. Det tror jag att svenska folket uppskattar mycket mer än Anders Borgs låtsaskalkyler. ","S"
"Finn Bengtsson","Herr talman! När det gäller kalkyler för att bedöma jobbtillväxt tror jag att Niklas Wykman har väldigt stor erfarenhet av detta efter långt och troget arbete på just Finansdepartementet. Det är naturligtvis väldigt svårt när man använder auktoriteter på olika sätt för att bekräfta att den ena kalkylen framåt är bättre än den andra. Man ska ha respekt för att det finns värdegrundsladdade ingångar i hur man ser på att stimulera till jobbtillväxt. Det innefattar också hur jobben skapas, bland annat i företag och i näringslivet. Där är helheten i politiken viktig för att jobben växer till, kanske betydligt mycket viktigare än kalkyler utifrån en osäker politiks utslag. Jag gick upp i debatten för att den inte bara handlar om jobbskapande utan också om den totala sysselsättningen i samhället. Det är här det finns en väldigt tydlig skillnad mellan den rödgröna regeringens delvis tillväxtfientliga politik, understödd av Miljöpartiet, och när man hade en allians där inte minst Moderaterna lyfte fram behovet av en ökad sysselsättning och att de som varit i utanförskap också får en möjlighet att komma in och bidra med arbete. Kortsiktigt är det så att den som lämnats i utanförskap i till exempel långtidssjukskrivning eller förtidspension ses som arbetslös i stället för som i just utanförskap utan någon säker väg in i arbetsmarknaden. Tidigare under debatten här i eftermiddag har det beskrivits som att sjukskrivningstalen har ökat under alliansregeringen. Låt mig få korrigera detta ur sysselsättningsperspektivet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Den viktiga frågan är: Hur var det under de katastrofala toppåren här i Sverige 2002 och 2003 när vi hade en högkonjunktur till skillnad från den mycket svåra internationella lågkonjunktur som vi nu har genomlidit? Vi hade den mest sjuka befolkningen under längst tid jämfört med alla jämförbara länder runt om i vår närhet. Detta var ett utanförskap som gjorde att man skenbart såg en sysselsättning som var hyfsat god, eftersom dessa människor inte räknades in. Sedan genomfördes en mycket viktig sjukförsäkringsreform av alliansregeringen som kraftigt tog ned sjuktalen. Tidigare i debatten har det sagts att man har ökat sjukskrivningarna igen. Det stämmer, men det är en mycket marginell ökning jämfört med den ökning som manifesterade sig under Socialdemokraternas förra regeringsperiod. Jag vill också påtala det viktiga i att den sänkning av ohälsotalet som då fanns kompenserade Socialdemokraterna genom att skicka över människor i förtidspension, alltså permanent utanförskap. Det gjorde att sysselsättningen skenbart hölls uppe.  Herr talman! Det är inte ett ansvarsfullt sätt att tala om jobbskapande politik som dessutom stärker sysselsättningen när man medvetet placerar in människor i ett utanförskap i form av långtidssjukskrivningar eller förtidspension. Det är tyvärr ett signum för socialdemokratiska regeringar. Herr talman! Jag vill därför inte att man historiesbeskrivningsmässigt, där vi verkligen har ett facit av hur Socialdemokraterna faktiskt hanterar sysselsättningsfrågan genom att aktivt placera människor i utanförskap, ska glömma bort den viktiga faktorn. Under den mandatperiod som Alliansen styrde gick man in med ett så kallat utskottsinitiativ från riksdagen för att tvinga regeringen att öka utanförskapet i sjukförsäkringen genom att få en ännu mer ostrikt bedömning av möjligheterna att vara långtidssjukskriven. Man ville ändra på sjukförsäkringsbegreppet för rätt att vara långtidssjukskriven. Herr talman! Det visar med all önskad tydlighet - om än man träter om vem som skapar mest jobb, och jag tror att det är till Alliansens fördel - att det definitivt är så att den andra vågskålen med en ökad sysselsättning är ett falsarium när Socialdemokraterna medvetet placerar människor i utanförskap för att uppnå detta syfte. ","M"
"Monica Green","Herr talman! Jag vill något kommentera det sista. Man hoppar in i debatten utan att ha varit med i de andra debatterna och tror sig komma med sanningar. Det får man göra om man vill. Men det vore klädsamt om man då också tog del av det andra och inte bara rycker ut en mening. Det som skedde under den socialdemokratiska regeringens tid var att vi först bestämde oss för att halvera arbetslösheten, eftersom vi hade för hög arbetslöshet i landet. Moderaterna vägrade att ta det till sig. De sa att det var fullkomligt omöjligt. Det kommer aldrig att gå. Ni bara hittar på saker. Ni vet inte vad ni gör, och ni kommer aldrig att lyckas med det. Moderaterna ville absolut inte vara med och bidra till att sänka arbetslösheten. Men vi lyckades halvera arbetslösheten. Nästa delmål vi satte upp var att halvera sjuktalen i sjukförsäkringen. Vi började med det arbetet under 2002 och fram till att vi förlorade valet 2006. Vi hade steg för steg arbetat ned de höga sjuktalen, som jag håller med om var alldeles för höga. Vi hade kunnat fortsätta med det. De fortsatte sedan att sjunka under den borgerliga regeringens tid ett tag. Men de senaste åren har de ökat igen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Arbetslösheten har ökat, och antalet sjukskrivna har ökat trots att ni har försämrat för de arbetslösa. De borgerliga politikerna tror att om man bara sänker tillräckligt mycket tvingas människor att ta ett jobb. Många borgerliga politiker tror att människor är sjuka och arbetslösa frivilligt. Därför har den borgerliga politiken gått ut på att om man sänker ersättningarna - det ni kallar för bidrag - tvingas de att ta ett jobb. I teorin, och i praktiken om man sitter inlåst på ett partikansli, kan man kanske tycka att det låter bra. Men i verkligheten är det något annat. Nu har det visats väldigt tydligt att både arbetslösheten och sjukskrivningstalen ökade under den borgerliga regeringens tid. ","S"
"Hanif Bali","Herr talman! Rörelsens stora historieskrivare, Monica Green, försöker återigen bygga upp en bild som inte existerar. Du talar om att ni satte upp ett mål för att halvera sjukskrivningarna, Monica Green. Men sättet ni hanterade det på var att förtidspensionera människor. Ni förtidspensionerade i stället för att ha människor i sjukskrivning. På vilket sätt är det bättre? Förutom att de får ett lägre bidrag är det kanske mer snällt mot statens budget. Men det är knappast att lösa utanförskapet. Det var just det som finansministern ångrade här tidigare. Nu berättar du att det var ett fantastiskt mål. Först sjukskrev vi alla, och sedan förtidspensionerade vi dem. Det var plötsligt bra. Det är helt otroligt. Tron att människor inte frivilligt sjukskriver sig själva är ganska intressant. Då utgår du ifrån att den enorma ökning av sjukskrivna som skedde under tidigt 2000-tal på något sätt var en epidemi som gick genom Sverige. Jag undrar: Var finns det medicinska belägget? Vad var det för sjukdom som drog igenom Sverige och fördubblade och ibland tredubblade sjukskrivningarna på bara ett fåtal år? Vilken epidemi var det som spred sig i Sverige då? Folk var ju sjuka - eller hur? Ingen väljer att bli sjuk. Har Monica Green, som den historieskrivare hon är, kartlagt vad det var för sjukdom? Än så länge har jag inte fått ett enda svar från Socialdemokraterna om vilken epidemi det var, vilken sjukdom som spred sig över Sverige och som sedan snabbt försvann. Det är klart att ersättningssystem påverkar människors beteende. Det är klart att politiska direktiv om hur lätt man ska använda sjukskrivningsstämpeln påverkar läkare och samhället. Allt annat är att förneka verkligheten. Detsamma är det yttersta beviset. När ni 2010 via ett utskottsinitiativ tvingade Alliansen att lätta på reglerna i sjukförsäkringen märkte vi, precis som finansministern har berättat, att sjukskrivningarna började öka. Eller påstår du att det var någon ny epidemi? Om du ska vara historieskrivare får du i alla fall skriva rätt historia. Med andra ord: Hur lössläppta bidragsregler man har påverkar hur människor är benägna att vara en del av bidragssystemet. Med detta enkla faktum gäller inte din teori, helt enkelt. Den verklighetsbild som du vill måla upp gäller inte. Den verklighetsbild som stämmer är däremot vad finansministern berättade. Det var en katastrofal politik, och ni har ångrat er. Kan du inte stå för det i stället? ","M"
"Magdalena Andersson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Det var mycket intressant att lyssna till Hanif Bali. Man kunde lätt få intrycket att Sverige skulle bli oerhört friskt om vi ytterligare sänkte ersättningsnivåerna i sjukförsäkringen eller kanske avskaffade dem helt. Då skulle vi bli oerhört friska allihop! För att återgå till interpellationen: Niklas Wykman frågar om jag har några synpunkter på Svenskt Näringslivs beräkningar. Ja, det har jag. Problemet med Svenskt Näringsliv är lite grann att de räknar med dynamiska effekter av skatteförändringarna i budget men inte räknar på dynamiska effekter av de åtgärder som vi investerar pengarna i. De räknar med att människor förändrar sitt beteende utifrån skatteförändringarna men räknar inte med vilka intäktseffekter det blir med människors beteendeförändringar efter de insatser som vi gör, till exempel de utbildningsinsatser som vi gör, som kommer att kunna stärka möjligheterna för människor att arbeta och komma i sysselsättning. Där räknar man inte med beteendeförändringar. Man räknar inte heller med beteendeförändringar som sker till exempel genom att vi stärker äldreomsorgen genom ytterligare personal i äldreomsorgen som kan höja kvaliteten där och öka arbetskraftsutbudet bland dem som är anhöriga till personer som befinner sig i äldreomsorgen. Vi har fått studier som visar att över 100 000 personer uppger att de har gått ned i arbetstid för att äldreomsorgen inte har hållit tillräckligt hög kvalitet. Svenskt Näringsliv blandar äpplen och päron i sina beräkningar, och det tycker jag är viktigt att man har med sig när man tittar på Svenskt Näringslivs beräkningar. Dessutom är den här typen av beräkningar mycket osäkra. Det vet Niklas Wykman också. Jag gör bedömningen att beräkningar av exakt vilken sysselsättningseffekt det blir av enskilda förslag är behäftade med så stora osäkerheter att jag inte tycker att det är lämpligt att ange detta i budgetpropositionen. Det handlar om vilka antaganden man gör, och det är antaganden som är mycket osäkra. Min bedömning är att det är bättre att inte visa den typen av beräkningar i budgetpropositionen. Däremot skriver vi tydligt i budgetpropositionen att bedömningen av den samlade politiken är att den kommer att sänka arbetslösheten och höja sysselsättningen och tillväxten något. Det är den bedömning som regeringen gör och som vi också tydligt redovisar i budgetpropositionen. Ett litet problem som vi har haft under de senaste åren är att den tidigare borgerliga regeringen gjorde mycket optimistiska bedömningar av sina skattesänkningar, att de skulle få fantastiska sysselsättningseffekter, som de också tydligt redovisade i budgetpropositionen. Det skulle ge stora sysselsättningseffekter, det skulle bli stora skatteintäkter till staten och så småningom skulle det bli väldigt bra i de offentliga finanserna. Sedan satte de sprätt på ytterligare pengar med ytterligare skattesänkningar eftersom de visste att det snart skulle komma stora skatteintäkter. Men sedan blev det inte riktigt fallet, och det är en av orsakerna till att vi i dagsläget har stora underskott i de offentliga finanserna. ","S"
"Niklas Wykman"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Alliansregeringen redovisade tydligt effekterna av den politik som man föreslog enligt de bästa modeller, kalkyler och beräkningskonventioner som är tillgängliga. Vad som är något anmärkningsvärt - när man hör finansministern prata om att kalkyler är så osäkra att hon inte anser sig kunna presentera resultatet av dem - är att hon trots allt presenterar resultatet. Hon är mycket osäker på kalkylerna men helt säker på att de stannar över nollstrecket, att det blir positiva effekter på sysselsättningen. Den som lyssnar till en sådan debatt tror jag snabbt kan konstatera att det nog inte riktigt hänger ihop med verkligheten. Man kan inte vara mycket osäker på hur stora minusposterna är och samtidigt vara helt säker på att nettot är positivt. Det går liksom inte ihop. Man kan inte vara otydlig och osäker på det som talar till ens nackdel men tvärsäker på det som talar till ens fördel, om man inte bara är politiker och inte alls vill kännas vid sin roll som ekonom. Om man kan vara säker på plusposterna måste man också kunna vara säker på minusposterna. Alternativt kan vara osäker på både och. Nu är Magdalena Andersson helt säker på plusposterna men mycket osäker på minusposterna. Det leder till tanken att man vill redovisa det positiva men inte vill redovisa det negativa. Det är just det som jag tycker försämrar nivån på debatten och diskussionen, särskilt mot den bakgrund som Magdalena Andersson och Socialdemokraterna har. Man har bland annat lagt ned Eso en gång i tiden, har sagt att Finanspolitiska rådet inte behövs, har tagit tillbaka uppdragen från Statistiska centralbyrån att mäta sysselsättningsutvecklingen och samtidigt valt att inte presentera de negativa sysselsättningseffekterna av sin politik i budgeten. Vi har expertmyndigheter i Sverige som åtminstone än så länge kan göra den här typen av bedömningar. Konjunkturinstitutet, som finansministern pratade om tidigare, skriver till exempel: \"Höjt tak och grundbelopp i a-kassan ökar jämviktsarbetslösheten. Den högre ersättningsgraden minskar drivkraften till arbetssökande.\" Det skriver man som kommentarer till budgeten. Man skriver också: \"Samtidigt tar regeringen bort nedsättningen av socialavgifter för unga, vilket kan påverka sysselsättningen negativt. Den särskilda löneskatten för äldre riskerar att leda till ett tidigare utträde från arbetsmarknaden, vilket också minskar sysselsättningen.\" Konjunkturinstitutet, som också använder de bästa kända metoderna för att utvärdera detta, säger alltså att regeringens politik minskar sysselsättningen. Vad gäller de reformer som regeringen föreslår skriver Konjunkturinstitutet: \"På kort sikt är det troligt att reformerna inom arbetsmarknadspolitiken leder till lägre arbetslöshet\" - observera att de inte skriver \"högre sysselsättning\" utan \"lägre arbetslöshet\" och tillägger - \"i den utsträckning deltagare i nya program räknas som sysselsatta. På lång sikt är effekten mindre klar.\" Man skriver också att regeringens bedömning är rimlig \"eftersom de som deltar i traineejobb och extrajobb i offentlig sektor kommer att räknas som sysselsatta i stället för som arbetslösa\".  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är alltså precis vad vi har diskuterat här i kammaren under hela eftermiddagen. Regeringens politik har negativa effekter för jobbskapandet i Sverige. Jobbmotorn stannar av och går så småningom troligtvis på den tomgång som vi såg inför 2006. I stället väljer man att tricksa med statistiken och placera om människor i olika former av system. Detta bekräftas av Konjunkturinstitutet, som ännu inte har fått utstå den typ av verbala påhopp som Finanspolitiska rådet har fått från finansministern. Då de framförde sin kritik och konstaterade att finansministern bröt mot ramverket blev de förklarade som överflödiga nu under socialdemokratisk regering. Konjunkturinstitutet finns ännu kvar och påtalar att den politik som finansministern lägger fram har negativa effekter för sysselsättningen men att arbetslösheten kan bli lägre genom att människor omklassificeras. (forts.) ","M"
"Patrik Björck","Herr talman! Niklas Wykman verkar vara mycket förälskad i kalkyler. Det har visat sig tidigare i debatten. Han hävdade före ajourneringen att alliansregeringen har presenterat de bästa tänkbara kalkyler som över huvud taget var möjliga att ta fram. Det är möjligt att det är så. Jag vet inte vem som vinner den tävlingen.  Herr talman! Jag uppmanade Niklas Wykman i mitt förra inlägg att i stället kanske ägna lite mer tid åt verkligheten och till exempel tala med de arbetslösa som så att säga fick betala priset för alliansregeringens politik. Det verkade inte som om Niklas Wykman var så intresserad av det. Jag skulle kunna fortsätta att uppmana Niklas Wykman, om han inte vill tala med de arbetslösa, att kanske tala med företagen som också har drabbats av alliansregeringens politik.  Enligt Svenskt Näringsliv har drygt hälften av företagen uppgett att det är svårt att rekrytera medarbetare. Fortfarande misslyckas nästan vart femte rekryteringsförsök. Detta innebär att man tackar nej till order och drar ned på produktion eller att man får skjuta på planerad expansion på grund av den politik som Niklas Wykman står för.  Den främsta förklaringen till de problem som företagen har är att de har svårt att rekrytera och misslyckas helt. Det är för att de har brist på personer med rätt yrkeserfarenhet. Det är ett fenomen som beskrivs i någonting som kallas för beveragekurvan. Efter den finanskris som har varit såg man att vakanstalen och arbetslösheten steg.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är svårt att hitta en bättre bild på en regerings misslyckande än den att man sätter sig i en situation där både vakanstalen och arbetslösheten stiger. Den verkligheten skulle jag vilja uppmana Niklas Wykman att ge sig ut och diskutera med företagen. Sedan kan han på kvällarna roa sig med sina kalkyler. Men jag skulle rekommendera Niklas Wykman att på dagarna ägna sig åt verkligheten.  ","S"
"Finn Bengtsson","Herr talman! Denna interpellation handlar lite grann om en gissningslek när det gäller kalkyler för vad som skapar jobb och vad som inte skapar jobb. Jag sade i mitt förra inlägg att det också i grunden handlar om politiska värderingar om vad som skapar jobb.  Finansministern nämnde före ajourneringen för gruppmöten att det handlar väldigt mycket om svårbedömda beteendeeffekter. Jag vill komma in lite grann på detta i mitt sista inlägg och kommentera beteendeeffekterna. Om man höjer skatten på lönearbete och på företagande får man, utan att vara någon Einstein, fundera på om detta kommer att skapa bättre förutsättningar för att människor ska vilja betala mer skatt och kanske jobba ännu mer för att betala ännu mer skatt. Denna altruism kanske inte alltid finns i ett land som har bland världens högsta skatter.  På samma sätt är det med företagande. Om det blir dyrare och mer riskabelt att starta ett företag, vill man då expandera detta företag och ta ännu större risker till mindre förtjänst? Jag tycker att det är logiskt att det är mycket tveksamt. På samma sätt är det också med arbetsgivaravgiftshöjningar. Om man höjer arbetsgivaravgifterna, på vilket sätt tror man då att en arbetsgivare känner ännu större stimulans att ta in människor, naturligtvis med trygga villkor, till en högre kostnad?  Detta har vi diskuterat ganska mycket när det gäller den allvarliga situationen med ungdomsarbetslösheten. Om man inte stimulerar arbetsgivarna utan snarare höjer deras kostnader för att anställa unga, på vilket sätt tror man då att detta skapar jobb? Detta är alltså beteendeeffekter som jag tycker att man kan analysera utifrån ett vanligt mänskligt perspektiv och sunt förnuft och som talar emot Socialdemokraternas resonemang om att deras politik och deras värderingar när det gäller människors beteende skulle skapa fler jobb. Jag tror att det riskerar att skapa färre jobb. ","M"
