"Magdalena Andersson","Fru talman! Anna Kinberg Batra har frågat mig varför Finansdepartementet inte har presenterat bedömningar av effekter på sysselsättning, antalet arbetade timmar och bnp för de skattehöjningar som föreslås inför nästa år. Anna Kinberg Batra efterfrågar även Finansdepartementets bedömning av dessa effekter. De offentliga finanserna befinner sig i ett mycket bekymmersamt läge. Trots att konjunkturläget har förbättrats de senaste åren har underskotten vuxit och förväntas uppgå till närmare 90 miljarder kronor i år. En viktig förklaring till detta är att den borgerliga regeringen har lånat till sina skattesänkningar. Regeringen lägger nu om politiken i en mer ansvarsfull riktning. Ofinansierade skattesänkningar utgör ingen hållbar politik. De reformer som presenteras i höstens budget finansieras därför fullt ut. Med tanke på det bekymmersamma läget i de offentliga finanserna är det nu nödvändigt att höja skatten och genomföra besparingar för att kunna ge prioritet åt angelägna satsningar. De satsningarna ska bland annat minska arbetslösheten, förbättra resultaten i skolan och göra Sverige till en global förebild i klimatomställningen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Den borgerliga regeringen har vid upprepade tillfällen haft en alltför optimistisk syn på effekterna av den förda politiken för svensk ekonomi. Det finns tydliga tecken på att skattesänkarpolitiken inte har fått avsedd effekt vad gäller arbetslöshet och sysselsättning. Sysselsättningsgraden är ungefär lika hög som 2007, och arbetslösheten har bitit sig fast på en hög nivå. Det råder stor osäkerhet om de exakta effekterna av varje enskilt förslag. Regeringens linje är därför att göra en försiktig och samlad bedömning av effekterna av de reformer och den finansiering man avser att genomföra. Sammantaget bedöms de åtgärder som föreslås i budgetpropositionen bidra till en lägre arbetslöshet och en högre sysselsättning de närmaste åren. ","S"
"Anna Kinberg Batra","Fru talman! Jag vill tacka finansministern för svaret. I morgon är det sex veckor sedan jag väckte den här första interpellationen. Det är delvis mitt fel att det har gått så lång tid. Jag klandrar alltså inte finansministern för dröjsmålet. Däremot klandrar jag henne för att under så lång tid inte ha kommit längre i bedömningen av sysselsättningseffekter. Det är ändå jobben som är den stora frågan. Frågan är inte om Magdalena Andersson vill höja skatten; det har framgått av debatterna. Frågan är vad förslagen gör med jobben. Låt oss titta på andra bedömare som har uttalat sig under den här tiden. IFAU, TCO, Svenskt Näringsliv, Ekonomistyrningsverket, Arbetsförmedlingen och Pensionsmyndigheten är alla exempel på organisationer som har ifrågasatt flera av regeringens skatteförslag på grund av just negativa effekter på arbete. Ekonomistyrningsverket skriver till exempel att det förhöjda grundavdraget ändrar relativpriset mellan arbete och pension och därmed kan dämpa utbudet av arbetskraft medan förslaget om att återinföra den särskilda löneskatten för personer över 65 år minskar efterfrågan på äldre arbetskraft. Arbetsförmedlingen skriver, apropå åtstramningar av RUT-avdraget, att det därmed finns en risk för att ungdomsarbetslösheten ökar. Och Konjunkturinstitutet skriver att promemorian överskattar förstärkningen av de offentliga finanserna på grund av avtrappat jobbskatteavdrag och begränsad uppräkning av skiktgränsen för statlig inkomstskatt eftersom regelförändringarna kan ge upphov till lägre beskattningsbara arbetsinkomster än vid oförändrade regler. Så där kan man hålla på och citera, till exempel Konjunkturinstitutet som så sent som i förra veckan skrev om risken för högre jämviktsarbetslöshet. Regeringen höjer skatterna på jobb och företagande 40 gånger mer än vad den föreslår till aktiv näringspolitik. Det innebär att åtgärder som försämrar incitamenten för arbete prioriteras framför dem som ger jobb. Bara för att anställa våra unga höjer regeringen skatten med 18 miljarder och föreslår i stället en del till platser varav många dock är omdiskuterade, till och med underkända av berörda fackföreningar och förbund.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Finansministern sade att man ska man bedöma effekten sammantaget. Jag vill avsluta det här inlägget med att fråga om just den sammantagna effekten. Det är nämligen den sammantagna effekten av budgetpropositionen som vi ska förhålla oss till. Vad gör den med styrkan i svensk ekonomi? Vad gör den med den jobbtillväxt som vi nu ser på bred front? Och frågan är framför allt - om vi nu har riskerna för dämpad jobbtillväxt - vad den gör med resurserna till välfärden, möjligheterna att investera i att bygga Sverige starkare och den svenska konkurrenskraften på längre sikt. ","M"
"Finn Bengtsson","Fru talman! Jag vill börja med att tacka Anna Kinberg Batra för en intressant interpellation och även tacka finansministern för svaret. Det finns två saker i finansministerns svar som jag vill fråga om. Den ena är att finansministern säger att den borgerliga regeringen har lånat till sina skattesänkningar. Mig veterligen har den borgerliga regeringen amorterat på statsskulden. Det förefaller då förvånande om det skulle finnas en ökad skuldbörda när man har kunnat sänka skatten utan att låna. Vid sidan av den statistik som Anna Kinberg Batra redogjorde för har Statistiska centralbyrån visat att alliansregeringens politik har sänkt skatterna med 136 miljarder kronor. Men under åren 2006-2014 ökade samtidigt skatteintäkterna med 27 procent i löpande priser. Det visar att man kan sänka skatterna på lönearbete och på företagande och att det ger positiva intäkter till staten. Det är en ekvation som vänsterregeringen tyvärr inte förstår. Den andra saken som jag vill ta upp är att finansministern säger: \"De reformer som presenteras i höstens budget finansieras därför fullt ut.\" Hon menar också att det är \"nödvändigt att höja skatten och genomföra besparingar för att kunna ge prioritet åt angelägna satsningar\". Ett problem som den tidigare socialdemokratiska regeringen brottades med, ett gigantiskt problem för statsfinanserna, var de skenande sjukskrivningstalen, både långtidssjukskrivningar och förtidspensioner. De höll på att ruinera statsbudgeten 2002-2003, när det var som värst. Då hade vi dubbelt så många sjukskrivna som i dag och människor som var sjukskrivna dubbelt så länge. Vi hade 550 000 förtidspensionärer. Detta berodde till stor del på en dysfunktionell sjukförsäkring. Den hade inte tidsgränser då man stämde av om det var nödvändigt att vara sjuk eller om det fanns arbetsförmåga. Alliansregeringen införde en reform som just halverade sjuktalen och längderna för sjukskrivningarna. Det ger besparingar men ger framför allt stora vinster för de människor som kan återgå till arbete eller komma närmare arbetsmarknaden. Det är därför lite förvånande att läsa om en reform i budgeten som innebär borttagande av tidsgränserna. Vi kastar oss tillbaka till den situation som vi hade 2002-2003 med enorma utgiftsökningar. När jag tittar på vad man budgeterar i utgiftsområde 10 kan jag se att det inte finns tillstymmelse till sådana utgifter som faktiskt kommer att komma. Därför är min fråga till finansministern: Är sjukförsäkringen verkligen finansierad fullt ut, så som hon säger i sitt svar att regeringens reformer ska vara? Jag betvivlar detta. ","M"
"Rasmus Ling"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Till att börja med vill jag gratulera interpellanten till de många nomineringar som hon har fått för att bli ny partiordförande. Det är ju alltid trevligt att få förtroende och uppskattning för sitt arbete. Det finns några saker som jag skulle vilja påpeka när det gäller de frågeställningar som tas upp om de effekter som skatteförändringarna som regeringen har föreslagit i budgetpropositionen innebär. När den förra regeringen sänkte arbetsgivaravgifterna gjordes det ju en beräkning av hur sysselsättningen skulle påverkas. Problemet var ju att de effekter som man önskade inte blev verklighet. När Institutet för arbetsmarknadspolitisk utvärdering, IFAU, gav ut sin rapport förra året om de effekter som sänkningen av arbetsgivaravgifterna har fått visade det sig att \"det mesta tyder på att den andra sänkningen inte gav någon sysselsättningseffekt\". Varje jobb som har kommit till av den nedsatta arbetsgivaravgiften för unga uppgick till mellan 1 och 1,6 miljoner kronor - fyra gånger så mycket som det kostade att anställa en ung med en genomsnittlig lön. Fru talman! Det är ingen ovanlig dröm för många unga i dag att bli en ny Zlatan. Vi har läst historien om pojken som växte upp i Malmös utkant och som mot alla odds först blev ordinarie spelare i Malmö FF och sedan fotbollsproffs i bland annat Italien och Frankrike. Nu kan ju inte alla bli en ny Zlatan, och det är väl förvisso tur. Men vi kan alla faktiskt överträffa vår potential på olika sätt. Vi kan lära oss datateknik, köra truck, vårda sjuka eller laga mat som är både nyttig och god. Det bygger på vad vi gör själva och vilka drivkrafter vi har, men det bygger också på vilka förutsättningar som finns i övrigt. När den nya regeringen nu föreslår att man ska höja arbetsgivaravgiften blir det en del ökade kostnader för företag, men det innebär också att man får mer pengar till att finansiera utbildning - utbildning som behövs för att vi som bor här i Sverige ska vara rustade för arbetsmarknaden också framöver.  Det gör att de elever som i dag går på Stenkullaskolan eller i andra skolor har tillräckligt med lärare och har goda förutsättningar.  Det leder till att den ekonomiska utsattheten kan minska så att sjuka eller arbetslösa och deras barn får en drägligare tillvaro.  På det sättet kan vi ta itu med järnväg och kollektivtrafik så att olika fotbollslag med pojkar eller flickor kan ta sig till matchen till grannkommunen utan att bli försenade till avspark. Fru talman! Politik handlar om prioriteringar, eftersom resurserna är begränsade. Den nya regeringen höjer skatteuttaget, men det gör också att vi kan öka kvaliteten i välfärden och skapa en drägligare tillvaro för människor i ekonomisk utsatthet. Vi kan även möjliggöra för unga talanger att utveckla sin potential. ","MP"
"Magdalena Andersson","Fru talman! Tack för inläggen! Anna Kinberg Batra efterfrågade en sammantagen bedömning av insatserna i budgeten, och då citerar jag från finansplanen: \"Sammantaget bedöms BNP-tillväxten och sysselsättningen bli något högre samtidigt som arbetslösheten blir omkring 0,2 procentenheter lägre 2015 till följd av de insatser som föreslås eller aviseras i denna proposition.\"  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det som Anna Kinberg Batra tar upp i sitt inlägg är ju enbart skatteförändringarna. Men problemet är att man inte kan titta bara på ena sidan av politiken. Man kan inte bara titta på skatter även om vi vet att moderater är väldigt upptagna med skatter, i dag och historiskt. Man måste också titta på vad skatterna används till. Varje gång vi tar ut skatt använder vi dessa pengar till någonting. Det är ju inte så att länder som har den lägsta skattekvoten, som tar ut minst skatt, är de länder som har lägst arbetslöshet eller högst sysselsättning. Det statistiska sambandet pekar snarare åt andra hållet.  När man tar ut skatt använder man skattepengarna till någonting. När vi nu höjer skatten på en del områden använder vi de pengarna så att skolan ska bli bättre. Fler ungdomar kommer att ha möjlighet att gå på högskola och universitet för att stärka sin kompetens så att de ska kunna få bra arbeten, göra karriär och stå sig i den internationella konkurrensen. Vi gör det möjligt för ungdomar som i dag går långtidsarbetslösa månad ut och månad in, halvår och årsvis att jobba. Anna Kinberg Batra kallar det för en plats. Men det är ett jobb. Vi vill att ungdomar ska få möjlighet att jobba och få lön. Ungdomar som inte har gymnasieutbildning ska kunna kombinera arbete och utbildning för att man ska kunna motivera alla ungdomar att också genomgå den gymnasieutbildning som vi alla vet är så viktig. Vi gör andra insatser som ger både möjlighet till jobb och möjligheter för att andra att arbeta. Det höjer kvaliteten i till exempel barnomsorgen. Det ger jobb direkt, men det ger också möjlighet för småbarnsföräldrar att arbeta, kanske heltid i stället för deltid.  Vi lägger ytterligare resurser på anställda i äldreomsorgen. Det ger jobb i äldreomsorgen, och det ger också möjlighet för de över 100 000 kvinnor som i dag uppger att de har gått ned i arbetstid för att ta hand om sina äldre. Detta ger möjlighet för dem att kanske jobba heltid i stället, och det gäller också de kvinnor som slutar att jobba för att de vårdar sin partner.  De insatser som regeringen gör ger jobb, så man kan inte bara titta på skatterna. Man måste också titta på vad pengarna används till. Sammantaget ger den här budgeten bättre förutsättningar för tillväxt och sysselsättning i dag, och inte minst stärker den Sveriges konkurrenskraft på lång sikt. Finn Bengtsson frågar hur man har kunnat minska statsskulden med lånade pengar till skattesänkningar. Den tidigare borgerliga regeringen sålde ut stora tillgångar som vi ägde gemensamt. Man sålde ut statliga bolag. Om man inte hade gjort det hade statsskulden inte minskat. Det är det som är förklaringen. Sedan säger Finn Bengtsson också att de senaste åtta åren visar att man kan sänka skatten, men ändå öka skatteintäkterna. Det finns en magisk formel här: Genomför man bara stora skattesänkningar så blir det stora skatteintäkter. Om det är så, varför föreslår ni inte skattesänkningar i budgetmotionen som ni just har lagt fram? ","S"
"Anna Kinberg Batra"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Ursäkta, men det var tolv år sedan jag senast stod här som interpellant. Men det kan komma fler tillfällen, för den här debatten kommer nog att behöva fortsätta under mandatperioden. Det piggar upp att höra båda regeringspartierna. Det visar ju hur regeringen samlat ser på detta med tillväxt och jobbskapande insatser. Rasmus Ling fick det nästan att låta som att högre skatter ger starkare ekonomi. Det bottnar kanske i miljöpartiförslagen om ett ekonomiskt system utan tillväxt eller om att vi ska jobba mindre. Men faktum är att vi under den tid som Alliansen var i regeringsställning förbättrade incitamenten för att arbeta. Vi har till exempel genomfört jobbskatteavdragen, och därmed har resurserna till välfärden kunnat öka. Det är när svensk ekonomi har kunnat växa som vi har kunnat genomföra till exempel förstelärarreformen, satsat hårt på kunskap i skolan, satsat hårt på högre utbildning vilket gör att det nu är fler än någonsin som läser på högskola. Det är 20 000 fler som gör det nu jämfört med 2006. Det hade inte varit möjligt utan en ekonomi som hade vuxit. Och det hade inte varit möjligt om folk inte gick till jobbet på morgnarna. Magdalena Andersson låter ju nästan ibland i debatterna som att hon skulle vilja riva upp jobbskatteavdragen. Men låt oss konstatera att det första jobbskatteavdraget är kvar, det andra är kvar, det tredje är kvar, det fjärde är kvar och det låter inte ens i dag som att regeringen vill riva upp det femte jobbskatteavdraget. Låt oss vara eniga om dels att dessa reformer har gjort det mer lönsamt att arbeta, dels att de har omfattande sysselsättningseffekter i storleksordningen 120 000 på längre sikt. Stefan Löfven deklarerade ju inför valet att om han skulle få bilda regering skulle han kräva besked av varje statsråd och varje myndighetschef om besluten innebär fler jobb eller ej. I regeringsförklaringen deklarerades att ett tydligt sysselsättningsmål skulle styra den ekonomiska politiken. Nu står vi här och diskuterar just sysselsättningseffekterna av skatteförslagen. Jag förstår fortfarande inte varför det skulle bli fler jobb om det blev 40 000 kronor dyrare att ge en ung tjej hennes första chans att få in en fot på arbetsmarknaden. Jag förstår fortfarande inte heller hur regeringen kan vara så otydlig i finansplanen. Magdalena Andersson citerar själv finansplanen. Jag gör det gärna också. På s. 57 under punkt 1.9.1 Effekter på arbetslöshet och sysselsättning står: \"De skatteförslag som lämnas och aviseras i denna proposition kommer att bidra till att sysselsättningen och BNP dämpas något.\" I den senaste budgetpropositionen från den avgångna regeringen refererades i stället till aktuell forskning på vilken Finansdepartementets opolitiska medarbetare hade grundat bästa möjliga bedömningar. Det är svårt att göra precisa sådana, men de var tydligt positiva på längre sikt. Jag skulle vilja fråga chefen för Finansdepartementet och chefen för de opolitiska tjänstemän som förra året fick tillämpa den aktuella forskningen och göra bästa möjliga prognoser vad det är för ny forskning som har kommit fram som föranleder den nuvarande regeringen att lägga skatteförslag som dämpar sysselsättning och bnp. På vilken forskning är de bedömningar som regeringen gör grundade, det vill säga att det skulle ge jobb om man gjorde det dyrare att anställa unga, dyrare att anställa äldre, dyrare för ungefär en miljon akademiker att arbeta hårt mitt i livet? Var finns jobben i att på punkt efter punkt göra det dyrare att jobba? ","M"
"Finn Bengtsson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Den politik som under de åtta alliansregeringsåren gav skatteintäkter som ökade med 27 procent i löpande priser, vilket Statistiska centralbyrån redovisar, bygger på en teoretisk modell som Magdalena Andersson säkert känner till, den så kallade Lafferkurvan. Det har alltså förskjutits i mer positiv riktning, där staten tjänar på skattesänkningar från arbete och företagande. Nu väljer regeringen att gå tillbaka igen. Sannolikheten för att vi går tillbaka mot en negativ riktning på Lafferkurvan är för mig helt uppenbar. Egentligen är det finansministern som blir svaret skyldig: Kommer statens intäkter att öka när man ökar skatten, eller kommer det att leda till att det i stället drabbar arbete och företagande? Det är den springande punkten. Jag ställde en väldigt viktig fråga. I sitt svar säger finansministern att finansierade reformer finns i budgeten. När man tar bort gränserna i sjukförsäkringen och bedömer arbetsförmågan vet vi historiskt att det blir längre tids sjukskrivningar, och risken för att förtidspensionerna ökar är helt uppenbar. Det finns ingenting i budgeten som visar att man tar höjd för den utvecklingen. Därför undrar jag: Är dessa reformer verkligen finansierade fullt ut? Det finns ingen prognos som säger att det kommer att påverka ohälsotalen uppåt, vilket all historik har visat. En tidigare socialförsäkringsminister, som var socialdemokrat, ledde en utredning som föreslog att man skulle införa tidsgränser. Nu förskjuts de, trots att effekten varit att fler människor gått från sjukförsäkring till arbete eller till arbetsmarknadspolitiska åtgärder för att komma närmare arbetsmarknaden. Det är oansvarigt att inte ta höjd för den kostnadsökning som en av de största utgiftsposterna i statsbudgeten innebär, nämligen sjukförsäkringen och sjuk- och aktivitetsersättningen. ","M"
"Rasmus Ling","Fru talman! Anna Kinberg Batra kan vara helt lugn för att de båda regeringspartierna har samma syn dels på hur förutsättningarna inför de kommande åren ser ut, dels på behovet av satsningar på välfärden och för att komma till rätta med de underskott som vi fått i de offentliga finanserna. Vi ska ta steg för att komma i balans och även ha överskott. Det känns tryggt att lägga fram budgeten. Helhetsmässigt kommer det att bli en bättre situation. Vi skapar förutsättningar för fler jobb både på kort och på längre sikt genom att vi kan göra investeringar i miljöomställning men också i utbildning och i vård och omsorg. Det tycker jag känns tryggt och bra med den nya regeringen. ","MP"
"Peter Persson","Fru talman! Under åtta år med den föregående regeringen genomfördes fem massiva skattesänkningar som döptes till jobbskatteavdrag. Det skulle leda till nya jobb. Vi vet vad effekterna blev. En påtaglig effekt var att arbetslösheten inte minskade. 260 000 arbetslösa blev över 400 000. Framför allt bet sig långtidsarbetslösheten fast och vi fick en katastrofal ungdomsarbetslöshet. Det vet hela svenska folket. Vi vet av de utvärderingar som gjorts av jobbskatteavdraget att ingen kan belägga en tydlig sysselsättningseffekt. Men vi vet också någonting annat. Den sjuke vet att han eller hon förmodades bli frisk för att genom försämrade villkor i försäkringen betala till skattesänkningarna. De arbetslösa som fick sämre ersättning, kastades ut ur a-kassan och fick vandra till socialkontoret vet att de fick vara med och betala skattesänkningarna. Barnen i barnomsorgen, med en enorm ökning av gruppstorlekarna, inte minst på fritids, vet att de fick vara med och betala. Skolbarnen vet, vi alla vet, vad som hände med skolresultaten, som sjönk och sjönk. Björklunds stora arv är signerat.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag minns den här tiden förra året med en regering i upplösning som med näbbar och klor kämpade för att åstadkomma ytterligare skattesänkningar. 12 miljarder fick man igenom i denna kammare med stöd av Sverigedemokraterna. Sedan började man ana att folk såg vad som hände ute i samhället. Tre veckor senare ringde Borg och Reinfeldt i larmklockorna och sade: Nu är det slut på skattesänkningar. Det är skattesänkningsstopp. Två veckor därefter träffades vi i skatteutskottet och behandlade 13 moderatmotioner om fortsatta skattesänkningar. Nu, fru talman, märker jag att vi är tillbaka där allting började, vid Moderaternas magiska punkt, vid grundbulten i den moderata politiken. Det finns bara en väg. Det finns bara en sak att skruva på, skattesänkning. Ni moderater misslyckades med jobben. Ni misslyckades med välfärden. Jag måste säga att jag känner mig stolt över att genom att betala lite mer skatt kunna vara med och bidra och därmed ge mer resurser till sjuka, arbetslösa, barn i skola och förskola och de äldre i äldreomsorgen. Det är en solidarisk politik som jag känner stor glädje inför. ","S"
"Magdalena Andersson","Fru talman! Jag börjar med att vända mig till Finn Bengtsson. Finn Bengtsson har rätt; sjukskrivningarna är en viktig fråga. Men vi ska ha historien klar för oss. Sjukskrivningarna var på väg ned 2006 när den borgerliga regeringen tog över. Sedan fortsatte de nedåt, därefter bottnade de och nu är de på väg uppåt. Sjukskrivningarna har varit på väg uppåt under de senaste åren. Det fanns någonting i den socialdemokratiska politiken som fungerade. Det fanns någonting i den borgerliga politiken som inte fungerade. Det tycker jag att vi ska medge. De diagnoser som nu ökar gäller kvinnors ohälsa. Särskilt är det den psykiska ohälsan som ökar. Det är inget enkelt problemkomplex att ta sig an, vilket vi ska vara ödmjuka inför. Det är inte uppenbart att det är där vi ska ha de politiska konfliktlinjerna, det vill säga hur vi ska lösa den ökade psykiska ohälsan bland kvinnor. Kanske är det något som vi borde samlas kring och diskutera, eftersom det berör hela samhället. Däremot har vi olika synpunkter kring den bortre parentesen. Moderaterna tycker att det är viktigt att utförsäkra människor ur sjukförsäkringen, i det närmaste oavsett hur sjuka de är. Väldigt många som är mycket sjuka blir utförsäkrade ur sjukförsäkringen. Det är ingenting som vi socialdemokrater eller den socialdemokratiska och miljöpartistiska regeringen står för. Vi tycker inte att människor som är mycket sjuka ska bli utförsäkrade. Där finns en ideologisk konflikt. Däremot tycker jag att det är viktigt att vi kan samarbeta vad gäller orsakerna till de ökade sjukskrivningarna. Jag tycker att det är fel att sjuka människor blir utförsäkrade från sjukförsäkringen. Jag tror inte att det är det bästa sättet att bota ohälsa.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Anna Kinberg Batra är fortfarande fast i skatterna. Det är bara skatter som finns på din himmel, Anna Kinberg Batra. Men det finns en annan sida också, nämligen det vi använder skatterna till. Alla skatter påverkar ekonomin; det vet vi. Men vad vi använder skatterna till påverkar också ekonomin. Hade vi inga skatter men inte heller någon kollektivtrafik, så att folk inte kunde ta sig till jobbet, skulle inte samhället fungera optimalt. Skatter som vi tar ut på ett smart sätt och använder på ett smart sätt ökar sysselsättningen och tillväxten och sänker arbetslösheten. Det är någonting som vi kan se när vi tittar ut över världen. Därför har jag inga problem med att försvara de skatteförändringar vi gör i den här budgeten. De saker som vi använder pengarna till är saker som moderniserar Sverige och skapar ett starkare Sverige med en starkare konkurrenskraft, som kommer att göra att vi står starkare inför framtiden, samtidigt som vi skapar ett Sverige som håller ihop. När man lyssnar på Finn Bengtsson och Anna Kinberg Batra får man intrycket att sänkta skatter ger ökade intäkter och bättre välfärd. Det är en fast och stark övertygelse hos Moderaterna. Men ni har inte svarat på frågan. Om ni nu tycker att sänkta skatter är det som ger ökade skatteintäkter och bättre välfärd, varför föreslår ni då inte sänkta skatter i er budgetmotion? Varför gick ni inte fram med ytterligare stora jobbskatteavdrag i valmanifestet, om det nu är sänkta skatter som skapar skatteintäkter, tillväxt och välfärd? Varför föreslår ni inte sänkta skatter? ","S"
