"Magdalena Andersson","Herr talman! Anette Åkesson har frågat mig hur regeringen ska trygga den långsiktiga välfärden och varför regeringen avskaffar reformer som den förra regeringen införde. Anette Åkesson frågar vidare hur regeringen bedömer de långsiktiga effekterna av den politik som presenterades i budgetpropositionen för 2015. Den förra regeringen har lämnat stora underskott i statens finanser. Samtidigt har arbetslösheten legat på en hög nivå under en lång tid. Flera av de reformer som regeringen nu tar bort har bedömts vara alltför kostsamma i förhållande till den sysselsättning som skapas. Exempelvis har oberoende instanser såsom IFAU, Finanspolitiska rådet, Ekonomistyrningsverket, Arbetsförmedlingen och Riksrevisionen bedömt att nedsatta socialavgifter för unga är en kostnadsineffektiv åtgärd för att öka sysselsättningen. När denna åtgärd slopas frigörs ca 19 miljarder kronor som kan satsas på mer effektiv politik. I stället för skattesänkningar prioriterar regeringen åtgärder som är mer jobbskapande. För att stärka sysselsättningen, och på så sätt minska den omfattande arbetslösheten, krävs en aktiv näringspolitik. Förutsättningarna för innovation, företagande och export ska förbättras. Svenska företag ska konkurrera med kompetens, produktivitet och innovationsförmåga. Svenska företag ska visa vägen för hållbara innovationer.  En utgångspunkt för regeringens politik är att alla människors kompetens och vilja att arbeta ska tas till vara. De satsningar regeringen gör på exempelvis ökad bemanning inom äldreomsorg och skola, tillsammans med satsningar på att förbättra arbetsmiljön och att stärka arbetslivsforskningen, kommer att leda till att fler kan stanna kvar längre i arbete. Utöver detta har viktiga utbildningssatsningar föreslagits i budgetpropositionen för 2015, vilket långsiktigt höjer sysselsättningsgraden och lägger grunden för en högre produktivitet. Det är så vi ska klara den demografiska utmaningen och en god välfärd till alla. ","S"
"Anette Åkesson","Herr talman! Jag vill börja med att tacka finansministern för svaret. Det var inte riktigt vad jag hade hoppats på, så jag gör ett omtag. Statliga långtidsutredningar, fackens och arbetsgivarorganisationernas men även olika tankesmedjors rapporter verkar samtliga ta de framtida utmaningarna på större allvar än Socialdemokraterna och Miljöpartiet. Alla har mer eller mindre samma problembild: Sverige kan klara den demografiska utvecklingen på dagens standardnivå, men befolkningen kommer att ställa samma krav på ökad standard inom välfärden som i samhället i övrigt, må det vara en lite snabbare dator i skolan eller den senaste medicinen. Det innebär att det kommer att saknas resurser om vi även i framtiden ska ha en bra skola, en god äldreomsorg och sjukvård för dem som behöver den. Det vill vi ju alla. Hushållen kommer att ha resurser, det visar också utredningarna. Hushållen efterfrågar välfärdstjänster och är beredda att betala för dem - frågan är bara hur det ska ske. Via höjda skatter eller avgifter? Eller genom att var och en får ta ett större eget ansvar?  Alla hoppas på, och många jobbar för, teknisk utveckling och ökad effektivitet i verksamheterna. Alla inser också att fler arbetade timmar är åtminstone en del av lösningen - men hur vi ska få fler att arbeta mer verkar vi inte vara överens om. Egentligen borde det inte vara så svårt att se till att unga kommer ut på arbetsmarknaden tidigare, att fler jobbar längre när de är äldre, att vi lyckas integrera de som invandrar till Sverige och att vi självklart ska ha trygghetssystem - de är en del av välfärden. Men är det rimligt att man har mer betalt för att inte arbeta än att arbeta? Det låter väl rätt självklart, eller hur? Men hur ska det konkret gå till? När det gäller fler arbetade timmar lyckades Alliansen över förväntan med tanke på finanskris och följande lågkonjunktur. Men de åtgärder som genomförts i arbetslinjens namn vill nu S och MP delvis avskaffa. Att höja ersättningar mer för att inte arbeta och göra det dyrare att ha anställda, samtidigt som många får behålla mindre av den sista tjänade kronan, kommer att resultera i att färre människor arbetar och fler människor väljer att jobba mindre. Färre arbetade timmar ger mindre skatteintäkter till kommuner och landsting och därmed mindre resurser till välfärden. Visst kan vi komma att behöva höja skatten. Men eftersom utmaningarna kommer från mitten av 2020-talet, när vi 60-talister börjar gå i pension och de lika många 40-talisterna kommer att ha ett större behov av sjukvård och omsorg, samtidigt som relativt färre arbetar, är det inte så genomtänkt att göra det redan nu. Tar vi till skattehöjningar nu, när vi fortfarande har möjlighet att förbereda samhället, vad ska vi då ta till sedan som nödlösning? Om vi inte nu börjar se över hur vi ska klara framtidens skola, vård och omsorg, utan sticker huvudet i sanden, kommer det att innebära att politiker i kommuner och landsting tvingas till radikala åtgärder som de som har behov av hjälp på 2020-talet och senare kommer att drabbas av. Att vi kommer att stå inför utmaningar i mitten av 2020-talet är inte frågan, utan frågan är hur vi ska lösa dem. Och hur kan vi redan nu hitta långsiktiga lösningar så att vi dels har svenska folket med oss men även hjälp av de delar av näringslivet som redan är engagerade? Lite omformulerat undrar jag därför hur diskussionen går inom regeringen, respektive hos Socialdemokraterna. Har ni samma problembild? Vilka lösningar diskuterar ni för att vi i Sverige ska ha en god välfärd även om 20 år? ","M"
"Finn Bengtsson","Herr talman! Tack, Anette Åkesson, för en viktig interpellation, och tack, finansministern, för svaret. Jag måste börja där Anette Åkesson slutade och tala om Långtidsutredningen - som har tittat framåt. Man har sagt att det finns en chans att upprätthålla en standard i välfärdens kärna med det system vi har nu, men någon kvalitetsförbättring kan man inte tänka sig. Jag tror, precis som Anette Åkesson sa, att framtidens generationer kommer att kräva ständiga reformer för att få förbättringar. Vad är det vi talar om? Vi talar förstås om skola, vård och omsorg. Vi talar också om socialförsäkringssystemet, vårt gemensamma trygghetssystem, sjukförsäkringen och arbetslöshetsförsäkringen. Låt oss utgå från det perspektiv finansministern har, att ladorna är tomma. Det är alltså ont om pengar i de offentliga finanserna, som finansministern sagt i ett tidigare interpellationssvar.  Ska vi då satsa på allt detta? Det verkar inte riktigt smart. Vi måste nog prioritera. Vad ska vi prioritera? Ska vi prioritera kärnan, det vill säga skola, vård och omsorg, eller ska vi prioritera reformering av socialförsäkringarna, det vill säga kostnader i sjukförsäkringen och arbetslöshetsförsäkringen? Ska vi med hjälp av statliga medel se till att fler blir sjukskrivna under längre tider, att fler blir förtidspensionärer, att med hjälp av statliga medel höja a-kassan fastän parterna kan lösa problemet själva, och gör så i stor omfattning? Vi tar alltså av statens utgifter och skjuter in, med en viss prioritering på utgiftssidan, på socialförsäkringssystemen. Hur kommer det då att fungera med skola, vård och omsorg? Jo, men där fanns visst pengar också. Fast ladorna var ju tomma. När ska ladorna fyllas, herr talman? De kanske aldrig ska fyllas. Vi tar bort överskottsmålet. Jaha! Vad signalerar det egentligen att ta bort överskottsmålet? Det signalerar en enda sak, nämligen att vi ska ge allt till alla, men nota bene att vi ska beskatta er för detta, såväl löntagare som företag. Vi ser möjligtvis en liten gryende konjunkturförbättring på den globala finanskrisen, som har drabbat ett land som Sverige som är litet och exportberoende hårt. Nu när vi har chansen att börja fundera över hur vi ska samla i ladorna sätter Socialdemokraterna på sig spenderbyxorna och vill ge allt till alla, tyvärr med en prioritering till bidragsförsörjning framför att säkra välfärd genom att fler arbetar, bidrar och betalar skatt, såväl löntagare som företag. Herr talman! Detta är ett förfärligt tydligt exempel på den ideologiska skillnad i vilka redskap och verktyg man vill angripa beroende på konjunktursituationen. Med en global finanskris har det varit helt nödvändigt att stimulera den inhemska efterfrågan eftersom vår exportmarknad i princip helt har försvunnit därför att länder som har klarat sig mycket sämre än Sverige inte längre är importörer av våra varor och tjänster. Då är det rimligt att försöka stimulera den inhemska efterfrågan. Det gör man naturligtvis genom att ge fler människor mer pengar i plånboken, såväl löntagare som pensionärer, vilket samtliga har fått genom jobbskatteavdrag och fem pensionärsskattesänkningar. Det har gett mer pengar i plånboken - nota bene med fokus på dem med låga och medelstora inkomster, inte höginkomsttagarna. Detta är Alliansens sätt att upprätthålla en stimulans- och finanspolitik, som har gjort att vi inte alls ser den bild som Magdalena Andersson försöker pådyvla svenska folket, nämligen tomma lador. Det är i stället glädjande nog så att ladorna är fulla. Låt oss då, herr talman, inte anslå en socialdemokratisk spenderpolitik som satsar främst på bidragsförsörjning och för oss, om konjunkturen vänder, bort från att investera i de lador som trots allt hela tiden måste byggas upp när vi förhoppningsvis får en konjunkturvändning. ","M"
"Magdalena Andersson","Fru talman! Det är förbluffande när Finn Bengtsson tycker att ladorna är fulla. Det råder politisk enighet i riksdagen om att det inte finns några resurser för att finansiera reformer. Alla reformer måste finansieras krona för krona. Hur kan ladorna då vara fulla? När det inte finns några pengar i ladan är den tom. Låt oss titta på den långsiktiga finansieringen av välfärden. Det är en viktig och central fråga som interpellanten lyfter fram.  Jag tror att det råder enighet om att finansieringen är en utmaning. Det råder politisk enighet om att finansieringen är en utmaning, men det är naturligtvis också en positiv utveckling att allt fler människor lever allt längre. Det är en utveckling som vi ska bejaka och välkomna, även om den kan innebära en statsfinansiell utmaning. Jag tror också att det råder enighet om att det enda sättet att lösa utmaningen är genom att fler människor får möjlighet att arbeta och att vi ökar antalet arbetade timmar i ekonomin. Det räcker inte med att bara titta på antalet personer som är sysselsatta - det är lätt att få upp sysselsättningen genom att dela på jobben - utan vi måste också titta på antalet arbetade timmar i ekonomin. Det är så vi får in skatteintäkterna som kan finansiera välfärden. Detta är vi eniga om. Sedan skiljer sig vägen för hur vi ska få fler människor att arbeta och öka antalet arbetade timmar i ekonomin. Där kommer de ideologiska skiljelinjerna in. Den moderata linjen är tydlig med att tro att det är sänkta skatter som är vägen till ökad sysselsättning och fler arbetade timmar i ekonomin, medan vi socialdemokrater har en annan syn. Om vi ser oss om i världen är det inte de länder som har lägst skatter som har högst sysselsättning och flest arbetade timmar i ekonomin. Tvärtom är det de välfärdsstater som har ett högt skattetryck och en god välfärd som lyckas öka antalet arbetade timmar i ekonomin.  De skatteintäkter som kommer in påverkar ekonomins funktionssätt, men hur man använder skatteintäkterna påverkar också ekonomins funktionssätt. Så länge man beskattar på ett begåvat och genomtänkt sätt, och sedan använder skatteintäkterna på ett begåvat och genomtänkt sätt, får man upp sysselsättningen och antalet arbetade timmar i ekonomin ökar. Om man investerar mer i barnomsorg så att föräldrar kan arbeta, där kvinnor i större utsträckning kan arbeta heltid därför att barnomsorgen håller hög kvalitet, leder det till skatteintäkter som kan användas på ett sådant sätt att arbetsutbudet kan öka i ekonomin. Pengar som går till att alla barn får lära sig vad de behöver i skolan, går ut nian med betyg för att komma in på gymnasiet, och sedan tar gymnasieexamen, är resurser som används för att öka sysselsättningen och antalet arbetade timmar i ekonomin.  De investeringar vi har gjort i Sverige i äldreomsorgen har kraftigt ökat möjligheterna för framför allt kvinnor och äldre kvinnor att arbeta. Där finns oroande rapporter om att över 100 000 personer, de allra flesta kvinnor, har gått ned i arbetstid för att vårda nära anhöriga därför att äldreomsorgen inte håller tillräckligt hög kvalitet. De investeringar som regeringen vill göra i äldreomsorgen kan underlätta och öka antalet arbetade timmar i ekonomin genom att kvinnor i de äldre åldrarna får möjlighet att fortsätta att arbeta och inte gå ned i arbetstid för att vårda en nära anhörig. Där har vi olika syn.  Det råder en enighet om att det finns en utmaning att lösa. Det råder enighet om att vi kommer att behöva lösa utmaningen genom att fler arbetar och ökar antalet arbetade timmar i ekonomin, men sedan skiljer sig vägarna för hur vi ska nå dit. ","S"
"Anette Åkesson","Fru talman! Det gläder mig att även finansministern anser att detta är en viktig fråga. Men det bekymrar mig när finansministern säger att det enda sättet är att antalet arbetade timmar ska öka. Visserligen skiljer sig vår uppfattning om hur vi ska gå vidare, men alla är eniga om att det inte räcker med att bara arbeta mer, utan det kommer att behövas fler saker. Jag vill vidga debatten lite grann. Alliansen tog tag i den svåra frågan om att reformera socialförsäkringssystemet. Världens friskaste folk kan inte samtidigt vara det mest sjukskrivna, som det såg ut 2006. I stället för att Socialdemokraterna uppskattar att problemet hanterades vill man nu tillsammans med Miljöpartiet backa bandet. Varför?  Lagen om valfrihetssystem, LOV, har inte bara inneburit att man kan välja eller välja bort exempelvis hemtjänst. Den har också fört med sig att kommuner tvingas ta tag i sina kostnader. Avviker dessa dramatiskt från grannkommunens utan att kvaliteten är bättre får man jobba på ett annat sätt, och därmed ökar effektiviteten. RUT-avdragen har omvandlat svarta jobb till vita och är självfinansierade. Utöver skatteintäkter har arbetstagarna bättre villkor, kunderna har garantier, och gemene man har börjat vänja sig vid att köpa tjänster. Om det är något som inte ingår i det offentliga har man råd att köpa till det själv. Dessutom har RUT-avdragen ökat kvinnors företagande och gett nya jobb i en sektor med relativt låg tröskel. Detta är bara några exempel på reformer som Alliansen har genomfört, där vi kanske inte alltid har pratat om de positiva långsiktiga effekterna. Det är reformer som ni på ett eller annat sätt vill rasera. I pensionsfrågan lyckades man. Pensionsfrågan var en tuff nöt att knäcka men inte i närheten av en så komplex fråga som hur vi ska klara finansieringen av framtidens välfärd. Alla svenskar får sitt orangea kuvert och har ett hum om hur mycket man kommer att ha till sitt förfogande. Det offentliga åtagandet är tydligt. Och de flesta har möjlighet att i god tid ställa in sig på det och själva förbereda sig genom att lägga undan pengar för framtiden. Gällande välfärden ser det annorlunda ut, dels för att vi har 290 ansvariga för skola och äldreomsorg och 20 för sjukvården, dels för att det är verksamheter som ska klara att lösa individers olika behov. Och man gör det på olika sätt, det vill säga det är inte är tydligt vad som är det offentliga åtagandet. Ingen vet om man i sin kommun eller i sitt landsting om 20 år får just den hjälp man behöver. Man vet inte själv vad man kommer att behöva. Det finns också andra aktörer som bidrar. Inom näringslivet utvecklar små och stora företag sina lösningar på hur man kan erbjuda omsorg om äldre och utbildning till barnen. De gör erfarenheter som kanske kommuner och landsting ännu inte gjort men kan ta lärdom av. En annan bransch, försäkringsbranschen, erbjuder sjukvårdsförsäkringar. De drar lärdomar ur sina underlag och börjar alltmer, och framgångsrikt, att jobba förebyggande. Människor kanske inte ens blir sjuka. Det är viktiga insikter som hela samhället kan ha nytta av. Men gränsdragningen är svår. Det som i pensionsfallet är tydligt är i välfärdssektorn otydligt. Var går gränsen för det offentliga åtagandet? Har jag som medborgare inte rätt att veta vad jag kan förvänta mig? Vilken äldreomsorg kommer min kommun att erbjuda, och vilken sjukvård erbjuds i mitt landsting? Hur ska andra aktörer kunna komma med kompletterande tjänster om ingen talar om vad det är som invånarna kommer att behöva hantera på egen hand? Och dagens gränsdragning, är den självklar? I dag betalar man sina glasögon men inte sin hörapparat. Det finns många exempel på gränsdragningar mellan offentliga och privata åtaganden som vi inte ens reflekterar över. Svenska folket är berett att betala mer för välfärden. Men diskussionen måste föras om hur gränsdragningarna mellan offentligt, skattefinansierat, och det som vi kommer att få betala själva i framtiden ska se ut. Det har alla rätt att få veta i god tid. Därför undrar jag: Hur kan vi alla jobba tillsammans - medborgare, kommuner, landsting, staten och näringslivet - för att på bästa sätt lösa utmaningarna? Har finansministern funderat på det? ","M"
"Finn Bengtsson","Fru talman! Ja, det var det här med ladorna, finansministern, om de är fulla eller tomma. Om ladan är tom kan man inte betala ut pensioner. Man tvingas permittera folk som är offentliganställda. Länder typ Grekland och Italien och andra länder som har vanskött sin ekonomi har tomma lador. Sverige har fulla lador i så måtto att vi från Alliansen lägger en ansvarsfull budget för ett reformutrymme på 10 miljarder. Vi säger samtidigt att den ska vara finansierad för att vi ska ha trygghet att också kunna bevaka överskottsmålet. Vad gör då Socialdemokraterna med draghjälp av Vänsterpartiet? De ställer ut löften om allt till alla, och vips har man 25 miljarder. Det är klart att 25 miljarder är mer än 10 miljarder. Då kan man ju beskriva det som att ladan var tom, om man hade förväntat sig att ha 25 miljarder. Men hur tillskapas de 25 miljarderna genom de jobbskapande åtgärder som finansministern talar om i sitt svar? Man ska ta bort den bortre parentesen i sjukförsäkringen. På vilket sätt är det jobbskapande? På vilket sätt har höjningen av a-kassan med statliga medel, som annars kan lösas av parterna själva, en jobbskapande effekt? Den ökar ju trösklarna in på arbetsmarknaden. Det är ställt utom allt tvivel att så är fallet; det har historien visat. Då är faktiskt frågan: Hur kan det komma sig att man kan bedriva en så pass ansvarslös politik? Man säger att det är jobbskapande när det handlar om skattehöjningar. De dämpar bland annat människors möjligheter att råda mer över sin egen inkomst, vare sig man är löneanställd eller pensionär. Företagen har lättare att anställa folk om man sänker arbetsgivaravgifter och tar ansvar på det sättet. Jag förstår inte hur man kan få ihop detta från finansministerns sida. Jag tycker att det är högst anmärkningsvärt att sätta upp en bild av en tom lada i det land som kanske har klarat den globala finanskrisen allra bäst. Däremot måste vi blicka framåt. Då handlar det om att redan nu, när vi ser en gryende konjunkturförändring, driva en ansvarsfull politik som gör att vi kan rusta för framtiden. Vi vet tyvärr att det kommer att komma fler situationer likt den vi har gått igenom. Vi är ännu inte igenom detta, vilket gör att ett litet, exportberoende land är beroende av att de andra länderna i Europa reser sig. Det verkar tyvärr inte vara så att de går lika bra som Sverige har gått. Därför är det viktigt med en ansvarsfull finanspolitik. ","M"
"Fredrik Schulte","Fru talman! Jag skulle vilja börja med att upplysa finansministern om att Alliansen lägger fram förslag om skattehöjningar. Vi föreslår inga skattesänkningar i vår budget. De enda skattesänkningar som föreslås är från Socialdemokraterna och regeringen. Det verkar som att vi är hyggligt överens åtminstone med Socialdemokraterna, men kanske inte med Miljöpartiet, om att framtidens välfärd tryggas genom att fler arbetar, att det är fler arbetade timmar, att man stärker innovationskraften och att man har en budget i balans. Vi har sett hur det har gått i de länder där offentliga finanser har havererat. Vad är det då regeringen gör för att förbättra förutsättningarna för den långsiktiga finansieringen av välfärden? Ja, om vi tittar på frågan om att få fler i arbete ser vi att man höjer bidragen. Man höjer bidragen för dem som inte arbetar. Man höjer skatterna på företag för att anställa människor, speciellt för att anställa unga och äldre. Jag undrar hur åtgärder som högre bidrag och högre skatter för att anställa leder till fler jobb. Fler arbetade timmar - ja, då brukar man prata om att marginalskatterna är det avgörande för ifall det lönar sig att jobba en timme extra. Om jag jobbar en timme extra och får en hundralapp i lön och bara får behålla 20 kronor är motivet för att jobba den extra timmen ganska litet. Det regeringen föreslår är den högsta marginalskatten i hela världen! Hur det ska få fler människor att arbeta fler timmar är ett mysterium. Hur stärker vi innovationskraften i Sverige? Ja, regeringen föreslår sämre villkor för entreprenörer. Det blir sämre villkor för entreprenörer och sämre förutsättningar för människor som är kreativa och duktiga och som startar de nya företag som ska bli framtidens Google, Skype och vad det kan vara. De får sämre ekonomiska villkor i Sverige efter årsskiftet om vi antar den socialdemokratiska budgeten. Hur skapar det en starkare drivkraft till innovation? Hur är det med budgeten i balans då? Ja, som Finn Bengtsson tidigare var inne på ökar man utgifterna - och inte så lite heller. Man ökar utgifterna med 120 miljarder över fyra år. 120 miljarder! Magdalena Andersson öppnar inte sin plånbok utan skattebetalarnas plånböcker för att öka utgifterna rekordartat. Så här stora utgiftsökningar har Sverige inte sett sedan 80-talet. Det här kallar hon att föra en ansvarsfull ekonomisk politik. Hon åsidosätter överskottsmålet, och den sammantagna effekten är att vi ökar statsskulden med 40 miljarder under de kommande fyra åren. De som kommer att få betala det här är de unga. Vi tar nu utgifterna på kreditkort och skickar dem till de unga, som när de blir vuxna och arbetar får betala av den skuld som Socialdemokraterna har byggt upp. Det värsta skulle jag ändå säga, fru talman, är att man höjer skatterna med totalt sett 23 miljarder och att allting går till offentlig sektor. Ingenting, inte en enda åtgärd, har man för att skapa jobb i den privata sektorn. Det där tänket funkar inte. Det var så man resonerade på 70- och 80-talen. Ska vi stärka framtidens välfärd måste vi låta den privata sektorn och den offentliga sektorn gå hand i hand. Det är genom fler jobb i den privata sektorn som vi skapar ekonomiskt utrymme för att satsa på välfärd. ","M"
"Monica Green","Fru talman! Nu har vi hört moderater stå här och slå sig för bröstet och påstå att de har en jobbpolitik. De påstår att de hade ordning och reda på finanserna, och de påstår att vi ska höja bidragen. Alltihop är fel. Vi har gått från ett gigantiskt budgetöverskott till ett gigantiskt budgetunderskott, och det är under Moderaternas tid vid makten. Vi har en gigantiskt hög arbetslöshet på 8 procent, och det är en arbetslöshet som den moderatledda regeringen tyckte att vi skulle vänja oss vid, eftersom det var så jobbigt och tråkigt runt omkring i världen: Det är lika bra att vi vänjer oss. Anders Borg skrev i budgetpropositioner att det kommer att ta jättelång tid och att vi inte kommer att kunna ordna det här. Nu har det visat sig att väljarna inte gillar detta. Väljarna gillade inte den borgerliga politiken, där man skulle vänja sig vid den höga arbetslösheten. Väljarna ville ha något annat, nämligen några som tar arbetslösheten på allvar. Vi bestämde oss en gång i tiden för att halvera arbetslösheten. Då sa dåvarande moderater: Det går fullständigt åt skogen. Det kommer aldrig att gå. Det är lika bra att man vänjer sig vid hög arbetslöshet. Men vi lyckades. Senare tog vi oss an ett annat mål, nämligen att halvera antalet sjuka i sjukförsäkringen genom tryggare anställningar, bättre arbetsmiljö och så vidare. Vi påbörjade det arbetet. Det pågick när vi förlorade makten, och det fortsatte under den borgerliga regeringens tid. Men det blev inte särskilt mycket bättre för de sjuka under den borgerliga regeringens tid. De blev inte friska automatiskt. Nu vill de borgerliga politikerna att politiker och inte läkare ska avgöra när man är sjuk. De tycker att politiker ska bestämma vissa tidsgränser - då blir du frisk, då blir du lite mer frisk och så vidare - i stället för att lita på professionen, det vill säga att läkare ska kunna avgöra det. Borgerliga politiker står här och skryter om att de hade god ekonomi. Jag tycker att det är sanslöst att säga en sådan sak när vi vet att ni lämnade efter er 87 miljarder i underskott. Man kan låna i dåliga tider, absolut, men att påstå till exempel att ladorna är fulla är fullkomligt horribelt. Vi ska se till att prioritera arbete och att människor kommer i jobb i stället för att man ska vänja sig vid den höga arbetslösheten. Vi tar det på allvar - vi ska bli bäst i EU på det, och vi ska inte finna oss i att människor går arbetslösa. Det är därför det är så bra att vi satsar på välfärden, för välfärden ger trygghet både för dem som arbetar och för dem som inte gör det. Gamla mormor och de små barnen får en trygghet när det finns en bra välfärd. Därför är det oerhört bra att satsa på mer personal i barnomsorgen, i skolan och i äldreomsorgen. Vi behöver de satsningarna för att skapa fler jobb. ","S"
"Magdalena Andersson","Fru talman! Jag vill påminna om att vi har förberett oss för den här demografiska situationen under lång tid tillbaka, ända sedan vi skapade det finanspolitiska ramverket och den socialdemokratiska regeringen sanerade budgeten efter det budgetkaos vi hade under den borgerliga regeringen 1991-1994. Vi har skapat det finanspolitiska ramverket, och vi har steg för steg - i huvudsak under socialdemokratiska regeringar - betat av statsskulden, vilket gör att vi nu kan gå in i den här demografiska utmaningen med en lägre statsskuld än vi annars skulle ha haft. Det är också en av orsakerna till att jag har varit så kritisk mot att den tidigare borgerliga regeringen lät budgetunderskotten öka i slutet av förra mandatperioden trots att utvecklingen i ekonomin förbättrades. Det har gjort att vi i år har större budgetunderskott än vi hade under själva finanskrisen. Vi har ett strukturellt underskott på 1 procent av bnp, enligt regeringens bedömning. Att gå in i en tuffare demografisk utveckling med ett så stort strukturellt underskott är naturligtvis inte riktigt bra. Det är därför regeringen nu lägger den stramaste budgeten sedan budgetsaneringen - för att möta den med starkare strukturella finanser än vi har i dagsläget. Den budget som regeringen lägger fram i år är den stramaste som en regering har lagt fram sedan budgetsaneringen. Det beror på att Socialdemokraterna för tredje gången av tre möjliga i modern historia har fått ta över stora budgetunderskott av borgerliga regeringar. Så mycket är klart: Vi kommer inte att stärka oss eller bygga oss starka för att ta oss an den demografiska utmaningen genom att ha stora budgetunderskott. Vi har väldigt olika syn på sjukförsäkringen. Sjuktalen sjönk när den borgerliga regeringen tog över 2006. De steg under 1990-talet men vände i början på 2000-talet och var sjunkande när den borgerliga regeringen tog över 2006. De vände igen under förra mandatperioden, så nu är de stigande. Det hände under den borgerliga regeringens tid. Jag tror att vi inte ska förenkla det här utan att vi alla behöver fundera över vad det är som gör att sjukskrivningarna ökar, inte minst bland unga kvinnor. Framför allt är det den psykiska ohälsan som ökar. Vad är det i samhället som gör att så många kvinnor blir sjuka och behöver bli sjukskrivna? Det tror jag är en fråga som vi behöver ta seriöst. Sedan finns det en djup ideologisk motsättning mellan Moderaterna och Socialdemokraterna när det gäller den bortre parentesen i sjukförsäkringen. Vi socialdemokrater tycker inte att det är rimligt att människor som är sjuka ska utförsäkras. Vi tycker inte att det är rimligt i Sverige 2014 för människor som får ett allvarligt sjukdomsbesked. När den första chocken har lagt sig kommer den malande oron: Vad händer om jag blir utförsäkrad? Jag vill inte att Sverige ska vara ett sådant samhälle. Men där har vi helt olika uppfattningar. ","S"
"Anette Åkesson","Fru talman! Jag tror nog att vi alla är eniga om och tycker att de som behöver hjälp ska få hjälp. Det tycker vi även från vårt håll. Nu vill jag hoppa 20 år bakåt till den utvärdering av 90-talskrisen som gjordes i vårpropositionen 2001. Redan där var man ganska klar över att krisen under 90-talet var Socialdemokraternas ansvar. Nu kanske vi kan lägga det ifrån oss och i stället försöka hoppa 20 år framåt. Jag har lyft frågan om hur vi ska klara av att finansiera skolan, sjukvården och äldreomsorgen i framtiden, när färre människor ska försörja allt fler. Det finns i dag inga svar på det, men det är angeläget att lyfta diskussionen och inte fastna i ladorna. Det har lyckats så där. Det allra minsta vi politiskt kan göra är att i dokument som budgeten men även i olika framåtsyftande beslut försöka se hur dessa påverkar välfärden på riktigt lång sikt - inte bara i en plan på två till tre år utan på tio eller tjugo år. Hur kommer förslagen att påverka kommuner och landsting? Det är främst de som möter människor och hjälper dem i deras vardag, själva eller i samarbete med andra aktörer. Kommer kommuners och landstings åtaganden att öka? Får de ökade eller minskade resurser? Hur påverkar det medborgarnas förväntningar? Bidrar vi till ökad tydlighet i fråga om vilka åtaganden som det offentliga klarar av att finansiera även i framtiden? Förbereder vi svenska folket på att var och en kommer att få ta ett större eget ansvar, som i pensionsfrågan? Frågorna är många, och svaren är få. Ingen vet hur framtiden kommer att bli. Men ingen av oss kan i dag säga att vi inte kan ana hur det kommer att se ut från mitten av 2020-talet och framåt. Vi har tillgång till för mycket underlag för det, och vi har ett ansvar - jag som riksdagsledamot och du, Magdalena Andersson, som finansminister. När folk om 10-15 år frågar mig: Du satt ju som kommunalråd och i riksdagen. Varför gjorde ni ingenting? Då vill jag kunna svara att jag gjorde mitt bästa. ","M"
