"Magdalena Andersson","Herr ålderspresident! Helena Bouveng har frågat mig varför regeringen vill höja skatten för de äldre som väljer att fortsätta arbeta efter 65 år och vilka åtgärder som jag kommer att vidta för att öka drivkrafterna för äldre att stanna kvar på arbetsmarknaden. Jan Ericson har frågat mig vilka sakliga skäl som ligger bakom förslaget om en särskild löneskatt för äldre.  Efter den förra regeringens mandatperioder ser vi stora underskott i statens finanser samt en hög arbetslöshet. De stora skattesänkningar som den borgerliga regeringen genomfört i syfte att öka sysselsättningen och sänka arbetslösheten har helt enkelt inte fått avsedd effekt. Regeringen tror på andra jobbskapande åtgärder än sänkta skatter, som i flera fall visat sig vara ineffektiva. För att genomföra angelägna satsningar som syftar till att öka sysselsättningen och minska arbetslösheten krävs att vi höjer skatten.  Det är missvisande att bedöma politiken genom att se till enskilda finansieringsåtgärder. Man måste även se till vad pengarna kommer att användas till. En utgångspunkt för regeringens politik är att alla människors kompetens ska tas till vara så länge de vill och kan arbeta. För att få fler äldre att arbeta längre måste arbetsmiljön förbättras och den arbetsrelaterade ohälsan förebyggas. Satsningar på högre kvalitet och ökad bemanning inom äldreomsorg kommer att leda till att fler inom äldreomsorgen orkar och vill stanna kvar längre i arbete och dessutom till att färre kvinnor behöver gå ned i arbetstid för att ta hand om sina äldre anhöriga.  De ekonomiska drivkrafterna för att fortsätta att arbeta efter 65 år är dessutom starka till följd av pensionssystemets utformning och det förhöjda jobbskatteavdraget för äldre. Utvärderingar visar att sänkningar av socialavgifterna, generellt sett, är ineffektivt som jobbskapande åtgärder. Det är svårt att se någon grund för Helena Bouvengs och Jan Ericssons påstående att den föreslagna särskilda löneskatten för äldre är ett straff eller en straffskatt eftersom arbetande äldre även efter förslaget är mycket skattemässigt gynnade, både på arbetsgivarsidan och på inkomstskattesidan.  ","S"
"Helena Bouveng","Herr ålderspresident! Tack, finansministern för svaret. Den rödgröna regeringen aviserade flera skattehöjningar som tyvärr kommer att få negativa effekter på sysselsättningen. Det är en bedömning som inte bara jag gör, utan det gör också Konjunkturinstitutet Ekonomistyrningsverket, Arbetsförmedlingen, Pensionsmyndigheten och faktiskt regeringen själv. Några skattehöjningar aviserades före valet, men att höja löneskatten för personer över 65 år - den så kallade silverskatten - hördes det inget om. I dag kan vi läsa att det har fått många av 65-plussarna att gå i taket, kanske med all rätt. Genom att höja skatten på arbete riskerar man nu att bryta den positiva trenden med att allt fler äldre väljer att stanna kvar på arbetsmarknaden, även efter det att 65-årsdagen är passerad. Andelen personer över 65 år är nu historiskt hög.  I dag är 100 000 fler seniorer yrkesverksamma jämfört med 2006. Särskilt stark har utvecklingen varit bland kvinnor. Ny statistik från Eurostat visar att Sverige har EU:s snabbaste växande sysselsättningsgrad bland personer i åldersgruppen 65-74 år.  Sedan 2006 har sysselsättningsgraden ökat med över sex procentenheter, vilket är den största ökningen bland EU-länderna - en fantastisk utveckling som jag tror och hoppas att finansministern likt mig anser vara otroligt glädjande. Det är en utveckling som är nödvändig då vi blir allt fler som lever ett liv långt upp i åldrarna, eller som det sägs: 45 år har blivit 65 år. Herr ålderspresident! Jag delar finansministerns åsikt att det inte bara är ekonomiska incitament som gör att man vill stanna kvar längre på arbetsmarknaden. Möjligheter till omställning och kompetensutveckling är också viktiga frågor. Därför har vi i Alliansen föreslagit flera åtgärder som gör detta möjligt högre upp i åldrarna.  Alliansen föreslår också att rätten att kvarstå i anställning ska höjas från 67 års ålder till 69 års ålder. Men faktum kvarstår dock att gynnsamma villkor, både för den anställde och för arbetsgivaren, har varit otroligt viktiga för den positiva trend som vi har haft i och med att allt fler väljer att jobba efter 65 år.  I en artikel i Dagens Industri ger finansministern utryck för folks syn på Sverige. I Sverige finns det en deprimerande ungdomsfixering som måste försvinna. Då blir det väldigt konstigt, och för mig märkligt, att finansministern samtidigt lägger fram förslag som motverkar detta.  Därför vill jag fråga finansministern: Varför säger finansministern att er budget ska vara den mest jämställda budgeten, samtidigt som ni lägger fram förslag som direkt motverkar den ökande sysselsättningsgraden bland kvinnor? ","M"
"Jan Ericson","Herr ålderspresident! Jag tackar finansministern för svaret.  I min fråga påpekade jag att finansministern i en intervju i Dagens Industri den 11 februari uttalade att fler behöver arbeta längre upp i åldrarna. I artikeln konstaterade finansministern att den demografiska utvecklingen gör att fler äldre ska försörjas, och då är det viktigt att fler arbetar längre. Alliansregeringen drog dessa slutsatser redan för ett antal år sedan. I takt med att människor lever längre är det för många naturligt att jobba högre upp i åldrarna, såväl för lönen som för att man trivs på sin arbetsplats. Det är också ett bra tillfälle för en person med lång och gedigen erfarenhet att sprida sin kunskap till yngre kolleger. Detta underlättar generationsskiften på arbetsplatsen. Att fler är kvar på arbetsmarknaden bidrar dessutom till högre tillväxt och till att finansiera välfärden. Det ger också den som arbetar en högre pension. Sedan 2006 är det alltså 100 000 fler personer över 65 år som arbetar. Totalt finns i dag ungefär 230 000 personer över 65 år som förvärvsarbetar i någon omfattning. Nyföretagarcentrum rapporterar om en kraftig ökning av antalet äldre som startar företag. I genomsnitt startar fyra pensionärer om dagen eget företag. Att fler äldre arbetar och startar eget är resultatet av en medveten jobbpolitik. Alliansregeringen gjorde det billigare att anställa personer över 65 år, och det förstärkta jobbskatteavdraget för äldre har ökat drivkraften för äldre att jobba längre. Trots detta har finansminister Magdalena Andersson lagt fram förslaget att den som vill anställa personer som har passerat 65 år, liksom den som driver eget efter 65 års ålder, kommer att behöva betala en extra löneskatt. Förslaget gör det dyrare att anställa äldre samtidigt som det blir mindre gynnsamt för egenföretagare att fortsätta att arbeta efter 65 år. Bara för de 230 000 äldre som i dag förvärvsarbetar talar vi om en skattepålaga på ungefär 1 ½ miljarder. Självklart kommer dessa höjda skatter att påverka omfattningen av äldres arbetskraftsdeltagande, precis som en sänkning av samma skatter bidrog till att det i dag är 100 000 fler äldre som förvärvsarbetar. Den särskilda löneskatten för äldre riskerar sammantaget att motverka att fler äldre frivilligt arbetar längre. Risken är då att politikerna till sist i stället tvingas att välja en annan väg, till exempel att genom lagstiftning höja pensionsåldern för alla. Det vore en olycklig utveckling eftersom vi vet att alla inte orkar arbeta ens fram till dagens pensionsålder. Det är betydligt bättre om den som vill och orkar frivilligt väljer att arbeta något eller några extra år, kanske på deltid. Det tjänar vi alla på genom högre tillväxt och därmed högre pensioner för alla. Alliansen föredrog att med morötter försöka att få fler äldre att arbeta längre, men ville inte tvinga någon till det. Men om morötterna för att arbeta längre avskaffas, då återstår förr eller senare bara piskan, nämligen att lagstifta om höjd pensionsålder. Jag vill därför fråga finansministern om hon avser att föreslå höjd pensionsålder för alla, om det skulle visa sig att hennes skattehöjningar medför att färre äldre förvärvsarbetar i framtiden. ","M"
"Magdalena Andersson","Herr ålderspresident! Det är viktigt att ha perspektiv på storleken på den skatteförändring som regeringen föreslog i höstens budgetproposition. Om man anställer en vanlig löntagare under 65 år som har 200 000 kronor i lön om året kostar det 260 000 kronor om året för arbetsgivaren att ha den personen anställd. Med den löneskatt som den borgerliga regeringen tog bort blev kostnaden för att anställa någon som var över 65 år i stället 220 000 kronor om året. Med den förändring som vi nu föreslår blir denna kostnad 230 000 kronor om året. Det är fortfarande en rejäl rabatt på att ha någon som är över 65 år anställd. Det är alltså fråga om 230 000 kronor i stället för 260 000 kronor. Det är fortfarande en rejäl rabatt för arbetsgivaren på att ha personer anställda som är över 65 år. Däremot kan det diskuteras ute i samhället om det är en rimlig avvägning. Därutöver finns det förstärkta jobbskatteavdraget som gör att för en anställd pensionär, utöver det här incitamentet, utgör det förstärkta jobbskatteavdraget för arbetsgivare upp till 9 500 kronor om året. Det är fantastiskt att äldre människor är med och deltar i större utsträckning på arbetsmarknaden. Den är en trend som vi har haft under en lång period, och den ökar ju i takt med att de äldre blir allt friskare och piggare, alltså: 65 år är det nya 45 år. Och då hoppas jag att 48 är det nya 28. När SCB gör undersökningar för att se vad som är anledningen till att människor går i pension, varför de slutar jobba, är det vanligaste svaret den egna hälsan eller en funktionsnedsättning. Det är den främsta anledningen till att människor går i pension. Då kanske det är bra att ge sig på just de anledningarna när man vill att fler ska kunna arbeta. Det handlar dels om att fler ska kunna jobba till 65 års ålder, dels om att fler ska kunna jobba ännu längre, långt upp i åldrarna. Det tycker jag vore oerhört bra. När den egna hälsan eller en funktionsnedsättning är problemet tycker jag att det är viktigt att sätta in åtgärder just där. Här har regeringen en rad förslag. Vi har föreslagit förstärkta anslag till Arbetsmiljöverket, ökat stöd till den regionala skyddsombudsverksamheten, förstärkning av arbetslivsforskningen och särskilda medel för att säkra kompetensförsörjningen i företagshälsovården. I Regeringskansliet jobbar vi också med en ny strategi för arbetsmiljöpolitiken. Regeringen bedriver ett aktivt arbete på det här området, och jag är övertygad om att det i förlängningen kommer att leda till att fler klarar av och orkar jobba längre och att färre kommer att känna sig tvungna att gå i pension på grund av den egna hälsan eller en funktionsnedsättning. ","S"
"Helena Bouveng","Herr ålderspresident! Tack, finansministern, för svaret! Jag håller fortfarande med finansministern om att det inte bara är ekonomiska incitament som gör att människor är kvar längre på arbetsmarknaden. Därför tror också vi att omställningsmöjligheterna högre upp i åldrarna blir allt viktigare så att man kan ställa om genom att helt enkelt byta arbetsplats för att man vill vara kvar på arbetsmarknaden. Jag vill hänga kvar vid frågan om attityderna. Attityderna är otroligt viktiga. Därför är det förvånande att finansministerns kollega ger uttryck för äldre företagares inkompetens, detta dessutom efter ett besök i mitt hemlän Jönköping, som anses ha några av de mest kompetenta företagarna i Sverige. Jag är inte helt övertygad om att finansministern delar min åsikt om vikten av attityderna till ålder, att det är en springande punkt. Enligt Pensionsåldersutredningen säger mellan 25 och 40 procent av pensionärerna att de gärna hade arbetat längre om attityden till äldre varit mindre negativ. Enligt samma utredning har många arbetsgivare en skeptisk syn på äldre arbetskraft. Äldre som vill arbeta längre möts ofta av ointresserade arbetsgivare, oförstående kolleger och undrande kamrater. Det är därför inte svårt att förstå varför bemanningsföretag som erbjuder äldre arbetskraft vuxit som svampar ur jorden. Företag som Veteranpoolen, Femtiofemplus i Vetlanda och Seniorkraft erbjuder tjänster i form av hantverkshjälp, barnpassning, trädgårdsskötsel, snöskottning och ibland bara sällskap till stadens konditori. I dessa företag känner de äldre sig välkomna. De är efterfrågade och blir en del av en arbetsgemenskap samtidigt som de gör en insats för kunden. Kunden är inte sällan långt till åren kommen och kan på så sätt få hjälp med social samvaro till rimlig kostnad. Om kostnaden för dessa bolag ökar är det mycket troligt att den låga prissättningen inte går att behålla, och företagen kommer att få svårare att erbjuda pensionärer arbete. Med lägre kostnader för arbetskraft över 65 år har vi bevisligen fått en oerhört positiv utveckling där 65-plussare på sina egna villkor stannat kvar på eller kommit tillbaka till arbetsmarknaden. Det gäller inte minst kvinnor. Bemanningsföretagen har sett stora utvecklingsmöjligheter och också sett att attityden till äldre arbetskraft långsamt förändrats. Därför vill jag fråga finansministern hur hon tror att attityden till äldre arbetskraft påverkas av en ökad kostnad för denna och vilka förslag finansministern har för att företag med äldre anställda ska kunna fortsätta att utvecklas positivt. ","M"
"Jan Ericson","Herr ålderspresident! Jag vänder mig lite grann mot finansministerns påstående att Alliansens politik med sänkning av skatterna skulle ha varit ineffektiv. Jag och finansministern har haft ett antal interpellationsdebatter om arbetsmarknadens utveckling kopplad till skattesänkningarna. Jag vill gärna säga att vi har fört en framgångsrik politik. Ineffektiv politik kan det knappast ha varit när vi ser att till exempel antalet äldre på arbetsmarknaden ökat med 100 000. Problemet är att också finansministerns övriga förslag motverkar att äldre stannar kvar på arbetsmarknaden. Vi har bland annat en RUT-sektor där många äldre arbetar, men regeringen vill försämra den. Om vi ser politiken som en helhet, med försämringar för företagandet och skattehöjningar på olika områden, kommer det sammantaget att slå hårdast mot de grupper som kanske är minst produktiva eller av olika skäl inte jobbar heltid utan deltid. Det är en negativ utveckling totalt sett. Därmed kommer jag tillbaka till min fråga om morot och piska. Jag fick inget svar på frågan om finansministern avser att lägga fram förslag om en tvingande höjning av pensionsåldern för alla på grund av att färre kanske jobbar frivilligt längre upp i åldrarna. Jag måste också fråga finansministern om hon verkligen tror att fler företag anställer äldre om kostnaderna ökar, oavsett om kostnaderna bara ökar lite, som finansministern påstår; också 10 000 kronor är ganska mycket pengar. Blir det fler som jobbar om man gör det dyrare att anställa? Det gäller arbetsgivaravgifterna både för ungdomar och för äldre. Om finansministern på allvar menar att arbetsgivaravgifterna inte spelar någon som helst roll, varför då inte höja arbetsgivaravgifterna fullt ut även för äldre? Varför ska det fortfarande finnas en skillnad i förhållande till dem i yrkesverksam ålder, de under 65? Det finns många frågor till finansministern. Det här känns inte helt logiskt. Den viktigaste från är om det är morot eller piska som ska gälla för att äldre ska jobba längre. Från Alliansens sida föredrar vi morot. Vad föredrar finansministern?  ","M"
"Magdalena Andersson","Herr ålderspresident! Jag noterar att Jan Ericson är väldigt nöjd med sysselsättningen i Sverige. Själv ser jag stora problem med läget på arbetsmarknaden och alla som är arbetslösa. Jag önskar att de fick jobb, inte minst alla som är långtidsarbetslösa. Men där har vi uppenbarligen olika syn. När Jan Ericson säger att vi försämrar RUT-avdraget är det viktigt att påpeka att det handlar om att halvera taket. Hur många känner Jan Ericson som använder RUT-avdraget hela vägen upp till taket? Det är nämligen en mycket liten andel som använder RUT-avdraget upp till taket. Jag fick också frågan om vi avser att lägga fram förslag om en tvingande höjning av pensionsåldern. Jan Ericson vet mycket väl att pensionsfrågor är sådant som diskuteras och sköts i Pensionsarbetsgruppen där Moderaterna, Socialdemokraterna och andra partier är med. Det enda förslag på förändring av åldersgräns som funnits är det som Moderaterna framfört, det från 67 till 69 år. Vi socialdemokrater har inte fört fram några förslag där. Attityden till de äldre är en mycket viktig fråga. I Sverige finns stor utvecklingspotential vad gäller synen på äldre på arbetsmarknaden. Om vi ser oss om i världen ser vi att där finns en helt annan respekt för den erfarenhet man har som äldre, för det man kan bidra med på arbetsmarknaden när man har många års erfarenhet. Sverige har mycket att lära av andra länder, till exempel av USA. Jag har själv bott i och befunnit mig på arbetsmarknaden i USA, och där finns en helt annan syn på hur länge man kan vara arbetsverksam och vara med och bidra. Jag hoppas att vi får se en förändring i Sverige. Det är positivt att vi sedan lång tid har fler som klarar av att jobba till 65 men också fler som jobbar längre upp i åldrarna. Det finns även fler som jobbar riktigt högt upp i åldrarna. Dessa kan vara förebilder för andra. I det nya pensionssystemet finns den mer flytande gränsen och de starka incitamenten för att jobba längre. Också det bör kunna vara ett led i en attitydförskjutning när det gäller äldre på arbetsmarknaden. Det är viktigt dels för att vi har en större andel äldre i befolkningen, dels för att de äldre som finns på arbetsmarknaden i dag bidrar på ett positivt sätt till den. Det är fantastiskt att Sverige kan ta del av deras erfarenhet och kompetens. ","S"
"Helena Bouveng","Herr ålderspresident! Jag tackar finansministern. Om nu finansministern delar min åsikt att attityder är otroligt viktiga blir det ännu märkligare att man lägger fram förslag som direkt motverkar detta. Det är väldigt förvånande. Som finansministern är inne på har sänkningen av kostnaden gett betydligt bättre resultat än när vi ändrade i pensionssystemet från 1999. Man har också rätt att arbeta fram till 67 års ålder. Finansministern säger i sitt interpellationssvar: \"En utgångspunkt för regeringens politik är att alla människors kompetens ska tas till vara så länge de vill och kan arbeta.\" För många arbetsgivare är det viktigt att spetskompetens finns kvar även efter 65. Men vi får inte heller glömma bort seniorers vilja att fortsätta som företagare. Ofta gör dessa att juristkompetensen finns kvar på orten, att geriatrisk kompetens försäkras på våra äldreboenden eller att teknisk konsulthjälp finns att tillgå. De ekonomiska incitamenten spelar en väldigt stor roll för lusten att fortsätta som företagare när man väljer att gå i pension. Det är fråga om viktig kompetens som exempelvis i mina trakter hemma i Småland kan vara avgörande för fortsatt verksamhet på orten. Därför undrar jag vilka åtgärder finansministern har tänkt vidta för att sänka trösklar och ge morötter så att dessa personer vill fortsätta att bidra med sin kompetens. Eller är ladan av idéer helt enkelt tom? ","M"
"Jan Ericson","Herr ålderspresident! Egentligen skulle jag vilja visa den bild på Twitter där herr ålderspresidenten presenterade en väldigt bra tom lada. Den är väl värd att uppmärksamma. I Dagens Industri den 11 februari säger Magdalena Andersson att fler behöver arbeta längre upp i åldern. Och så lägger hon fram ett förslag som motarbetar detta. Jag har väldigt svårt att förstå det här. Jag ska börja med den diskussion som vi alltid har om huruvida jag är nöjd. Ja, jag är faktiskt ganska nöjd med det som Alliansen lyckades uträtta på arbetsmarknaden mitt under den djupaste finanskrisen och ekonomiska krisen i Europa i modern tid. Att mitt under en djup kris lyckas få 340 000 fler svenskar i arbete på åtta år, lyckas öka sysselsättningsgraden i alla åldersgrupper och samtidigt lyckas sänka skatterna och trots detta öka statens skatteintäkter och ge välfärden mer resurser än den någonsin haft är en ganska bra prestation, tycker jag. Förra året gick kommunsektorn sammantaget med 14 miljarder i överskott. Om inte detta är en framgångsrik politik mitt under en djup kris, då vet jag faktiskt inte riktigt hur en framgångsrik politik skulle se ut. Bedömarna i omvärlden är imponerade av Sveriges ekonomiska utveckling under Alliansen. Om de blir lika imponerade av utvecklingen under Magdalena Anderssons tid som finansminister återstår att se. Det har väl börjat så där, får man säga. Jag har en konkret fråga till finansministern att beta av i slutanförandet. Om det är så få som använder RUT-avdraget upp till taket, vad är det då för mening med att sänka taket? Det ger ju i så fall inga pengar till statskassan över huvud taget. Det måste finnas någon mening med att man försämrar taket, det vill säga att man vill räkna hem en del pengar. Detta förstår jag inte. Men som sagt: Att höja arbetsgivaravgifterna för äldre som arbetar ger små pengar till statskassan, men det är väldigt negativt för samhällsekonomin långsiktigt. Jag vädjar till finansministern att tänka om. ","M"
"Magdalena Andersson","Herr ålderspresident! Jan Ericson är stolt och nöjd. Svenska folket verkar ha haft en annan bild. De ser ett annat Sverige - ett Sverige med hög arbetslöshet, stigande långtidsarbetslöshet, en ungdomsarbetslöshet som är så hög att vi får krisstöd från EU-kommissionen, skolresultat som faller snabbare än i något annat OECD-land och en lägre andel av ungdomarna som får möjlighet att starta på högskolan. Vi ser kris och kaos i den offentligt finansierade välfärden och omsorgen. Det var väl den bilden av Sverige som gjorde att svenska folket tyckte att det var dags att byta regering. Varför sänker vi taket i RUT? Det ger väldigt lite pengar till statskassan; det är helt korrekt. Men det handlar om skattesystemets legitimitet. Är det rimligt att skattebetalarna står för halva kostnaden när man i praktiken har en om inte heltidsanställd så i det närmaste heltidsanställd person som jobbar hemma hos en? Går detta att motivera för skattebetalarna? Vår bedömning är att det sticker i ögonen på ett sätt som hotar skattesystemets legitimitet. Det är därför vi föreslår att sänka taket. Vi står inför en demografisk situation där vi kommer att bli allt fler äldre. Det kommer att vara viktigt att många människor kan jobba upp till 65 och att fler människor jobbar över 65. Då är Moderaternas eviga fråga hur en skattehöjning kan göra att fler jobbar. Svaret är naturligtvis att det beror på hur man använder skatten. Vi kommer att använda skatterna till att exempelvis förbättra äldreomsorgen - vilket gör att fler av de kvinnor i högre ålder som går ned i arbetstid för att ta hand om och vårda sina äldre anhöriga får möjlighet att jobba kvar på heltid - och göra viktiga satsningar på arbetsmiljö, så att fler människor klarar av att jobba hela livet. Anledningarna till att människor går i pension i förtid är sjukdom och funktionsnedsättning. ","S"
