"Gustav Fridolin","Herr talman! Maria Stockhaus har frågat mig hur elever med svårigheter ska kunna fångas upp tidigt om det inte finns personal i barnens närhet som har utbildning i att bedöma enskilda barns kunskapsutveckling. Maria Stockhaus har även frågat mig hur jag och regeringen ställer oss till ett obligatoriskt bedömningsstöd från första skolåret. Lärarnas arbete med uppföljning av elevernas kunskapsutveckling och arbete med stöd och särskilt stöd är centralt för elevernas lärande. Av skollagen framgår att utbildningen ska ta hänsyn till barns och elevers olika behov och att barn och elever ska ges stöd och stimulans så att de utvecklas så långt som möjligt. I skollagen anges också att om en elev är i behov av särskilt stöd ska han eller hon ges ett sådant stöd. Detta gäller även för förskoleklassen.  Vikten av tidiga insatser kan inte underskattas. Regeringen har därför som mål att säkerställa att stöd och särskilt stöd sätts in tidigt för att förebygga problem som kan växa och under lång tid försvåra för den enskilde eleven. I budgetpropositionen för 2015 har regeringen föreslagit eller aviserat en rad åtgärder som syftar till att ge bättre förutsättningar för ökad måluppfyllelse genom att den tidiga uppföljningen av elevernas kunskaper stärks. Exempelvis aviserar regeringen att en så kallad läsa-skriva-räkna-garanti som kommer att utredas under 2015 med målsättningen att ny lagstiftning ska kunna träda i kraft under 2017. En läsa-skriva-räkna-garanti säkerställer att insatser sätts in så fort en lärare eller annan skolpersonal upptäcker att en elev är i behov av stöd eller särskilt stöd. Detta kan innebära att insatser sätts in redan i förskoleklassen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer En annan viktig del i arbetet med tidiga insatser är att öka tillgången till lärare med specialpedagogisk kompetens i lågstadiet. Det är angeläget att säkerställa att alla elever som har behov av specialpedagogiskt stöd ges tillgång till det så att ingen elev lämnas efter. Regeringen föreslog därför i budgetpropositionen för innevarande år flera åtgärder för att öka tillgången till specialpedagogiskt stöd i framför allt förskoleklassen och årskurs 1-3 i grundskolan och motsvarande skolformer. Regeringen ställer sig positiv till obligatoriska bedömningsstöd i läs- och skrivutveckling samt matematik för årskurs 1. De obligatoriska bedömningsstöden ger lärare ett forskningsbaserat stöd i arbetet med att följa upp elevernas kunskapsutveckling i syfte att redan under den första årskursen identifiera såväl elever som behöver stöd i sin läs- och skrivutveckling eller matematiska utveckling, som elever som behöver extra utmaningar för att kunna nå så långt som möjligt. Regeringen har därför aviserat i budgetpropositionen för 2015 att obligatoriska bedömningsstöd i läs- och skrivutveckling och i matematik i årskurs 1 kommer att införas under 2016. Obligatoriska bedömningsstöd införs därmed enligt den plan den tidigare regeringen lade fast och kan från och med 2017 ses som en naturlig del av hela läsa-skriva-räkna-garantin från förskoleklass till årskurs 3. För att ytterligare öka möjligheterna att så tidigt som möjligt fånga upp de elever som har eller som bedöms riskera att få problem med läsförståelsen avser regeringen att under 2016 införa kunskapskrav i läsförståelse i årskurs 1.  ","MP"
"Maria Stockhaus","Herr talman! Jag tackar Gustav Fridolin för svaret. Att alla elever som behöver stöd ska få det och att stöd ska ges så tidigt som möjligt är vi överens om mellan regeringen och Alliansen, likaså om behovet av fler speciallärare och mindre klasser. Vi är också överens om att det borde bli obligatoriskt att börja skolan, alltså att vistas i skolans lokaler, från sex års ålder. Regeringen vill ha en obligatorisk förskoleklass, något som i princip inte innebär en så stor skillnad jämfört med i dag eftersom en så stor andel av sexåringarna redan går i förskoleklass. Alliansen föreslår en tioårig grundskola med skolstart vid sex års ålder. Förskoleklassens verksamhet ser i dag väldigt olika ut i olika delar av landet. Bland andra Skolverket har lyft fram att förskoleklassens uppdrag inte är helt tydligt. Med tanke på diskussionerna om likvärdighet innebär det ett problem att förskoleklassen på vissa håll är en fortsättning på förskolan medan den på andra håll är helt integrerad i skolan. Det som regeringen aviserar i dag, att de ger Skolverket i uppdrag att förtydliga uppdraget för förskoleklassen, är därför bra, men viktiga delar saknas fortfarande. Herr talman! Svenska elever får under sin skoltid mindre undervisningstid än elever i de flesta andra OECD-länder. Vi är också rätt ensamma om att börja skolan så sent som vid sju års ålder. Det kommer att krävas flera åtgärder för att förbättra våra skolresultat. Och jag är övertygad om att en tidigare skolstart med ett tydligt uppdrag och tydliga mål redan från sex års ålder kan påverka resultaten i skolan positivt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det kan tyckas att våra förslag är väldigt lika, men det finns viktiga skillnader. En skillnad är att i och med att vi gör grundskolan tioårig gäller kursplanerna i de olika ämnena på lågstadiet även sexåringarna. Det innebär att det finns ett centralt innehåll som ska gås igenom och att det finns kunskapskrav i de olika ämnena. Det är en förutsättning för att kunna följa upp eleverna och ge rätt stöd att det är tydligt vilka mål som de bör ha uppnått. En annan avgörande skillnad mellan regeringens och Alliansens förslag är vilka som ska arbeta med sexåringarna. I dag krävs inte behöriga lågstadielärare i förskoleklassen. Det räcker med förskollärare. Den stora skillnaden mellan de två yrkeskategorierna är att lågstadieläraren har utbildning i att bedöma enskilda barns kunskapsutveckling. Det har inte förskolläraren. I förskolans pedagogik ingår inte att bedöma enskilda barn, utan där bedöms i stället verksamheten som helhet och själva verksamhetens utveckling. Det är en väsentlig skillnad om man vill att enskilda elever ska få tidigt stöd om de behöver det. Jag ställde också frågan till utbildningsministern hur elever med svårigheter ska kunna fångas upp tidigt om de som arbetar med barnen inte har kompetensen att bedöma enskilda barns kunskapsutveckling. Den frågan har jag inte fått något svar på. ","M"
"Gunilla Nordgren","Herr talman! Jag tackar utbildningsministern för svaret. Jag vill fortsätta där Maria slutade. Du säger i ditt svar att det är viktigt att barnen fångas upp tidigt. Vi är helt överens om det. Maria nämnde detta med grundskollärarnas utbildning, att de har en utbildning att bedöma barns kunskapsutveckling. Du säger att du vill ha kunskapsbedömning i läsförståelse från årskurs 1. Jag förstår inte skillnaden. 95 procent av barnen i dag går i förskoleklass. Det är en egen skolform. I en del kommuner bedrivs den på förskolorna. I många kommuner bedrivs den i skolorna. På alla de skolor som jag har besökt, fackföreningar och andra som jag har talat med säger man att det vore rätt bra att renodla detta, det vill säga att med förskoleklassen - det vi kallar för nollan - göra grundskolan till en tioårig grundskola. Det är det vi föreslår. Jag måste säga att jag är lite förvånad över att man inte kan tänka sig att gå med på detta utan bara säger att den ska bli obligatorisk i stället. Det spelar ju ingen roll när det är 95 procent som redan går där. Däremot skulle vi få fler undervisningstimmar. Barnen skulle kunna börja lära sig tidigare och fångas upp tidigare. I de flesta länder börjar barnen tidigare än vid sju års ålder. Jag skulle gärna vilja ha ett svar från dig på hur du ser på den tanke som vi har. Vi talar väldigt mycket om överenskommelser över blockgränserna. Då borde man väl kunna lyssna på det andra laget i det här läget och säga: Okej, vi inkorporerar förskoleklassen, och då blir grundskolan tioårig. Det borde inte kosta så mycket. ","M"
"Christer Nylander"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag vill tacka utbildningsministern för svaret men också Maria Stockhaus för en väldigt viktig interpellation och aktuell fråga, inte minst i dag. Jag tycker att Maria Stockhaus i sitt inlägg mycket tydligt berättade om de utmaningar som vi står inför och de möjligheter som den fråga som vi här lyfter fram innebär. Det är viktigt att så tidigt som möjligt möta förväntningar om att man kanske kan lära sig läsa lite grann och att så tidigt som möjligt möta dem som har risk att halka efter lite grann. Det är viktigt att man får en riktigt bra start i skolan så tidigt som möjligt för att man sedan ska kunna lyckas också i den övriga delen av grundskolan och gå vidare till gymnasiet. Det är stor skillnad runt om i landet. En del kommuner har en förskoleklass som är nära integrerad med lågstadiet i F2, F3 eller F1, medan andra har en förskoleklass som ibland är alldeles för sig själv. Det blir ganska konstigt och byråkratiskt för föräldrarna om man har en verksamhet som är helt fristående ett år och sedan ska gå vidare till nästa eller att den är kopplad till förskolan. Det finns en viss skillnad i hur pedagogiken förs beroende på om man kopplar förskoleklassen till förskolan eller om man kopplar den till lågstadiet, där den lärande leken eller det lekande lärandet kan variera ganska mycket och det därmed blir olika start. Därför är det viktigt att fundera på, som regeringen nu gör, hur man bättre styr upp förskoleklassen. Min slutsats är att det är rimligare att föra över förskoleklassen till en tioårig grundskola och ett fyrårigt lågstadium. Som utbildningsministern säger i sitt svar har man också rätt till särskilt stöd i förskoleklassen, enligt skollagen. Frågan är bara vad detta relaterar till. När man inte har kursplaner och kunskapskrav i förskoleklassen, vad relaterar då det särskilda stödet till? Det vore mycket smartare, mycket tydligare och en mycket bättre start för de allra flesta att ha kunskapskrav och kursplaner för lågstadiet som man har fyra år på sig att nå. Då kan man relatera till det särskilda stödet och se till att fler får en riktigt bra start. Jag tycker att det finns problem i detta. Dels är det olika i olika kommuner, dels är det en otydlig och byråkratisk struktur. Man kan också diskutera formen. Förra veckan föreslog regeringen ett ökat samarbete inom skolpolitikens område. Dagen efter ger man nya utredningsdirektiv till grundskoleutredningen. Där skulle man ha kunnat kontakta Alliansen för en gemensam skrivning om man vill ha ett samarbete. I dag tar man initiativ till den nya läroplansskrivningen för förskoleklassen. Det landar i två frågor till utbildningsministern. För det första: Vad är egentligen huvudskälet till att regeringen inte vill ha en tioårig grundskola? För det andra: Varför väljer man konfrontation i just denna fråga, där vi trots allt skulle kunna mötas? ","FP"
"Gustav Fridolin"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag upplever inte att detta är en diskussion som förs i särskilt konfrontativ ton.  Vi har en stor utmaning, vilket vi alla understryker, och det är att vi sätter in stöd till elever med behov av särskilt stöd alldeles för sent. Vi ger faktiskt mest särskilt dokumenterat stöd i nionde klass, och som alla förstår är det för sent för de flesta eleverna. I de bästa skolsystemen i världen sätter man i stället in stödet tidigt, när barnet är sex sju åtta år.  Dit måste vi gå också i Sverige. För att göra det behöver vi se till att alla sexåringar börjar i skola. Vi har gett Grundskoleutredningen direktiv att se hur en plan kan se ut för att göra förskoleklassen obligatorisk och, vilket är mitt svar till Gunilla Nordgren, att titta på om det innebär att förskoleklassen blir en del av grundskolan eller fortsätter att vara en egen skolform. Grundskoleutredningen kommer att titta på detta och lägga fram alternativ både med förskoleklassen som fortsatt egen skolform och med förskoleklassen som en del av grundskolan. Man tittar på de olika alternativens innehåll och vad det innebär med gällande rätt och förordningar. Detta ska Grundskoleutredningen lägga fram förslag på, och i båda fallen handlar det om en obligatorisk skolverksamhet för sexåringar. Precis som Maria Stockhaus konstaterar är det inte här skillnaden mellan partierna, i den mån det finns någon skillnad, går att finna. Vi vill också, precis som interpellanten och de andra debattörerna, göra förskoleklassen och den verksamhet som i dag erbjuds sexåringar likvärdig över hela landet. Det är anledningen till det uppdrag som Skolverket har fått. Det är ett sätt att göra detta snabbare än den strukturförändring som sker genom Grundskoleutredningen. Det motsäger inget som kommer genom Grundskoleutredningen, men vi får ett särskilt avsnitt i läroplanen som rör förskoleklassen för att få ett likvärdigt innehåll i förskoleklassen över hela landet. Vi vill också se till att förskoleklassens unika verksamhet som brygga mellan förskola och grundskola stärks. Här utgår vi från den forskning som vi har tillgänglig.  Det handlar dels om OECD:s undersökningar där man genom PISA-provet konstaterar att prov som 15-åringar gör påverkas av vilken tillgång de har haft till förskolepedagogik som barn, alltså vad de har haft för pedagogisk verksamhet nio år före provet. Så stor effekt kan en god förskolepedagogisk verksamhet ha. Dels handlar det om resultatet av den utredning som den förra regeringen tillsatte under rubriken \"I rätt tid\", som just tittade på skolstart. Man konstaterade att det är mötet mellan det lekfulla lärandet, förskolepedagogiken och grundskolan i de tidiga åren som avgör vilken start man får i skolan.  Det möte som förskoleklassen kan erbjuda när den fungerar som bäst vill vi ta fasta på och skapa en likvärdighet över hela landet. Det innebär att förskoleklassen får bli en brygga där grundskollärare och förskollärare möts.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Här finns måhända en skillnad mellan oss. Jag skulle inte uttrycka mig som att det räcker med förskollärare. Jag upplever och vill beskriva förskollärare som akademiskt skolade experter på små barns lärande. Jag tycker att det är bra att sexåringar får vara i en verksamhet där de både möter förskollärare och grundskollärare. De möter på det sättet två lärarkategorier där några har utbildning i att bedöma enskilda barns kunskapsutveckling, för att använda Maria Stockhaus beskrivning, och andra har en utbildning i lekfullt lärande. Detta möte är bra. Avslutningsvis, herr talman, behöver vi skärpa verksamhetens inriktning mot basfärdigheterna i förskoleklassen. Det är målet med en läsa-skriva-räkna-garanti. Vi tar vidare det som börjar med införandet av kunskapskrav i ettan till en läsa-skriva-räkna-garanti från förskoleklass till årskurs 3. Jag tror inte att det kräver att vi har kunskapskrav också för sexårsverksamheten av den anledningen att det införts kunskapskrav i ettan som man kan arbeta mot, men man får en strukturerad verksamhet. ","MP"
"Maria Stockhaus","Herr talman! Vi har sedan riksdagen öppnade hört många statsråd i talarstolen kalla sin regering samarbetsregering. När det gäller lågstadiet och skola för sexåringar har Miljöpartiet och Socialdemokraterna närmat sig Alliansens skolpolitik, och det finns i dag många punkter där vi är överens. Jag är glad över att ni har för avsikt att fullfölja alliansregeringens förslag att införa obligatoriskt bedömningsstöd i de tidiga skolåren. När det gäller sexåringar borde det vara möjligt att hitta en överenskommelse. Gustav Fridolin lyfter fram OECD:s utredning om att en god förskola påverkar PISA-resultaten. Det har dock inget samband med den diskussion vi har nu eftersom man kan ha god förskola till och med att barn är fem år och sedan börjar de skolan när de är sex år. I dag finns det inget krav på att det ska vara utbildade lågstadielärare i förskoleklassen. Genom att göra grundskolan tioårig och göra förskoleklassen till det första riktiga skolåret ställs det krav på att det ska finnas behöriga lågstadielärare med den kompetens de har. Det hindrar inte att man kan ha förskollärare i förskoleklassen, och det hindrar inte att man kan jobba mer lekbetonat och med förskolepedagogik. Den viktiga skillnaden är att man har en utbildad lågstadielärare som har ansvar för verksamheten. Jag har förstått att det för Miljöpartiets del handlar mycket om att värna de förskollärare som i dag arbetar i förskoleklassen. Det går att hantera med olika former av övergångsregler och med möjlighet att komplettera sin utbildning.  Ni har föreslagit att det ska införas en läsa-skriva-räkna-garanti i lågstadiet. Det är en jättebra idé, men ska den kunna bli verklighet måste vi bättre ta till vara den tid som sexåringarna tillbringar i skolan. För oss moderater är det viktigast att eleverna får stöd tidigare, och ska vi åstadkomma det är jag övertygad om att det behövs tydliga kursplaner och kunskapskrav även för sexåringar och legitimerade lågstadielärare som är med och ansvarar för undervisningen. ","M"
"Gunilla Nordgren"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Det låter bra. Jag ser en liten öppning. Min fråga var ju varför det är så svårt. Det känns som att bara för att förslaget kommer från Alliansen kan vi inte komma överens. Men inom skolan borde vi kunna komma överens. Precis som Maria sa handlar det om vilka som ska undervisa, det vill säga lågstadielärare. Vi har stor brist på förskollärare inom förskolan, så det blir nog inget stort problem. Det ser olika ut i olika kommuner eftersom man får lov att välja. Om förskoleklassen blir en del av grundskolan ska det vara i skolans värld och med ett bra fritis på eftermiddagen. Jag håller helt med om att det behöver satsas på fritis. I dag kan denna likhet inte garanteras.  Jag har sysslat med mycket inom skolverksamhet, och det blir så enkelt om vi säger att skolstarten är vid sex års ålder. Då är det även de 5 procenten som ska dit. Vi fångar upp barnen tidigt och har utbildad personal. Det kan vara förskollärare i klassen också; det gör inget.  På detta sätt blir det mer likvärdigt över hela landet, och vi kan möta olika barn så tidigt som möjligt.  I dag går de flesta barn på förskola, och det finns en garanti för tre- till femårsverksamhet. I många andra länder börjar barnen vid sex eller fem års ålder. Jag har ett barnbarn som kommer att börja vid fyra års ålder, och det är obligatoriskt. Jag tror att vi ska ta vara på att barn har väldigt lätt att lära sig i dessa åldrar. Det är trevligt att jag hör en öppning och att vi har en samsyn. Jag hoppas att vi under mandatperioden kan hitta rätt i detta. Mitt mål är att ni ska lyssna till oss och införa en tioårig grundskola. ","M"
"Christer Nylander","Herr talman! Jag välkomnar att Gustav Fridolin lyfter fram forskning som visar att en bra förskola leder till goda resultat i PISA och i skolan i övrigt. Det är ett viktigt konstaterande. Kanske kan det lära oss att inte alltid bara tänka tanken \"låt barn vara barn\", för barn vill lära sig. Barn tycker att det är roligt att lära sig. Barn lär sig när de leker, och de leker när de lär sig. Det måste vi fånga upp. Denna forskning leder dock inte till slutsatsen att man måste ha en särskild skolform som heter förskoleklass. Det forskningen säger är att man måste ha höga pedagogiska ambitioner för barn tidigt. Ju fler som möter höga pedagogiska ambitioner tidigt, desto fler kommer att klara grundskolan väl och lyckas vidare i gymnasieskolan, på högskolan och på arbetsmarknaden. Mötet med engagerade och duktiga pedagoger som kan se det enskilda barnets möjlighet till utveckling är det som gör det. Det är inte att man har ett särskilt kapitel i skollagen som heter Förskoleklass. Det är inte att man har en särskild skolform som heter just så som är förklaringen till varför forskningen visar att tidig pedagogisk verksamhet ger bra effekt på fortsatt utveckling och utbildning. Mina frågor kvarstår. Vad är det egentligen som ligger bakom att regeringen är så skeptisk och avvisande till tanken på en tioårig skolgång och en tidigare skolstart? Varför gör regeringen de här förändringarna när man vet att det i riksdagen finns ett väldigt starkt stöd för att gå över till en tioårig skola i stället? Hur tänker regeringen hantera de pengar som alliansbudgeten har lagt på att vidareutbilda förskollärare som befinner sig i förskoleklass nu när regeringen tydligt visar att den inte tänker genomföra en tioårig grundskola, som den här reformen vilar på? ","FP"
"Gustav Fridolin"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Man får nog lyssna lite speciellt för att höra att jag skulle vara skeptisk till att vi går från att 97 procent av alla sexåringar är i en pedagogisk verksamhet med läroplan till 100 procent. Den reformen kommer vi att genomföra under mandatperioden, och jag är övertygad om att vi kommer att kunna samarbeta om den på ett bra sätt. Där finns ingen skepsis hos mig. Jag håller helt med Gunilla Nordgren när hon säger att barn har lätt för att lära sig och att de har rätt att lära sig. Det är därför det är så viktigt för oss att ta fasta på hur små barn lär sig. Jag menar att det är detta som gör OECD:s undersökning av förskolepedagogikens betydelse relevant. En obligatorisk förskoleklass, en obligatorisk verksamhet där förskolepedagogik möter grundskolepedagogik blir den verksamhet där vi garanterar att alla barn får tillgång till det organiserade lekfulla lärande som finns inom förskolepedagogiken samtidigt som man lägger grunden för de baskunskaper man kommer att behöva när man går vidare in i skolan. Detta är det storartade med den förskoleklass vi har i dag, när den fungerar som bäst. Det är detta vi ska kunna bygga vidare på på ett bra sätt. Därför kommer ni inte att höra mig uttrycka att förskollärare också ska få vara med, för jag upplever förskollärare som lika självklara som grundskollärare i en pedagogisk verksamhet där förskolepedagogiken ska möta grundskolepedagogiken. Båda grupperna är kompetenta att göra det. När Christer Nylander säger att det handlar om att man ska få möta en duktig pedagog kan jag garantera att det är många barn som möter en duktig pedagog som är akademiskt skolad i att vara expert på de små barnens lärande, det vill säga förskollärare. I den här debatten finns undertonen att förskollärare inte skulle vara lika duktiga lärare som grundskollärare. Den vill jag inte ta del av. Den är inte min. Förskollärare och grundskollärare kan mötas och samverka på ett bra sätt, och det är det man kan göra i en verksamhet som förskoleklassen, när den fungerar som bäst. För att skapa den likvärdigheten går det snabbare och motsäger inga kommande förändringar att ge Skolverket ett uppdrag att göra ett särskilt avsnitt i läroplanen som blir tydligt för förskoleklassen. Det är det uppdrag som vi kommer att besluta om i regeringen på torsdag. Precis som Christer Nylander uttryckte det ska barn möta höga pedagogiska ambitioner. Det kan man göra i en sådan här verksamhet, och det är jag inte skeptisk till. Jag vill understryka den utredning som den föregående regeringen tillsatte i frågan, I rätt tid. Den visar att det är viktigt att inte tappa bort förskolepedagogiken och det lekfulla lärandet, om man vill att starten för alla barn ska vara på ett sådant sätt att den stärker måluppfyllelsen i den svenska skolan och gör att alla barn når kunskapskraven. Det är en viktig del, inte minst för de barn som skolan har svårast att nå i dag. Jag har fått frågor om samarbete, och jag har intygat både utåt och inåt och i våra olika samtal att jag kommer att göra mitt för att försöka säkerställa att de reformer vi lägger fram för Sveriges riksdag har ett brett stöd och kan överleva också voteringar och valförändringar.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag kommer självklart att bjuda in den borgerliga oppositionen till samarbete när Grundskoleutredningen är färdig och vi kan titta på de förslag som den lägger fram. Jag är övertygad om att vi kommer att ha lite olika ingångsvärden på olika punkter i en sådan diskussion, men det bör inte finnas något som är så svårt att vi inte kan lösa det. Detsamma gäller införandet av en läsa-skriva-räkna-garanti när den utredningen är färdig. De här frågorna hakar väldigt tätt samman. Om man ska se till att förskoleklassen och verksamheten för sexåringar verkligen används på ett sådant sätt att man får med sig basfärdigheterna in i det som i dag är första klass i grundskolan måste man strukturera upp det i ett samlat sammanhang med läsa-skriva-räkna-garantin och en förskoleklass till årskurs tre. ","MP"
"Maria Stockhaus","Herr talman! Jag förstår fortfarande inte varför regeringen ändrade utredningsdirektiven när det gäller förskoleklassen. Den enda slutsats jag kan dra är att man ville gå Lärarförbundet till mötes i frågan. Gustav Fridolin är öppen för kunskapskrav och att det behövs strukturerad läsundervisning för sexåringar om man ska uppnå läsa-skriva-räkna-garantin. Då behövs behöriga lågstadielärare som arbetar med sexåringarna, och det behövs en tioårig grundskola, inte en obligatorisk förskoleklass. Jag har fortfarande inte fått svar på frågan hur man ska kunna sätta in insatser för enskilda barn och ge dem det stöd de behöver, om man inte har personal på plats som kan bedöma enskilda barns kunskapsutveckling. Jag vill inte göra någon värdering av förskollärare och grundskollärare eller om den ena kategorin är bättre eller sämre än den andra, men de har olika inriktning på sin utbildning. En grundskollärare har utbildning i att lära enskilda barn att läsa. Man har utbildning i att bedöma enskilda barns kunskapsutveckling. Det är något som förskollärarna inte har. De har en fantastisk utbildning som säkert kan komma till nytta, inte bara för sexåringarna. Jag ser ingen anledning till att förskollärare inte ska kunna arbeta i hela lågstadiet, men det behövs behöriga lågstadielärare om man ska kunna bedöma enskilda barns kunskapsutveckling. Jag är orolig för att vi går vidare med ett förslag där vi inte ställer kravet på behöriga lågstadielärare som arbetar med sexåringarna. Jag tycker att det vore olyckligt och synd att slösa den tid som sexåringar tillbringar i skolan genom att inte ta till vara och kunna utvärdera deras kunskapsutveckling. ","M"
