"Ylva Johansson","Svar på interpellationer Herr talman! Katarina Brännström har frågat mig om jag avser att lägga fram förslag som tar bort undantaget i turordningsreglerna. Regeringen anser att arbetsrätten ska skapa förutsättningar för ett arbetsliv som tillgodoser både arbetstagarnas och arbetsgivarnas behov av flexibilitet, trygghet och inflytande. Regeringen aviserar i budgetpropositionen en rad åtgärder inom såväl arbetsmarknads- som arbetslivsområdet. Regeringen planerar i dagsläget inte att göra några ändringar i lagen om anställningsskydd avseende undantagen från turordningsreglerna. ","S"
"Katarina Brännström","Herr talman! Jag tackar arbetsmarknadsministern för svaret. Det var skönt att höra att det inte kommer att göras några förändringar, i alla fall inte i dagsläget, som det står i svaret. Detta kommer att glädja väldigt många av de småföretagare som har varit oroliga den senaste tiden. Att själv kunna bestämma vilken kompetens som krävs för den fortsatta produktionen och kanske till och med för den fortsatta överlevnaden när orderingången sviker är nämligen en viktig möjlighet för landets småföretag.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Undantagsreglerna kom till i början av 2000-talet genom en ändring i LAS. Det var någonting som Alliansen gjorde tillsammans med Miljöpartiet, och det har tjänat Sverige väl. Det är många företag som har berättat hur de har kunnat klara sig tack vare den regeln. I en enkät som Svenskt Näringsliv gjorde säger många att de skulle tveka att anställa om det hade blivit en förändring i de här undantagen, och det säger även många av de företagare som jag har träffat. Därför tror jag att det är viktigt att undantagen får fortleva. Nu för tiden är det ju så att högkonjunkturer svänger allt snabbare ned i lågkonjunkturer. I många branscher går det fort både upp och ned. De allra flesta arbetsgivare är jag övertygad om vill både heltidsanställa och framför allt behålla sin personal. Men ibland går det bara inte när det finns för lite att göra. Det är också viktigt att påpeka att det måste få finnas en flexibilitet för arbetsgivare. Arbetsgivare anställer ju personal för att man är i behov av fler, har mycket att göra eller vill expandera, man har fått in en order eller vad det kan vara. Man gör det ju inte för att man är snäll eller av något annat skäl. Detta gäller även ett annat ärende, och det gäller visstidsanställningar, som vi också kommer att diskutera här i kammaren. Det är också en form av flexibilitet som inte alla vill ha men som ibland blir nödvändig, till exempel för att kunna ersätta någon vid sjukdom eller föräldraledighet men också för att kunna ta in personal vid vissa toppar. Jag är som sagt var glad att arbetsmarknadsministern här i dag har gett positivt besked angående turordningsreglerna i LAS, och jag hoppas att vi kan lita på att beskedet gäller. ","M"
"Boriana Åberg","Herr talman! Det skulle ha varit förödande för de små företagen om möjligheten att undanta två personer från turordningsreglerna skulle tas bort. Därför är det glädjande att så inte är fallet. Ändringar i turordningsreglerna är efterlängtade, dock åt det andra hållet. Lagen om anställningsskydd måste reformeras. Som den är utformad i dag blir människor med svag förankring på arbetsmarknaden diskriminerade eller förfördelade. Ungdomar och nyanlända invandrare är nämligen bland de första som får lämna en arbetsplats vid uppsägningar. Även i större företag finns möjlighet till undantag från turordningsreglerna via överenskommelser mellan arbetsgivaren och facket. Dock är ungdomar numera sällan medlemmar i facket, och då är frågan om facket verkligen tar dem i försvar när det gäller. Herr talman! Den senaste tidens volatila marknader visar att konjunktursvängningar lär vara det normala i framtiden. Anpassningar av personalstyrkans storlek till följd av internationella marknadssvängningar lär därför öka i både omfattning och frekvens. Den framtida tryggheten på arbetsmarknaden ligger därför inte i att stanna hos en och samma arbetsgivare så länge som möjligt utan i förmågan att vara anställbar på arbetsmarknaden. Kompetensutveckling och mobilitet blir därför nyckelkomponenter för den framtida arbetstagaren.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Tanken med LAS är att den ska skydda arbetstagaren från godtyckliga uppsägningar och också från en förhandlingsmässigt starkare arbetsgivare, vilket är bra. Men i praktiken har det uppkommit en oönskad situation där LAS motverkar mobilitet och flexibilitet på arbetsmarknaden. Därför är det önskvärt att reformera lagen så att den inte bidrar till att det byggs höga murar runt arbetsmarknaden som minskar människors benägenhet att byta jobb och dessutom minskar möjligheten för arbetslösa och studenter att komma in på arbetsmarknaden. ","M"
"Ylva Johansson","Herr talman! Jag har svarat på den fråga som har ställts på ett tydligt sätt. Jag kan väl lägga till att regeringens uppfattning är att det är viktigt med flexibilitet på arbetsmarknaden. Det är också viktigt att de anställda känner sig trygga och åtnjuter rättssäkerhet. Det är regeringens uppfattning att lagen om anställningsskydd på ett bra sätt balanserar detta. Jag delar inte Boriana Åbergs uppfattning att turordningsreglerna i LAS skulle vara ett hinder för nytillträdande på arbetsmarknaden. Det är, som Boriana Åberg själv säger, viktigt att ha en lagstiftning som förhindrar godtyckliga uppsägningar. Min erfarenhet är att man ofta kommer fram till bra lösningar i de förhandlingar som i allmänhet sker när det ibland, tyvärr, blir fråga om uppsägningar. ","S"
"Katarina Brännström","Herr talman! Jag noterar att arbetsmarknadsministern i sitt svar sa att regeringen vill skapa förutsättningar för ett arbetsliv som tillgodoser både arbetstagarnas och arbetsgivarnas behov av flexibilitet, trygghet och inflytande. Det är något som vi ställer oss helt bakom. Det är den svenska modellen, och den hyllar vi också. Det får gärna bli mer av flexibilitet, trygghet och inflytande. Det är bra. Samtidigt är det viktigt att påpeka att det är behoven som styr när en arbetsgivare eller företagare anställer. Det är viktigt med en rörlighet på arbetsmarknaden. Det behöver inte betyda att det är negativt för den som ibland tvingas att gå eller som inte alltid får vara kvar fast man hade hoppats på det. Det kan också vara ett bra sätt att bygga upp sin kompetens. Det kan vara betydligt enklare för den personen att få nästa jobb. Det är viktigt med ordning och reda på arbetsmarknaden, och det ställer vi oss helt bakom. Vi menar att till exempel lagen om anställningsskydd ibland har en obalans där det ställs hårda krav på arbetsgivare. Lagen är kanske inte helt anpassad till ett modernt arbetsliv. Jag hade gärna sett att man kunde se över en och annan del i lagen för att bättre anpassa den till ett modernt arbetsliv där både trygghet och flexibilitet kan finnas med. Det är viktigt. Sverige står inför en snabbare förändring än någonsin. Det råder stark konkurrens utifrån. Det gäller att hänga med, och det gäller att reglerna på den svenska arbetsmarknaden gynnar båda sidorna. Man anställer inte om det inte finns behov, och man säger inte heller upp någon om det inte finns skäl för det. I de flesta fall handlar det om att det inte finns tillräckligt med arbetsuppgifter för dem som finns på arbetsplatsen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag litar på att undantaget kommer att fortsätta att gälla. Jag är tacksam för att vi fick ett positivt svar på frågan. Vi återkommer säkert när det gäller andra regler på arbetsmarknaden. ","M"
"Boriana Åberg","Herr talman! Turordningsreglerna kan vara problematiska inte bara för företag utan även för offentliga arbetsgivare, till exempel kommuner. När antalet elever minskar tvingas kommunerna att avskeda de senast anställda lärarna, som har de nya idéerna och undervisningsmetoderna. Det kan ställa till med problem. Turordningsreglerna kan vara problematiska även för arbetstagare med långa anställningstider eftersom de invaggas i en falsk trygghet att det är antalet år som räknas, inte den egna kompetensen. De riskerar att fastna i vantrivsel, som kan leda till sjukskrivningar och döda arbetsglädjen. Jag vill tipsa ministern om att det under 90-talet infördes en ny modell i Danmark som benämns flexicurity. Det var faktiskt en socialdemokratisk statsminister, Poul Nyrup Rasmussen, som införde modellen. Den danska modellen innebär att det är lättare att bli uppsagd men också att det är lättare att få ett nytt jobb. Arbetslöshetsperioden blir kortare, och därmed blir arbetslöshetsersättningen också högre. Kanske det är något för Sverige att ta efter. ","M"
"Fredrik Christensson","Herr talman! Tack för svaret, arbetsmarknadsministern! Det är glädjande och bra att regeringen avser att behålla de undantag som finns i turordningsreglerna i dag. Precis som mina allianskolleger nämnde tidigare är det verkligen viktigt för de små och växande företagen att få behålla den kompetens som behövs för att driva vidare verksamheterna även i tuffa tider. Turordningsreglerna är också viktiga för människorna ute på arbetsmarknaden. Förrförra helgen presenterades en undersökning där det framgick att 25 procent av alla yrkesverksamma vantrivs på sin arbetsplats. Samtidigt är det få av dessa människor som är beredda att byta arbetsplats. Det beror på de regler och den lagstiftning som skapar inlåsningseffekter på arbetsmarknaden. Det är viktigt att se över dem så att vi kan skapa en trygg och flexibel arbetsmarknad så att människor vågar byta arbetsplats och kan känna sig trygga med den kompetens de har. I slutändan är det vad som behövs för att hitta ett nytt arbete eller få vara kvar på sitt gamla jobb. Statsrådets svar är glädjande, och jag hoppas att vi kan fortsätta att diskutera frågorna. Som nämndes tidigare finns flexicurity i Danmark. Det är ett intressant exempel på hur en trygg och flexibel arbetsmarknad skapas där fler människor kan få ett arbete och fler människor kan trivas på sin arbetsplats. ","C"
"Ylva Johansson","Herr talman! Jag delar Fredrik Christenssons uppfattning att det är viktigt att man är trygg i sin kompetens för att man ska våga och kunna byta arbete. Vi behöver en större rörlighet på svensk arbetsmarknad. Katarina Brännström var också inne på att det behövs en större rörlighet. Jag delar den uppfattningen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi måste se till vad som krävs för att människor ska vara trygga i sin kompetens och för att vi ska få den större rörligheten. Ett viktigt svar på den frågan är utbildning. Det gäller reguljär utbildning, återkommande kompetensutveckling och yrkesutbildningar utformade i nära samarbete med arbetsgivarna. Det behövs stora satsningar på utbildning eftersom kompetensbehoven är stora så att företagen kan få tag i rätt kompetens och så att människor ska kunna, vilja och våga byta arbete. En annan viktig fråga är hur Arbetsförmedlingen fungerar. Matchningen behöver bli mycket bättre. Det är ett av skälen till att regeringen satsar stort på utbildning och gör om stora delar av arbetsmarknadspolitiken och Arbetsförmedlingens uppdrag. Det är för att vi vill se en större rörlighet på arbetsmarknaden. Boriana Åberg tar upp exemplet med kommuner som behöver säga upp lärare. Min egen fackliga bakgrund är just som facklig företrädare för lärarna. Min erfarenhet är att det brukar gå bra att komma överens om att det ska vara rätt kompetens på rätt plats och att det är viktigt att säkerställa att personer inte sägs upp på osakliga grunder. Jag har varit med om att förhandla i liknande situationer. Min erfarenhet är att sådana situationer i princip alltid går att lösa på ett pragmatiskt och flexibelt sätt där kompetensen tas till vara. Jag noterar ändå, herr talman, att Katarina Brännström nu uppmanar en socialdemokratisk arbetsmarknadsminister att förändra turordningsreglerna i LAS. Det är något som under åtta år med en moderat arbetsmarknadsminister inte var på tapeten. ","S"
"Fredrik Christensson","Herr talman! Tack än en gång för svaret! Problembeskrivningen är vi rörande överens om - en trygg och flexibel arbetsmarknad. Vad vi däremot lägger i orden trygg och flexibel arbetsmarknad är där vi skiljer oss åt. I grund och botten handlar det om att ta bort de hinder som har skapats med turordningsreglerna som säger sist-in-först-ut, som gör att människor inte vågar byta arbetsplats eftersom de hamnar sist i turordningsreglerna och riskerar att bli uppsagda först om företaget eller arbetsgivaren blir tvungen att säga upp personal. Arbetsmarknadsministern nämnde att Arbetsförmedlingen behöver förändras i grunden. Det är ett bra steg. Men det viktigaste är att se till att få ett system som fungerar på sikt. Därför vill vi också ha privata arbetsförmedlingar. Utbildningen och kompetensen är viktiga, och det är viktigt att man kan validera kompetensen. Ett sätt att utbilda sig nu för tiden är genom arbetsgivaren och genom att arbetsgivaren betalar utbildningar. Att se till att vi får en validering som fungerar för de utbildningar som är attraktiva på arbetsmarknaden tror jag också är väldigt viktigt. Det är som sagt positivt att arbetsmarknadsministern vill låta undantagen finnas kvar, men jag hoppas att vi fortsättningsvis kan diskutera vidare undantag eller att slopa turordningsreglerna på sikt. ","C"
"Ylva Johansson","Herr talman! Vi delar uppfattningen att det behövs rörlighet, trygghet och flexibilitet på arbetsmarknaden. Vi delar inte uppfattningen att turordningsreglerna skulle vara ett hinder mot detta.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag vill tacka för debatten. ","S"
