"Margot Wallström","Herr talman! Magnus Oscarsson har frågat om situationen i Irak och Syrien och om Sveriges möjligheter att ingripa och påkalla insatser från Förenta nationerna enligt folkmordskonventionen för att förhindra ytterligare övergrepp. Frågorna är nära förbundna med varandra, och jag väljer därför att besvara dem i ett sammanhang. Jag har också tidigare svarat på interpellation 2014/15:57 i en liknande fråga. Principen om skyldighet att skydda, responsibility to protect, uttrycker en politisk förpliktelse för stater att skydda befolkningar i fara. Principen anger att stater har samma ansvar oavsett om det handlar om fara för folkmord, brott mot mänskligheten, krigsförbrytelser eller etnisk rensning. Stater ska också få hjälp från andra stater och organisationer när detta behövs. I sista hand anger principen att andra stater har en skyldighet att ingripa - inom de ramar som följer av folkrätten - till skydd för en hotad befolkning. Vi beklagar här förstås att Ryssland hindrar säkerhetsrådet från att agera. Vittnesmålen som når oss från Isils härjningar i Syrien och Irak är fruktansvärda, som vi nyss har konstaterat i tidigare debatt. Bilderna vittnar om lidande och fasa. Mord, tortyr, våldtäkter och stympningar förekommer i stor skala. Rapporterna visar på grova, systematiska och omfattande övergrepp mot de mänskliga rättigheterna och överträdelser av internationell humanitär rätt.  I mina och de flestas ögon är dessa övergrepp brott mot mänskligheten, och risk för folkmord föreligger. Jag har redan tidigare pekat på begränsningarna i det folkrättsliga folkmordsbegreppet. För att det juridiskt ska handla om folkmord måste det bland annat bevisas att det finns en avsikt att helt eller delvis förgöra en konventionsskyddad grupp som sådan. Definitionen omfattar inte övergrepp mot politiska grupper eller etnisk rensning. Det finns alltså viktiga skillnader mellan den juridiska definitionen av folkmord och hur ordet förstås i allmänt språkbruk.  Vad gäller omständigheterna vid Sinjarbergen i augusti 2014 tyder mycket på att Isil har begått gärningar med avsikt att helt eller delvis förgöra en religiös folkgrupp, yazidierna. Därmed skulle Isil i detta fall ha gjort sig skyldig åtminstone till försök till folkmord.  Regeringen stödjer de USA-ledda flygattackerna mot Isilmål i Irak.  Vi ingår i den breda koalitionen för att bekämpa Isil och stödja Irak. Denna koalition har samlat ett 60-tal länder och entiteter, däribland EU och samtliga EU:s medlemsstater. Regeringen har valt att fokusera vårt stöd, som jag redan har sagt, utmed två huvudlinjer: humanitärt och politiskt.  Vi är, tillsammans med Tyskland, det EU-land som tar störst ansvar för den humanitära situationen. Sedan 2011 har Sverige bidragit med 1,3 miljarder kronor i humanitärt stöd och tagit emot ca 65 000 asylsökande från Syrien, inklusive statslösa. Vi stöder Syriens grannländer, som är utsatta för ett hårt tryck. Libanon, Jordanien och Turkiet har tillsammans tagit emot 3 miljoner flyktingar. På lång sikt är det enbart en politisk lösning som kan få slut på konflikten. Regeringen stöder fullt ut FN-sändebudet Staffan de Misturas arbete. Han arbetar intensivt, och regeringen har nära kontakt med honom för att kunna stödja arbetet på bästa sätt. FN:s säkerhetsråd bör endossera de Misturas försök till en frysning av konflikten i Aleppo och möjliggöra för en övervakning av frysningen. FN måste också fortsatt uttrycka sitt fulla stöd för centralregeringen i Bagdad och premiärminister Abadis ansträngningar att hålla ihop landet och med gemensamma krafter, bland annat tillsammans med KRG, bekämpa Isil. Därutöver undersöker regeringen nu förutsättningarna för att föreslå riksdagen att svensk militär personal får sändas till Irak för att bidra till utbildningen av trupper som strider mot Isil. Avslutningsvis vill jag understryka vikten av att de skyldiga till övergreppen och brotten mot mänskligheten måste ställas till svars. Regeringen har därför tillsammans med de andra EU-länderna uppmanat säkerhetsrådet att hänskjuta situationen i Syrien till Internationella brottmålsdomstolen och uppmanat Irak att ansluta sig till domstolen.  En särskild undersökningskommission, med mandat från FN:s råd för de mänskliga rättigheterna, har besökt Irak för att dokumentera brott begångna av Isil. Kommissionen har också begärt att få komma in i Syrien men fått nej av den syriska regimen.  ","S"
"Magnus Oscarsson","Herr talman! Jag tackar utrikesministern för svaret.  Vi kan dagligen höra vad som händer i Irak och Syrien, och vi som besökte seminariet i riksdagen i tisdags fick oss till del hur illa Islamiska statens framfart är. Ofattbara och fruktansvärda grymheter har pågått och pågår just nu mot kristna och andra grupper. 1 miljon kristna har flytt Irak, och via medierna når oss budskapet om mord, våldtäkter, misshandel, bortförande av flickor som sexslavar - ja, jag kunde hålla på länge. Det handlar om grymheter mot mänskligheten.  Ändå vägrar utrikesministern att tillstå att folkmord pågår i området Irak och Syrien, som kontrolleras av den extrema terrororganisationen Islamiska staten. FN:s konvention om förebyggande och bestraffning av brottet folkmord antogs av FN:s generalförsamling 1948 och trädde i kraft 1951. Folkmordskonventionens artikel 2 definierar folkmord som envar av följande gärningar - förövad i avsikt att helt eller delvis förinta en nationell, etnisk, rasmässigt bestämd eller religiös grupp som sådan - nämligen  att döda medlemmar av gruppen att tillfoga medlemmar av gruppen svår kroppslig eller själslig skada att uppsåtligen påtvinga gruppen levnadsvillkor som är avsedda att medföra dess fysiska undergång helt eller delvis att genomföra åtgärder som är avsedda att förhindra födelser inom gruppen  att med våld överföra barn från gruppen till annan grupp. Det är alltså avsikten att helt eller delvis förinta en folkgrupp som är avgörande för om en handling faller inom ramen för folkmordskonventionen. Herr talman! Islamiska statens ambitioner är att vissa etniska och religiösa grupper inte ska finnas i det kalifat de vill upprätta. Dit hör bland andra syrianer, assyrier, kaldéer och yazidier. I dagens Irak sorterar IS ut yazidiska män och pojkar över tio år, och de skjuts på plats. Flickor och kvinnor säljs som sexslavar eller fördelas bland IS jihadister. Internationella krigsförbrytartribunalen för det forna Jugoslavien slog 2004 fast att massakern i Srebrenica 1995, där bosniska muslimska män och pojkar över 13 år sorterades ut och sköts utgjorde ett folkmord. Det råder alltså ingen tvekan om att det som pågår i Irak och Syrien är ett folkmord i folkmordskonventionens mening.  Min fråga till utrikesministern lyder: Är det som händer i Irak och Syrien ett folkmord? ","KD"
"Fredrik Malm","Herr talman! Det som sker i Mellanöstern är en bedrövelse. Vi har sett hur kriget i Syrien befinner sig på en utvecklingskurva, om man säger så, som stupar rakt nedåt. 3 ½ miljon människor har flytt, och flera hundra tusen har dödats.  Inom ramen för det här kriget, hur det har förts och hur det har utvecklats har det på rebellsidan nu i stort sett inneburit att östra delen av landet kontrolleras av Islamiska staten, IS. De kliver sedan in i Irak och tar över Mosul, Fallujah och andra områden. Det betyder att vi har att förhålla oss till ett mycket stort område som rymmer en rad stora städer, floder - till exempel delar av Eufrat - oljekällor och annat, och som nu kontrolleras av världens värsta terrorister. Vad innebär det för de minoriteter som nämns i interpellationen? Det gäller till exempel assyrier, syrianer och yazidier. Jo, det innebär att de områden där dessa folk har levt i stort sett i alla tider kontrolleras av Islamiska staten i dag. Det är områden runt Shingal/Sinjar, Sheikhan och andra områden runt Mosul där yazidier har bott, samt det område som kallas Nineveslätten öster om Mosul där många assyrier och syrianer har bott.  När det gäller huruvida det har begåtts eller begås ett folkmord kan vi enligt min mening givetvis diskutera definitionerna. Det är klart att vi kan. Men den avgörande frågan är vad ambitionen är från Daesh, och det är alldeles uppenbart att ambitionen är att begå ett folkmord. <em>Har</em> det begåtts ett folkmord? Ja, det beror på hur man ser på det - de människor som har tillfångatagits, förslavats och dödats har satt livet till utifrån denna ideologi. Många människor har dock kunnat skyddas tack vare dels kurdiska militära styrkor, dels Iraks armé och de internationella flygattackerna. Jag skulle säga att det snarare är så, herr talman, att det är det faktum att Islamiska staten har för avsikt att begå ett folkmord som gör det så viktigt att skydda civilbefolkningen. Det är detta som visar att det är nödvändigt att vi agerar. Jag har sagt det tidigare, herr talman, och jag upprepar det: Jag och vi från Folkpartiets sida välkomnar mycket starkt det besked utrikesministern har gett om att Sverige ska delta och ge militärt stöd. Vi hoppas att detta inte är en engångshändelse utan att det innebär att Sverige nu kommer att göra mer framöver för att upprätthålla de militära frontlinjerna och skydda befolkningen. Om man tittar på kartan, herr talman, och har en burk Tipp-Ex ska man sudda ut gränsen mellan Irak och Syrien. Den finns nämligen inte längre. Det är det första man ska göra för att kunna förstå hur konflikten hänger ihop. Det andra är att man måste förstå att Nineveslätten, som är the heartland för den assyriska befolkningen, och det som är Shingal/Sinjarområdet ligger runt Mosul. Det kommer att bli omöjligt att långsiktigt skydda de här befolkningarna och agera för att människor ska våga återvända dit så länge Islamiska staten kontrollerar Mosul.  I slutändan måste Mosul befrias från Isis för att den assyrier som lever i Ankawa eller i ett flyktingläger i Erbil över huvud taget ska överväga att återvända till sin by Qaraqosh några mil från Mosul. De kommer aldrig att göra det så länge Mosul kontrolleras av Abu Bakr al-Baghdadi. Därmed blir det - det är tråkigt att behöva säga det - oerhört avgörande att det finns en militär kapacitet att stoppa den terrorsekt Isis är.  ","FP"
"Hillevi Larsson","Herr talman! Det blir mycket diskussion om ett ord, alltså om detta ska kallas folkmord eller något annat. Precis som Margot Wallström säger handlar dock skyldigheten att skydda och i sista hand också ingripa inte om ordet, för oavsett om det handlar om folkmord, etnisk rensning, brott mot mänskligheten eller krigsförbrytelser finns skyldigheten att skydda och ingripa.  Det viktigaste är alltså inte vilket ord man använder, utan det viktigaste är vad man faktiskt gör i det här läget. Sverige gör väldigt mycket, och jag tycker att det är viktiga saker man gör. Biståndet får vi inte glömma, för det är väldigt många människor som dör på flykt. Det är inte bara i fångenskap människor riskerar att dö, utan människor dör även av köld och av svält. Det handlar även om att hjälpa länderna i närområdet, som nu tar emot mycket stora flyktingströmmar. Det är helt avgörande, för det finns knappt resurser till att hålla människor vid liv.  Dessutom ska det eventuellt utbildas trupper som bekämpar IS. Det är också en viktig del, och där kan man se att det närmar sig stadiet för ingripande. Även om det inte är vi som ger oss ut och strider stöder vi det försvar som finns och som måste finnas i det här akuta läget, med tanke på de massavrättningar och våldtäkter som sker och de flickor som säljs som sexslavar.  Som regeringen lyfter fram är det också viktigt att kunna ställa dem som har begått dessa brott till svars. Oavsett om man kallar det krigsbrott, brott mot mänskligheten eller folkmord är det extremt allvarliga brott som har begåtts. Utrikesministern svarar också att just attackerna mot yazidierna nog kan räknas som åtminstone försök till folkmord, eftersom det handlar om att fullständigt utplåna den här gruppen. Man dödar alla män, och flickor och kvinnor blir antingen gifta - det är naturligtvis tvångsäktenskap - eller sexslavar. Man utrotar alltså hela gruppen och även deras religion.  Därmed tycker jag att regeringen har svarat bra på frågorna. Det är nämligen inte själva ordet \"folkmord\" som är det viktigaste i sammanhanget. Om vi kan räkna alla de övergrepp som har begåtts som folkmord eller inte är inte det som är problemet, utan problemet är vad vi gör. Det är nämligen tillräckligt allvarliga övergrepp för att man ska agera. Här har vi problemet med Ryssland som blockerar. Det är sådana saker som också spelar in, alltså när Ryssland blockerar inom FN.  Jag tycker som sagt att regeringen lyfter fram de åtgärder som vidtas, vilket ändå är det viktiga i sammanhanget, samt att det kan vara försök till folkmord när det gäller yazidierna. ","S"
"Margot Wallström","Herr talman! Jag vill understryka att det viktigaste är att vi agerar, och våra möjligheter att agera avgörs inte av hur Isis övergrepp i Irak och Syrien definieras. Vi ska inte vänta på ett juridiskt avgörande om huruvida det är folkmord för att reagera på de massiva övergreppen. Jag tänkte säga något om begreppet folkmord. Men först vill jag säga att jag tror att det här handlar om att vi nästan saknar ord för att beskriva hemskheterna. Vi blir så ställda inför Isils härjningar att vi måste få ta till ord som känns starka nog för att beskriva dem. Bekymret är att det finns en konvention som reglerar detta och som förstås har en strikt juridisk tolkning, vilket innebär att man i nästa skede ska kunna ställa människor till svars. Tro inte annat än att vi från första dag har satt våra folkrättsexperter på Utrikesdepartementet i arbete med att titta på det här: Vad kan vi göra? Finns det ytterligare något som vi kan göra? Ska vi kalla det folkmord eller hur ska det definieras, och hur påverkar det? Det ska inte påverka hur vi agerar. Det viktiga är att vi handlar och att vi fortsätter på de spår där vi redan finns. Vi har till och med varit beredda att ompröva vår annars väldigt skeptiska hållning till att hjälpa till att utbilda dem som bekämpar Isil. I det här fallet är det inte stridande, men det definieras som en militär insats. Jag tror att människor undrar varför politiker inte kan kalla det för folkmord, att det kanske kan erbjuda en hjälp eller en tröst. Det är så att politiker tvekar, därför att när man tar till ordet folkmord vill vi att det ska ha en folkrättslig grund. Då vill vi att det ska följas upp på rätt sätt. Vi vill vara korrekta. Det här måste vi beskriva, hur svårt det än kan vara. Men att det är brott mot mänskligheten kan vi redan konstatera, hur vi än ser på det. Jag menar att det här verkligen är ett försök till folkmord och att det ska granskas utifrån det. I den kaotiska situation som vi ser nu kan vi inte undersöka exakt hur avsikterna uttrycks eller om de följer de föreskrifter som finns i konventionen för att juridiskt vara helt på säker mark för att kunna påstå att det är det ena eller det andra. Men vår skyldighet att agera finns där. Folkmordskonventionen har kritiserats för att vara snäv och inte fullt ut användbar i dagens krig och konflikter. Kärnan är att den definierar folkmord som handlingar begångna med avsikt att förinta helt eller delvis en nationell, etnisk, rasmässig eller religiös grupp som sådan. Men det är för snävt. De oerhörda brott som vi nu ser behöver inte nödvändigtvis vara folkmord i begreppets folkrättsliga mening. Isils avskyvärda handlingar, riktade mot civilbefolkningen, kan också utgöra brott mot mänskligheten och krigsförbrytelser. De är de allra allvarligaste brotten mot folkrätten och måste fördömas. Vi måste alltid se till att vi agerar. Vilken beteckning vi ger ohyggligheterna som sker ska inte ha någon praktisk betydelse. Jag hoppas att alla förstår och känner hur förtvivlade vi är. Ibland tänker jag, Fredrik Malm - jag säger det som något vänligt - att du är som ett utropstecken på två ben när du talar, och det tycker är något väldigt positivt. Vi instämmer alla i bilden av ohyggligheterna och känner alla för offren. Det är det som ska styra vårt handlande. ","S"
"Magnus Oscarsson","Fru talman! Jag tackar utrikesministern. Jag noterar att utrikesministern i sitt svar säger att Islamiska staten gjort sig skyldig till åtminstone försök till folkmord i Sinjarbergen. Men det är ju folkmord, enligt konventionens definition, att i avsikt helt eller delvis förinta och döda medlemmar ur gruppen. Ska jag tolka det som att ministern gradvis lutar åt att tillstå att det pågår ett folkmord, eller är det tyvärr så att ministern till varje pris försöker undvika att tillstå att det pågår ett folkmord? Konventionen kräver inte att ett folkmord ska vara fullbordat. Det framgår av konventionen att det handlar om att både förhindra och bestraffa folkmord. Även om folkmordskonventionen i sig inte skulle vara ett användbart verktyg, inte ens då folkmord pågår, bör väl folkmord benämnas som folkmord. Vad är annars poängen med att det kallas för folkmord? Utrikesministern har redan medgett att pågående brott mot mänskligheten och krigsförbrytelser förekommer, vilket ger Sverige och det internationella samfundet samma skyldigheter som vid folkmord. Min fråga åter till utrikesministern är: Hur många fler måste mördas och hur många fler flickor måste skickas i väg som sexslavar innan man kan kalla det för folkmord? ","KD"
"Fredrik Malm","Fru talman! Den slakt som pågår i Mellanöstern tror jag måste sättas i ett historiskt perspektiv. För ungefär hundra år sedan var kanske 15 eller 20 procent av invånarna i Mellanöstern och arabvärlden kristna. I dag är det bara några få procent. Folkmordet på armenier, assyrier, syrianer, greker och kaldéer och andra utrensningar innebar i stort sett att kristenheten raderades ut från Turkiet. De förbrytelser som ägt rum i närtid mot kristna assyrier och syrianer i Irak och i Syrien innebär att en befolkning på ungefär en och en halv miljon människor i Irak under mitten av 80-talet har reducerats till 300 000-400 000 människor i dag. Det här är en historisk tragedi där en hel ursprungsbefolkning i praktiken rycks upp med rötterna. Vi såg det ske med armenierna för hundra år sedan. Vi ser det ske i dag med andra orientaliska kristna i Irak och Syrien. Yazidierna har gått ett liknande öde till mötes med fruktansvärda utrensningar i och med att de varken är sunni, shia eller något annat. De har den religion som man hade innan islam kom. Fru talman! Vi har en bild av att Mellanöstern är någon sorts stor smältdegel av mångfald. Det är inte riktigt sant. Alla judar har lämnat Mellanöstern för Israel, många av de kristna har emigrerat och sunnimuslimer och shiamuslimer slår ihjäl varandra. Det betyder att flyktinglägren bakom fronterna som nu finns mot Islamiska staten, bakom de kurdiska peshmergastyrkorna och även en del kristna styrkor, ligger i de mest pluralistiska områden som finns i hela Mellanöstern i dag. Ur det perspektivet är det ännu viktigare att de här människorna kan skyddas, för det här är nästan de enda heterogena områden som finns kvar i regionen. ","FP"
"Hillevi Larsson","Fru talman! Jag tror att det är farligt att framställa det här som ett religionskrig, att det skulle vara islam mot kristna och mot yazidier. Verkligheten är att också muslimerna är förtryckta, och de är väldigt rädda för utvecklingen där de galna terroristerna tar över. De allra flesta människor vill leva i fred med respekt för andra människor. Därför tror jag att det blir förenklat om man framställer det på det här sättet, för många av dem som drabbas hårdast av framfarten av de här grupperna är muslimer. Vi kan också se att Boko Harams härjningar drabbar även den egna gruppen. Nu använder de till och med unga flickor som självmordsbombare och utrotar hela byar. Det är snarare den extrema våldsideologin i grupper som IS och Boko Haram som är problemet. Det handlar om herravälde, om att ta över makten. Det handlar om att dominera alla grupper, inte bara kristna, inte bara andra religioner utan alla som inte ansluter sig till, i detta fall, IS. I dessa länder förtrycks även muslimska minoriteter. Det gäller till exempel Ahmadiyyasamfundet som jag har kommit i kontakt med. Det är ett litet muslimskt samfund vars rättesnöre är kärlek för alla, hat mot ingen. Denna lilla grupp är helt inriktad på fred, men den är förföljd och förtryckt i många länder. Det handlar om oss som tror på mänskliga rättigheter och demokrati kontra dem som tror på terrorism och våld. Det är motsättningen. Här finns det många muslimer på vår sida. ","S"
"Margot Wallström","Fru talman! Jag tackar för inläggen. En av mina favoritförfattare är Amos Oz, och han säger att det inte är en strid mellan religioner, mellan civilisationer eller mellan nord och syd utan en strid mellan fanatiker och resten av oss. Det är så vi måste se det. Vad vi använder för begrepp och hur vi definierar detta juridiskt minskar inte lidandet. Det påverkar inte heller vårt ansvar att agera. Det är viktigt för mig. Vi måste göra allt vi kan för att bidra humanitärt och politiskt. I detta fall måste vi också bidra med en styrka som kan hjälpa till att utbilda dem som bekämpar Isil. Vi fortsätter att agera i alla de sammanhang vi kan. Vi tittar förstås på vad FN:s experter säger. Vad säger de som har varit där? Vad säger rapporterna från dem som har kunnat dokumentera det som pågår? Sanningen är att i det aktuella kaotiska läget går det inte att säga att Isil generellt gör sig skyldig till folkmord. Det säger också folkrättsexperterna och juristerna. Men det hindrar oss inte från att agera, och det viktiga är att vi förser människor med hjälp. Isils övergrepp är dock sådana att det kan konstateras att andra grova brott, brott mot mänskligheten och krigsförbrytelser har begåtts. Det innebär att vi även fortsättningsvis har en skyldighet att agera och ställa de ansvariga till svars för sina handlingar. Vad gäller omständigheterna vid Sinjarbergen tyder mycket på att Isil har begått dessa handlingar med avsikt att helt eller delvis förinta en religiös grupp, yazidierna. Därmed har Isil gjort sig skyldig till åtminstone försök till folkmord. Jag kommer även i fortsättningen att sträva efter att se till att vi i handling kanaliserar den oro och ilska och alla de känslor som uppkommer när vi ser denna typ av övergrepp begås. Vi måste fortsätta att visa att vi ställer upp för offren och göra allt vi kan för att förhindra att det sker igen. Vi kommer förstås att använda våra folkrättsexperter och folkmordskonventionen när vi kan. Vi måste göra detta tillsammans med alla andra aktuella aktörer. ","S"
"Magnus Oscarsson","Fru talman! Jag tackar utrikesministern för en mycket intressant och givande debatt. Det är bra att Sverige ska ge militär rådgivning. Som ett första steg är det mycket bra. Men för de närmast drabbade folkgrupperna är det av stor betydelse att det pågående folkmordet erkänns som just folkmord. Inte minst gäller det mot bakgrund av att folkmordet delvis drabbar samma kristna minoritet som utsattes för Osmanska rikets folkmord 1915, vilket länge förnekades och sopades under mattan.  Även jag anser att det är viktigt att vi kallar saker vid dess rätta namn. Att säga att folkmordet är ett folkmord är viktigt för att vi ska få rätt bild av det mycket allvarliga läget. Jag tror att det har betydelse för den politiska viljan att vidta åtgärder till skydd för de drabbade befolkningarna. Det handlar också om, utifrån den kunskap som finns om tidigare folkmord, att få en förståelse för de mekanismer som verkar i situationen för att därigenom kunna vidta de bäst avvägda åtgärderna. Jag hoppas att utrikesministern och svenska regeringen snart ändrar uppfattning i denna för många viktiga fråga. ","KD"
