"Sven-Erik Bucht","Fru talman! Daniel Bäckström uttrycker en oro för rovdjursförvaltningen i Sverige. Regeringen anser att Sverige ska ha en långsiktigt livskraftig vargstam. Det övergripande målet för rovdjurspolitiken är att varg och andra rovdjur ska ha gynnsam bevarandestatus samtidigt som tamdjurshållning inte påtagligt försvåras och socioekonomisk hänsyn tas. Rovdjurspolitik är en samhällsfråga. Det är en balansakt där flera olika intressen står mot varandra. Människor och rovdjur ska kunna leva tillsammans, och därför är det viktigt att vi gör vad vi kan på alla plan för att det ska fungera så bra som möjligt. Vi måste ha en politik som värnar både människa och djur.  Vi kan göra mer när det gäller förvaltningen av den svenska vargstammen. I Sverige har vi en god bild av hur många vargar som finns. Men vargpopulationen är under ständig förändring, och förutsättningarna för vargens fortlevnad påverkas kontinuerligt av många olika faktorer. För en framgångsrik förvaltning av varg är det nödvändigt med en väl genomarbetad bild av vargens bevarandestatus som uppdateras allteftersom förutsättningarna för vargens fortlevnad förändras.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Beslutsgången när det gäller licensjakt bör ses över för att säkerställa att den är transparent och rättssäker samt förenlig med EU-rätten. Beslut om licensjakt efter varg tagna av länsstyrelsen kan enligt jaktförordningen inte överklagas till domstol, vilket är en beslutsgång som kritiserats. För närvarande pågår en prövning av denna fråga i Högsta förvaltningsdomstolen. Vi följer utvecklingen noga. Hur det blir med licensjakten efter varg vintern 2016 återstår att se. Vi har en regionaliserad vargförvaltning. Naturvårdsverket har delegerat rätten att besluta om licensjakt efter varg till länsstyrelserna i det mellersta förvaltningsområdet. Denna delegation har tidsbegränsats till den 15 februari 2017. ","S"
"Daniel Bäckström","Fru talman, ärade riksdagsledamöter och ministern! Jag får tacka för svaret på denna interpellation. Vargpolitiken har vi diskuterat tidigare i kammaren. Det är en fråga som berör stora intressen på Sveriges landsbygd, och det borde vara en viktig fråga för vårt landsbygdsdepartement och för ansvariga politiker. Det är mars månad, och det är vårens tid. Tiden går fort. Just nu föds lammungar och andra ungar till djuren ute i bygderna. Bland annat kommer det att födas ett antal nya vargvalpar i år. Det vet vi eftersom det finns många grupperingar som den här tiden på året förbereder för nya valpkullar. Den nya generationen kommer att förändra kartan ytterligare. Vi kan följa de senaste årens utveckling, framför allt i de län som är hårt drabbade med en stor population av vargar. Vi pratar om Värmland, Örebro och Dalarna. Där kan vi se att reviren har blivit fler och geografiskt mindre. Det har ökat trycket i sociala frågor och i djurhållningen av både den tama och den vilda boskapen. I vinter har det bedrivits förvaltningsjakt i utvalda revir, och den har varit framgångsrik. Det gick relativt lätt att fälla de djur man på förhand hade planerat för. Bland annat har man i Värmland konstaterat att förekomsten av varg i reviren var betydligt större än man på förhand hade räknat med. Man upptäckte också att fler revir hade bildats i dessa områden, och att man avlivade djur som hörde till andra revir än de planerade. Vilken helhetsbild har vi egentligen av antalet vargar i våra bygder? Hur många finns i dag i skogen, och hur många kommer att finnas nästa gång vi debatterar frågan i kammaren? Jag tror att helhetsbilden är betydligt mer annorlunda än vad myndigheterna redovisar. Det finns fler vargar, och det påverkar trycket i de bygder som berörs i dag. Jag lyfter fram interpellationen i dag utifrån artikeln som ministrarna Romson och Bucht presenterade i Svenska Dagbladet torsdagen den 5 februari. Det var fem punkter med åtgärder för att få en långsiktigt hållbar vargstamsförvaltning som presenterades. Man skriver: \"I dag är vargen här för att stanna. Det är ett tecken på att djurlivet i våra skogar blir rikare . Det innebär att vi måste jobba vidare för att få en politik som värnar både människan och djuret.\"  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Man skriver också att \"tamdjurshållning inte påtagligt försvåras\". Den formuleringen kan man fundera på: att tamdjurshållning inte påtagligt försvåras. Ja, vill man ha en balanserad rovdjurspolitik är det där fokus ligger, för jag kan dra slutsatsen att det är helt okej för ministrarna att tamdjursförhållningen försvåras - dock inte \"påtagligt\". Det är en oerhört viktig markering för alla de eldsjälar och djurhållare runt om i landet som dagligen möter utmaningarna med en väldigt stor vargstam. Man berör i svaret som vi har fått presenterat i dag inte mycket av de socioekonomiska konsekvenserna. Jag upplever heller inte att ministern berör vilka ambitioner som finns för att utveckla landsbygden i de här områdena. Jag hade mycket hellre hört om en strategi från ministern för att utveckla djurhållningen i stället för att lägga fokus på en starkare vargstam. ","C"
"Lars Tysklind","Fru talman! När vi diskuterar varg har det en tendens att bli mycket svart eller vitt, men frågan ser faktiskt inte ut på det sättet. Det som föranleder den här viktiga interpellationen är precis det som Daniel Bäckström sa: att regeringen återigen vill utreda bevarandestatus och licensjakt. Vad man kan fråga då tycker jag inte besvaras särskilt väl av dagens svar: Vad är det som konkret har ändrats som föranleder ett sådant beslut? Jag har alltid uppfattat det som att Socialdemokraterna och Alliansen har varit relativt överens i den här frågan - även Folkpartiet i det sammanhanget. Landsbygdsministern skriver att Sverige ska ha en långsiktigt livskraftig vargstam. För mig och Folkpartiet betyder en livskraftig vargstam per definition att den är jaktbar. Det kan vi nog vara överens om. Jag skulle ändå vilja ta fasta på det som det mycket handlar om, det som också Daniel Bäckström tar upp: oron hos de berörda människorna, de som bor i trakter med mycket varg. Signalerna att man återigen ska utreda tror jag får människor att känna - visa av skadan, skulle jag vilja påstå, och oberoende av vem som har styrt och ställt: Ska vi återigen inte få vara med och påverka? Det är bristen på dialog och på förståelse för svårigheten att leva tillsammans med varg som har skapat egentligen helt onödiga motsättningar. Människor måste i alla sammanhang känna att de kan vara med och påverka sin situation. Det är väl bristen på det som har skapat tonläget i debatten som har varit. För att se tillbaka på vinterns licensjakt tror jag att landsbygdsministern får tillstå att det kom dubbla budskap från regeringen. Det var nästan så att vi fick dem samtidigt i samma direktsändning i tv: Först sa landsbygdsminister Bucht att han i princip välkomnade vargjakten. Strax efteråt sa miljöministern att hon tyckte att det var olyckligt. Det är klart att sådana typer av dubbla budskap från regeringen förvirrar de människor som berörs. Vi talar nu om att vi ska ha en långsiktigt hållbar vargpolitik. Det är vi nog alla besjälade av att vi faktiskt ska ha. Samtidigt måste vi naturligtvis rätta in oss efter EU-reglerna. Det är en självklarhet att EU:s art- och habitatdirektiv ska gälla även i Sverige. Men det finns många andra punkter där vi de facto nationellt styr och ställer om hur man ska uppfylla de kraven. Det är ju inte så att vi exakt föreskriver hur man ska göra det eller på vilken nivå besluten ska tas.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi tycker från Folkpartiets och min sida att vi har kommit långt i den diskussionen och fått känslan att vi nu har möjlighet att fatta regionala och lokala beslut, naturligtvis utifrån en ständig uppföljning av bevarandestatus. Man kan nästan få intrycket att regeringen säger att man ska utreda bevarandestatus igen för att kunna ha en licensjakt som är relevant. Men varje års beslut om licensjakt bygger ju på att man har gått igenom detta. Det är en kontinuerlig process. Man måste inte ta jättestora omtag hela tiden. Återigen vill jag lyfta fram att vi måste ta de människor det berör och deras oro på allvar och låta dem vara med väldigt centralt i dialogen. ","FP"
"Emma Nohrén","Fru talman! Vi har hört interpellanter efterfråga dialog i vargpolitiken och säga: Varför gör man det här nu när vi äntligen har kommit fram? Men det handlar ju om att vi tidigare har haft en avsaknad av dialog. Vi har haft ett beslut på hur många vargar vi ska ha i Sverige - ett politiskt grundat beslut. Forskarna som har tagit fram underlaget har till och med gått ut i väl ansedda tidningar som Nature och sagt: De har missbrukat mitt underlag. Det här är inte rätt. Vad regeringen har gjort är att komma fram till en överenskommelse om hur vi ska gå vidare som bygger på just dialog och samsyn. Vi vill ge mer pengar till förebyggande åtgärder och till att utreda detta i Jordbruksverket så att vi kan få förebyggande åtgärder för tam- och husdjur, mer pengar till rovdjursstängsel och observationsåtgärder och bättre regler för skyddsjakt så att det blir lättare att ta bort de individer som är det största problemet i stället för att man går ut och tar \"random\" vargar. Vi vill också bredda dialogen om att återuppta Vargkommittén, där miljörörelsen och jägarorganisationerna har samtalat om hur man går vidare i den här frågan. Den var väldigt uppskattad men skrotades när det blev en sådan polariserad fråga. Just de saker som har efterfrågats här är alltså precis det som regeringen har tagit fram. Det vi nu kan undra över är när allt det här kommer till. Det kan jag ju fråga landsbygdsministern nu. Vi hade ju med pengar till de här förebyggande åtgärderna i vår budget, som tyvärr röstades ned. Frågan är hur det ser ut framöver. Anledningen till överenskommelsen om vargpolitiken var just samverkan mellan varg och människor, att vi ska leva tillsammans och ha en livskraftig vargstam. Det är precis det som efterfrågas som vi försöker besvara. ","MP"
"Ulf Berg","Fru talman! Jag tänkte kommentera lite av vad Emma Nohrén sa om att det har varit bristande dialog. Jag höll på att säga: Finns det någon fråga där det har varit så mycket dialog genom åren som i just denna fråga? Man har haft Vargkommittén, som nämndes, där både bevarandesidan och jägarsidan och även andra intressenter har suttit. Man har hela tiden haft lite olika uppfattningar. När man har lämnat sammanträdesrummen har bevarandesidan i regel överklagat alla beslut, och man har fortsatt att skapa en konflikt som jag tycker var på väg att lösas.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi har, som vännerna i Alliansen Daniel Bäckström och Lars Tysklind sa, haft en väldigt framgångsrik jakt, en jakt som jag tycker bedrevs på ett korrekt sätt. De första vargjakterna tyckte jag hade en felaktig inriktning, då man sköt vargar i olika revir och inte hade något utpekat revir. Att peka ut revir där det finns skäl och har varit mycket störningar tycker jag är rätt väg. Det finns skäl att påminna om det som har sagts: Jakten visade att det fanns fler vargar i reviren. I Dalarna var det jakt i två revir, efter lite om och men och överklaganden. Det visade sig att det i reviret söder om Siljansnäs utanför Leksand blev kvar vargar, sedan man hade skjutit de vargar som var tilldelade av länsstyrelsen. Det visar med all önskvärd tydlighet att länsstyrelsen inte har en aning om hur många vargar det finns. Det är ganska klassiskt. När man började med DNA-prov på avföring från björn visade det sig att det var dubbelt så många björnar jämfört med vad man hade trott från början. Jag är också ganska säker på att det är liknande när det gäller varg. Det har man konstaterat från jakten i bland annat Värmland och Dalarna. Det nya beslut som regeringen kommer att fatta, om att börja om från början i den här frågan, anser jag är djupt olyckligt. När vi har börjat få en någorlunda dräglig situation, där jag uppfattar att båda parter har börjat prata lite mer hovsamt och det har blivit mer nyanserat, då vill regeringen börja om från början, trots tre utredningar och att vi aldrig har haft så mycket varg i Sverige sedan kanske 150 år tillbaka i tiden. Ändå vill man starta detta jobb. Vilka är det man ska ha dialog med? Det verkar vara fel forskare. Det har i varje fall Åsa Romson hävdat tidigare, att forskarna gick i jägarnas spår, vilket är ett förödande dumt uttalande. Detta behöver absolut inte göras om igen. Att Miljöpartiet driver den här politiken är jag inte det minsta förvånad över, för det är väl ett parti som har övergett landsbygden för länge sedan. Men att landsbygdsministern, Sven-Erik Bucht, låter sätta sitt namn på samma papper i den insändare som vi fick se på Brännpunkt i Svenska Dagbladet är jag väldigt förvånad över. Jag har alltid uppfattat att landsbygdsministern har stått upp för landsbygden, men tyvärr tvingades jag revidera den uppfattningen. Jag hoppas att vi får lite klargöranden under debatten. ","M"
"Anders Ahlgren","Fru talman! Jag ska be att få göra några reflexioner när det gäller de socioekonomiska effekterna av riksdagens rovdjursbeslut från 2013. Rovdjuren och framför allt vargen har lett till allt starkare reaktioner, inte bara från djurägare utan också från människor som drabbas, en bred allmänhet. Uppgifterna från länsstyrelsen anger att det finns strax under 100 vargar i mitt hemlän. I princip är hela Dalarna täckt med vargrevir. Så har det varit under lång tid. Uppskattningsvis finns 350 björnar efter årets björnjakt, då 65 björnar fick skjutas. Därmed är Dalarna ett av de län som har allra störst koncentration av rovdjur, vilket starkt påverkar villkoren för många människor. Det finns en betydande politisk uppslutning bakom synsättet att rovdjur har ett berättigande i den svenska faunan och ger ett mervärde i många avseenden. Men det visar sig också gång på gång att en stark koncentration av rovdjur till ett begränsat geografiskt område ger betydande problem. Det påverkar starkt människors vardag.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer De så kallade socioekonomiska effekterna måste vägas in. Dessa effekter är inte alltid lika vetenskapligt underbyggda utan innebär tolkningar av människors upplevelser. Ingen kan väl ha undgått de oerhört starka känslor som rovdjuren väcker hos befolkningen. De olika delarna i det goda livet på landsbygden påverkas, och viljan att skapa utkomst och framtid avtar. Det rörliga friluftslivet lockar inte på samma sätt som tidigare. Nöjet att röra sig i skog och mark byts till en känsla av att alltid behöva vara på sin vakt. Den starka koncentrationen av björn har resulterat i flera otäcka angrepp på människor: skidåkare, skogsarbetare och jägare. Många vågar inte längre plocka bär och svamp eller ha sällskapshunden med sig på skogspromenader. Allvarlig är också känslan hos många djurägare att inte längre kunna garantera sina tamdjur skydd och trygghet. Detta är ofta djurägarens starkaste känsla och drivkraft i sitt företagande. I en tid när vi behöver fler och yngre människor som vill hålla betesdjur har vargen fått många att i stället avyttra eller avstå. De attacker som har skett, trots att det har gjorts förebyggande insatser, ger känslomässiga signaler i breda kretsar av djurägare. Det berör själva själen i att vara bonde. I Dalarna finns ett 90-tal fäbodar som fortfarande brukas. Alla dessa ligger i områden med starkt rovdjurstryck. Traditionellt fäbodbruk bygger på att djuren har stora områden att röra sig fritt inom. Instängning med rovdjursstängsel låter sig svårligen göras, vilket innebär att det kan vara svårt att upprätthålla ett rimligt djurskydd enligt stolta svenska lagar. Fäbodbruket blir därmed starkt hotat. En ersättning i pengar kompenserar inte för detta. Fru talman! Riksdagens beslut om svensk rovdjurspolitik är väl avvägt. Vi antog politiken i relativt stor politisk enighet. Ingen är helt nöjd, men vi klarar att upprätthålla stammar, och det skapas möjligheter att snabbt ingripa när konflikterna blir orimliga. Ytterligheterna kommer däremot knappast att mötas i denna fråga. För Centerpartiet är det är viktigt att vi har en rovdjurspolitik som vinner acceptans i breda lager och i alla delar av vårt land. Därför kan rovdjurspolitiken inte ses som en enskild fråga utan måste sättas i sitt sammanhang. Vi kan inte ha så stora koncentrationer av rovdjur att människor som lever i dessa områden känner sig så osäkra att det förändrar deras vardag. Jag skulle vilja avsluta med att ställa några frågor till landsbygdsministern. Hur kan en framtida rovdjurspolitik ta hänsyn till de socioekonomiska effekterna? Hur tänker ministern om en koncentration av vargarna till i huvudsak Värmland, Dalarna och Örebro län? Hur kommer koncentrationen att påverka regeringens rovdjurspolitik? ","C"
"Åsa Coenraads","Fru talman! Det är en oerhört viktig och känslomässig fråga som vi diskuterar just nu. Det är en fråga som har beröring på de människor som lever i, bor i och brukar de områden där vi har varg i Sverige i dag. Vi ser att vi har en vargstam som kommer tillbaka. Den blir mer livskraftig, större och starkare, och det tycker jag är positivt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Men precis som för alla andra djurslag som vi har i landet behöver man förvalta också vargstammen. Vi ser nu med regeringens nya inriktning i besluten att den förvaltning som äntligen börjar komma på plats nu rivs upp i grundvalarna. Det är ytterst oroväckande och mycket tråkigt. Regeringen talar mycket om en ökad dialog. Då undrar jag lite hur man ser på den dialogen. Vi har nu under åtta år haft lokala viltförvaltningsdelegationer som i de län som är mest rovdjurstäta har fungerat mycket bra. Man har tagit besluten närmare de människor som berörs, och man känner att man har börjat få ett grepp om närmiljön i respektive län. Jag har blivit ganska nedringd de senaste veckorna av rätt upprörda och känslosamma medborgare från mitt hemlän Västmanland som känner att regeringen nu rycker undan mattan för dem. De har börjat hitta ett sätt att leva tillsammans med varg, björn och lo, som vi har mycket av, men det fungerar inte längre. Det är väldigt oroväckande. Regeringen vill utreda frågan ytterligare en gång. Men det finns nog ingen fråga som har varit så väl utredd som rovdjursfrågan just beträffande varg. Det har varit särskilda utredare, forskare, länsstyrelser, myndigheter, departement och universitet som har varit involverade. Om inte annat har vi diskuterat frågan oerhört mycket här i kammaren under i alla fall de år som jag har varit med. Frågan är: Hur mycket får vargen kosta samhället? Hur mycket ska man behöva slita upp känslor för människor som redan lever i de här områdena och har det tufft? Det leder inte till något att börja om igen. Då är det bättre att regeringen talar klarspråk och säger att man inte vill ha någon skyddsjakt på varg, inte vill ha någon förvaltning av varg, utan vill att vargen ska få leva fritt - i stället för att riva upp alla dessa öppna sår för människor igen. Jag undrar hur de socioekonomiska värderingarna ska räknas ut och vem som ska göra bedömningen av vad som får kosta vad och vem som ska betala ut pengarna till alla som är berörda av vargens framfart. Vem ska kunna ersätta alla markägare, fastighetsägare och djurhållare runt om i våra varglän?  Lite senare ska vi här i kammaren diskutera livsmedelsstrategin. Det är intressant när regeringen nu har en ambition att öka den svenska matproduktionen. Men man slår undan benen för dem som faktiskt har djurhållning i landet. Vem ska hålla våra marker öppna, och vem ska producera den mat som ska ingå i den framtida livsmedelsstrategin? I mitt län har vi dessutom många Natura 2000-områden. Vem är det som ska hålla dessa marker öppna med tanke på allemansrätten och de naturvärden som finns där om vi inte har djur som betar längre? ","M"
"Isak From","Fru talman! Nu står vi här igen, och den borgerliga oppositionen säger att vi river upp allting. Men det är faktiskt inte riktigt så.  Vi har varit mycket tydliga med att det i regeringen sitter två partier med lite olika ingångsvärden i denna fråga. Man har gjort en överenskommelse för att faktiskt kunna ta hänsyn till riksdagens beslut. Vi har art- och habitatdirektivet, och vi är med i EU och ska rapportera in rödlistade arter och tala om hur vi ska förvalta dem.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Landsbygdsfrågan är en övergripande ödesfråga som man gärna lyfter fram. Tyvärr har vargen fått stå modell för en misslyckad landsbygdspolitik under mycket lång tid.  Man lyfter även fram socioekonomisk hänsyn. Givetvis är det så att om människors traditioner blir rubbade måste man hålla extra koll på detta.  Om den borgerliga regeringen hade suttit kvar skulle den också ha rapporterat in gynnsam bevarandestatus för våra rovdjur 2019. När man ska göra det bör man göra det med så stor trovärdighet som möjligt. Precis som Ulf Berg med flera har lyft fram här har det visat sig att det i bland annat de revir där man har jagat fanns betydligt mer varg än man trodde från början. Man är också tämligen oense om hur många vargar det finns. Då finns det ännu större anledning att man lägger manken till och långsiktigt följer frågan så att man kan rapportera in rätt värden.  Skyddsjaktsbesluten ska följas. De angrepp på tamdjur som görs ska kunna generera ett skyddsjaktsbeslut när som helst. Det får också konsekvenser. Det var därför som regeringen lade fram förslag om ökade skyddsåtgärder. Tyvärr föll den budgeten. Nu kanske vi får möjlighet att återkomma till den frågan i och med vårpropositionen.  En fråga som jag brukar lyfta fram och som gör mig lite konfunderad är att vi gärna står här och diskuterar vargen åtminstone ett par tre gånger per år. Samtidigt försvinner i mitt hemlän ungefär 70 000 renar på grund av rovdjursangrepp. Det diskuteras väldigt lite. Det är i huvudsak björn, lo och kungsörn som orsakar dessa skador, och det diskuterar vi rätt lite. Det är bara en liten aspekt på frågan varför just vargen har fått stå modell för hela rovdjursdiskussionen. Det har inte jag något svar på. Men det är någonting som jag tror att man bör ha med sig.  Vi socialdemokrater tyckte inte att politiken skulle slå fast en gynnsam bevarandestatus. Det var egentligen den enda del som skilde vår motion från den proposition som riksdagen fattade beslut om. Vi var helt överens med den tidigare borgerliga regeringen om ökad delegering ut till de län och länsstyrelser som skulle fatta beslut.  Vi tror också att kontinuerliga kontrollstationer är mycket viktiga. Vi tror på de regionala besluten. Men vi tror också att den rovdjurskommitté som finns - man har nu valt att kalla den vargkommitté - kan undanröja vissa hinder när två sidor står på barrikaderna och kastar skit på varandra, vilket inte kommer att föra frågan framåt. Men jag tycker att regeringen har gjort en ansats till en arbetsplan för att man faktiskt ska kunna ha en hållbar rovdjursstam som ska förvaltas.  ","S"
"Lotta Olsson","Fru talman! Jag tyckte att vargfrågan hade hamnat så rätt under den förra mandatperioden. Vi såg att vi fick en tolerans i de områden där det finns mycket varg. Vi såg faktiskt ljuset i tunneln. Nu hade någon äntligen tagit tag i denna problematiska fråga, där man har haft en mycket stor tolerans i lokalbefolkningen när det gäller de problem som faktiskt uppstår när man har mycket varg.  Vi ser fårägare som trots att de använder tredubbla stängsel och verkligen jobbar för att kunna ha får i de områden där det finns vargrevir inte lyckas hålla rovdjuren utanför.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vargarna finns i fem län i landet. Det är i Örebro, Värmland, Västmanland, Dalarna och Gävleborg. I övriga landet finns det knappt någon vargpopulation.  Det finns inget djur, och framför allt inget rovdjur, som man har forskat så mycket på som vargen. Det finns inte heller något utrotningshot mot vargen. Vargen finns spridd över i stort sett hela världen. Det är människan, råttan och vargen som finns nästan överallt.  Att vi nu ska behöva gå ifrån en politik där vi äntligen hade kommit på spåret för att lösa denna fråga tycker jag är mycket tragiskt.  Det är också ett stort resursslöseri att man lägger ned så mycket forskning på just varg eftersom vi till och med på individnivå i dag har forskning. Vi vet var alla våra vargar i Sverige kommer ifrån, och det finns mycket bra metoder för hur man ska kunna härleda alla. Dessa pengar skulle behövas till mycket annan forskning för att vi ska få en levande landsbygd och en bra flora och fauna framöver. Jag tycker därför att det är konstigt att landsbygdsministern har gått på detta spår och sviker vår landsbygd så totalt och går på en helt annan linje än vi hade tidigare.  De lokala besluten i detta sammanhang är enormt viktiga. Det är nämligen bara lokalt som man kan se när man faktiskt behöver ta bort en hel population, ett helt revir, och inte bara skjuta enstaka vargar, vilket gör att man varken får en bra stam eller en bra utveckling av populationen.  ","M"
"Sven-Erik Bucht","Fru talman! Först ska jag säga till Daniel Bäckström att Landsbygdsdepartementet inte finns. Det är Näringsdepartementet som hanterar dessa frågor.  Jag håller med Daniel Bäckström om att detta är en fråga som berör. Jag ser att det är åtta ledamöter på talarlistan för att delta i debatten, och det är klart att detta också berör riksdagsledamöter. Jag ska försöka svara på era frågor och funderingar, även om jag inte hinner med allt i detta inlägg.  Daniel Bäckström uttrycker en osäkerhet när det gäller hur det egentligen förhåller sig med vargbeståndet. I nästa stund säger han att han inte vill se det. Men vi vill titta på vargbeståndet och göra en vetenskaplig undersökning av hur det ser ut. Bilden förändras nämligen. Jag tror inte att man kan säga att det nu är på ett visst sätt och att det kommer att vara så över tid. Sedan tar Daniel Bäckström upp tamdjurshållningen och att den försvåras. Det är flera här, även från Alliansen, som talar varmt om tamdjur. Det gör jag också.  Då blir min fråga till er: Varför avslår ni förslag om ekonomiska medel för att kunna skydda tamdjuren? Alliansen tillsammans med Sverigedemokraterna avslog förslag om 20 miljoner för att skydda tamdjur som ni talar varmt för.  Lars Tysklind säger att detta berör människor. Jag tycker att vi ska ha respekt för såväl rovdjur som människor. Det är väldigt viktigt. Det behövs en respekt också för människan. Förvaltningen är regionaliserad, men samtidigt har vi en skyldighet att rätta oss efter vissa EU-regelverk. Här finns ett överträdelseärende som vi har svarat på, men vi har inte fått något svar tillbaka om hur det hanteras. Jag utgår ifrån att man avvaktar Högsta förvaltningsdomstolens utslag, vilket är en annan rättsprocess som är i gång.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Emma Nohrén frågade när arbetet kring det här startar. Vi har startat arbetet, så det är igång. Tyvärr har vi inte de 20 miljonerna för att skydda de tamdjur som också jag värnar. Det är även andra ledamöter som värnar dem, men de är inte beredda att göra något konkret utan använder bara ord. Tyvärr är det ju på det sättet.  Ulf Berg talade om att börja om och att det är djupt olyckligt. Det sker ju en förändring hela tiden, och om vi tittar på rättsprocessen över tid ser vi att den under flera år har varit väldigt osäker. Det har varit överklaganden, och det har varit år då det över huvud taget inte har blivit någon licensjakt på grund av osäkerhet kring rättsprocesser. Sedan är årets jakt i Högsta förvaltningsdomstolen, så även om den var lyckosam och man snabbt sköt av 44 vargar är den inte avgjord den rättsliga vägen. Det är klart att man måste klara upp detta, för det skapar oro hos människor ute i bygden. Jag är själv landsbygdsbo; jag kan de här frågorna. Jag vet att det finns människor som känner otrygghet kring detta, och det är någonting vi måste ha mycket stor respekt för. I hanteringen kommer givetvis också de socioekonomiska delarna att belysas och tas hänsyn till. Det är en nödvändighet. När det gäller Åsa Coenraads inlägg kommer ju livsmedelsstrategin att behandlas i en interpellationsdebatt efter denna. Vi kan väl ta den frågan då. ","S"
