"Närings- och innovationsmin. Mikael Damberg","Herr talman! Jonas Sjöstedt har frågat mig om jag har gjort ställningstagandet att Vattenfall bör dra tillbaka sina skadeståndskrav på Tyskland. Han har också frågat om jag kommer att motsätta mig klausuler om investeringsskydd i EU:s handelsavtal med Kanada och USA. Beträffande frågan om Vattenfall får jag framhålla att Tysklands omfattande energiomställning och beslutet att fasa ut all kärnkraftsproduktion i Tyskland till år 2022 innebar en omfattande förändring av förutsättningarna för Vattenfalls verksamhet i Tyskland. Vattenfalls styrelse och ledning är skyldiga att tillvarata bolagets ekonomiska intressen och agera i enlighet med regeringens ägarpolicy. Frågan om eventuell kompensation för beslutet att fasa ut kärnkraften och de rättsliga åtgärder som vidtas för att erhålla sådan kompensation är därför ett ansvar för bolagets styrelse och ledning. Jag förväntar mig att Vattenfall agerar korrekt och på lämpligt sätt för att tillvarata bolagets intressen. Jag kan också tillägga att Vattenfall har grundat sin stämning på energistadgefördraget, vilket är en internationell överenskommelse på energiområdet som ratificerats av EU och 47 stater, främst från Europa. Bland de anslutna staterna återfinns Sverige och Tyskland. Energistadgefördraget, som godkändes av riksdagen 1996, innehåller bland annat regler om investeringsskydd och en investerar-stat-tvistlösningsmekanism. Vad gäller Vattenfall generellt har statsministern beslutat att Vattenfall ska höra till mitt ansvarsområde. För att ta ett helhetsgrepp när det gäller styrningen av Vattenfall, i syfte att göra bolaget ledande i omställningen av energisystemet mot en högre andel förnybar energi, har det skapats en särskild statsrådsgrupp, som leds av mig. Mot den bakgrunden avser jag inte att vidta ytterligare åtgärder.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vad gäller frågan om klausuler om investeringsskydd och skiljedomsförfarande i avtalen med Kanada respektive USA vill jag hänvisa till mitt tidigare svar på interpellation 2014/15:26. Där redogör jag för viktiga utgångspunkter för regeringen beträffande dessa handelsavtal i allmänhet och frågorna om investeringsskydd och deras fortsatta hantering i synnerhet. ","S"
"Jonas Sjöstedt","Herr talman! Tack, Mikael Damberg, för svaret! Jag har diskuterat Vattenfall flera gånger här i kammaren. Då har jag debatterat med borgerliga ministrar. Det har handlat om Nuonaffären, Vattenfalls kolinvesteringar och Vattenfalls stora ekonomiska förluster i Tyskland och Nederländerna. Det som har utmärkt ministrarna när vi har debatterat detta är att de inte har velat ta ansvaret som ägare. De har sagt att det är Vattenfalls ledning som sköter detta, att de inte har någon åsikt och så vidare. Jag har tyckt att det har varit att inte ta ansvar. Tyvärr måste jag konstatera att Mikael Damberg i dag argumenterar precis som de borgerliga ministrarna gjorde: Ansvaret ligger på Vattenfalls ledning. Men jag menar att ägaren - staten, Mikael Damberg, regeringen - har ett ansvar för att säga vad man tycker. Agerandet i Tyskland, där Vattenfall i praktiken försöker förhindra eller få ut ett jättelikt skadestånd därför att man har valt att avveckla kärnkraften är märkligt från den här regeringens utgångspunkt - mer märkligt än från den förra regeringen. Den här regeringen säger ju att målet i Sverige är att stegvis avveckla kärnkraften och att satsa på förnybart - precis det som Tyskland gör men det som Vattenfall, statens bolag, motsätter sig. Vattenfall har inte bara slösat bort svenska skattebetalares pengar. De har en politik som är dålig för klimatet. De orsakar jättelika koldioxidutsläpp. De satsar på kolbrytning och nya kolkraftverk i Tyskland. De har försökt bromsa den tyska omläggningen att stänga kärnkraften. De har skämt ut sig i både Hamburg och Berlin genom hur man har hanterat städernas elnät, vilket har lett till lokala folkomröstningar. Jag skulle vilja säga att Vattenfalls agerande i Tyskland i dag är det enskilt största problemet för bilden av Sverige i Tyskland, ett av våra viktigaste grannländer. Det är ett problem i de tysk-svenska relationerna att Vattenfall uppfattas som det gör.  Frågan är då: Är det rätt av Vattenfall att gå via denna tvistlösningsmekanism och detta internationella avtal? Jag menar att Tyskland är en rättsstat. Tyskland har, precis som Sverige, ett rättssystem. Där finns det regler om konfiskation, och det finns regler om kompensation vid olika typer av affärer. I så fall menar jag att dessa avtal inte borde finnas, därför att det då är de nationella rättssystemen som ska avgöra. I annat fall lägger man någonting ovanför de nationella demokratierna.  Det är också uppenbart att Vattenfalls investering i tysk kärnkraft tyvärr också är en felinvestering. När man köpte kärnkraftverken 2001 hade Förbundsdagen ett år tidigare, år 2000, beslutat att man skulle avveckla kärnkraften. Vattenfall köpte kärnkraftverken efter att Förbundsdagen hade tagit sitt första beslut om kärnkraftsavveckling. Efter 2007 har de två stora kärnkraftverk som man äger helt - Krümmel och Brunsbüttel - stått still. Vattenfall köpte kärnkraftverk som man visste att Tyskland ville stänga. De fungerade inte när man tog beslutet att avveckla dem, utan de har stått still i flera år. Och den svenska regeringen vill stänga kärnkraften även i Sverige. Detta gör att skadeståndskravet från Vattenfall mot Tyskland är lite pinsamt.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Detta är också en principfråga. Ska företag kunna stämma rättsstater för demokratiska beslut? Mikael Damberg hänvisar till den förra interpellationsdebatten, också den med en vänsterpartist. Men samma dag som Mikael Damberg hade den debatten och sade att man skulle avvakta och läsa kommissionens positioner landade detta brev på EU-kommissionens bord, där Mikael Damberg skriver under på att han kräver ett sådant investeringsskydd i TTIP-avtalet.  Innebär inte detta, Mikael Damberg, att den svenska regeringen har låst sig vid att även amerikanska företag ska kunna överklaga demokratiska beslut i Sverige? ","V"
"Jens Holm","Herr talman! Jag tackar näringsministern för svaret på en mycket viktig interpellation. Helstatliga Vattenfall släpper i dagsläget ut mer koldioxid än vad hela staten Sverige gör. Jag tycker att det känns synnerligen pinsamt att Vattenfall drar den tyska staten inför domstol. Nu när vi har fått en ny progressiv regering tycker jag att man, eftersom det är ett helstatligt företag, verkligen borde kunna se till att få stopp för detta förfarande. Varför ska tyska skattebetalare betala miljarder kronor för ett beslut som svenska Vattenfall faktiskt kände till när man gick in på den tyska marknaden? Det är en viktig fråga.  En annan viktig fråga i den här interpellationen är den fråga som handlar om handels- och investeringsavtalet med USA - TTIP - där det finns ett förslag till en klausul inskrivet, nämligen ett investeringsskydd för företagen. Detta handlar om att man ska kunna dra stater inför speciella domstolar om förutsättningarna förändras.  Näringsministern hänvisar då till den tidigare debatten som fördes med vår kollega Amineh Kakabaveh, och jag har läst protokollet från den debatten. Där talar du, Mikael Damberg, om att det är viktigt att man garanterar att det inte sker någon expropriering av företagens tillgångar. Det känns som om det egentligen är det enda argumentet som du har för att man ska ha ett sådant investeringsskydd i ett frihandelsavtal.  Då tycker jag att det är viktigt att understryka att alla EU-länder och USA, tillsammans med vilka man ska skriva under detta avtal, ändå är ganska väl fungerande rättsstater där man inte exproprierar saker hur som helst. Därför tycker jag att det är minst sagt överflödigt att skriva in ett sådant investeringsskydd. Menar näringsministern verkligen att detta investeringsskydd behövs? Problemet med ett sådant investeringsskydd är nämligen att storföretag kan stämma stater. Men stater kan inte stämma företag. På vilka grunder kan då företagen stämma staterna? Jag skulle vilja att näringsministern klargör det för oss.  När vi har sett konsekvenserna hittills av sådana investeringsskydd i andra frihandelsavtal runt om i världen stämmer storföretag stater på alla möjliga tänkbara grunder. Det handlar om Philip Morris som stämde Australien och Uruguay för att de införde en lagstiftning om att man inte skulle få ha reklam på cigarettpaketen - plain packages. Det är en jättebra lagstiftning, tycker jag. Men självklart ville storföretaget Philip Morris sälja så mycket cigaretter som möjligt och drog därför dessa länder inför ett skiljedomsförfarande med hänvisning till ett investeringsskydd.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det finns även andra exempel där storföretag har gjort likadant. Det handlar alltså inte bara om ett skydd mot expropriering, utan man ger företagen möjligheter att stämma stater på nästan alla tänkbara grunder. Det tycker jag känns väldigt farligt.  Jag tycker att det är viktigt att vi i Sverige ska kunna ha kvar vår lagstiftning som är förhållandevis mycket ambitiösare på till exempel miljöområdet, arbetsrättsområdet, konsumentskyddsområdet och djurskyddsområdet. Vi ska kunna förbjuda vinster i välfärden, om vi vill det, utan att amerikanska storbolag ska kunna stämma oss. Ska det inte vara så, Mikael Damberg? ","V"
"Närings- och innovationsmin. Mikael Damberg","Herr talman! Jag tackar Jonas Sjöstedt och Jens Holm för en debatt om viktiga frågor.  Jag börjar med att konstatera saker och ting som vi är överens om. Vi är överens om att vi har fått en ny och progressiv regering. Det är kul. Vi är överens om att Vattenfall ska vara ledande i omställningen mot förnybar energi och att det finns mycket i övrigt att önska när det gäller hur den ledningen, inte minst under de åtta borgerliga regeringsåren, faktiskt användes.  Vi är också överens om att den förra regeringen på något sätt godkände - det är fortfarande mycket oklart - en rad avtal, inte minst det i holländska Nuon som har kostat skattebetalarna enormt mycket pengar och som i dag fortfarande skadar och är någonting som hänger över Vattenfall. Detta hindrar bolaget från att göra de investeringar i förnybar energi som vi tycker är viktiga och att klara omställningen i Sverige och också att kunna göra bra investeringar på annat håll.  Det finns alltså mycket som vi är överens om. När man däremot kommer in på frågan om vad Vattenfall ska göra är det viktigt för en regering att också ha klart för sig vilket mandat man har som regering och vilket mandat och ansvar som ett bolag har. Ett bolag har att verka efter de direktiv, den ägarpolicy och den aktiebolagslag som finns även om man till exempel har samhällsuppdrag, som jag tror att Jonas Sjöstedt kanske har velat se lite tydligare från Vattenfalls sida. Riksdagen har inte fattat något beslut om ett samhällsuppdrag till Vattenfall. Då agerar Vattenfall efter de direktiv och de regler som riksdagen har fattat beslut om för bolaget. Då måste bolaget också agera utifrån det. Vi ska styra mot hållbar utveckling. Vi har möjlighet att styra och påverka detta. Men det är också viktigt att se att en styrelse i ett statligt bolag måste följa de lagar, regler och ägardirektiv som finns, annars skulle styrelsen bryta mot sin uppgift som styrelse. När det gäller energistadgefördraget och den tyska stämningen som bolaget gått vidare med är det viktigt att komma ihåg att fördraget godkändes 1996 av en enig riksdag. Det godkändes också av en lång rad stater runt om i Europa. Det är alltså inte så att vi politiskt sett inte har något ansvar för de avtal som Sverige ingår eller de avtal som vi har tecknat tidigare. Det är viktigt att se att detta avtal inte har kommit av sig självt, utan det har tecknats efter beslut från en enig riksdag som har godkänt detta investeringsskydd och en investerar-stat-tvistlösningsmekanism.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är också viktigt att säga att det inte är så att dessa avtal gör det möjligt för något företag att överpröva ett demokratiskt beslut, att ompröva ett demokratiskt beslut, utan i vissa fall få ersättning om man anser att en stat har brutit mot de regler som finns i avtalet. Det är detta som dessa mekanismer handlar om.  Jag påminner om att svenska staten gav ersättning till ägaren för Barsebäck när Sverige drev igenom beslutet att stänga det. Vi ansåg nämligen att vi påverkade verksamheten så mycket att företaget hade rätt till ekonomisk kompensation enligt de grundlagar Sverige har. Också de tyska ägarna, som även var delägare i Vattenfall, fick ersättning från svenska staten när vi gjorde den omställningen. Jag tror att det är viktigt att se det som bakgrund till det som händer. Jag kommer inte att hinna med allting i detta anförande, men jag antar att vi kan komma tillbaka till frågan om TTIP och handelsavtalet med USA och Kanada. Vi hade en ganska lång debatt om detta förra gången vi hade interpellationsdebatter, och jag vill säga att vi inte har sett avtalet med TTIP än. Det håller på att förhandlas, och vi ser inte hur det ser ut. Nu beskriver alla de här avtalen som att de vore likadana.  Jag blir lika upprörd som Vänsterpartiet över att Philip Morris försöker stämma en stat för att man inför varningstexter eller annonsbegränsningar för tobaksreklam. Så ser många av de gamla avtalen ut, och frågan är om det går att förändra det. Jag tror att det går att förändra det. ","S"
"Jonas Sjöstedt","Herr talman! Jag tackar Mikael Damberg för svaret. Vi förväntar oss mycket mer av den här regeringen än av den förra vad gäller Vattenfall, och i det bör också ingå att man ger tydliga budskap om vad man förväntar sig av sitt bolag. Jag tror att den svenska allmänheten, och inte minst den tyska allmänheten, verkligen skulle uppskatta det. Det är riktigt att energifördraget finns. Det innebär dock ingen plikt att stämma varandra även om det finns ett fördrag, utan det väljer man om man gör eller inte. Fördraget slöts på 1990-talet, och bakgrunden till det var att öst- och centraleuropeiska länder kom in i energimarknaden. De hade svaga rättssystem på den här punkten, och då kanske det fanns en grund. Men vad är grunden för att Tyskland och Sverige ska hålla på och stämma varandra i den här typen av avtal? Där kommer man in på en större fråga, nämligen om rättsstater ska ge företag möjlighet att överpröva demokratiska beslut via domstolar man inte kan prova. Jag menar att det är principiellt fel, och jag tycker att det är särskilt anmärkningsvärt när personer som i någon mening står till vänster tycker att man ska ge företagen den här rätten över demokratin och rätten att göra på det här sättet. Jag kan förstå om en nyliberal tycker det och vill utsträcka företagens rättigheter på demokratins bekostnad, men hur kan en socialist eller någon som står till vänster tycka det? Det är för mig en gåta. Stämningarna ökar lavinartat. De sista 14 åren har de femdubblats. Företagen ser sin möjlighet att pressa stater på pengar för demokratiska beslut. Naturligtvis finns ingen motsatt rätt - det är inte så att företagen betalar pengar om man ger dem större vinster genom demokratiska beslut, utan det här är ensidigt företagens rätt att påverka stater när de tar beslut. Det kan handla om miljölagstiftning, fackliga rättigheter och även andra saker.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jens Holm tog upp några exempel. Tobaksföretagen stämmer både Uruguay och Australien. Landet Slovakien har förlorat och tvingats betala skadestånd till ett nederländskt försäkringsbolag för att man ville ha en bättre sjukförsäkring. Vad är det för något? Vad är det som ger ett land skyldighet att betala ett försäkringsbolag för att landet vill ha en sjukförsäkring som är bra för medborgarna? Ett amerikanskt oljebolag har stämt Quebec för att provinsen inte vill ha frackning, alltså en miljöfarlig metod för att utvinna olja.  Vi skulle med en sådan investeringsklausul i det amerikansk-europeiska frihandelsavtalet kunna ge de amerikanska ägarna till svenska företag i äldreomsorgen rätten att stämma oss när vi tar bort den vinstjakt vi gemensamt vill ta bort. Ägarna heter KKR och är ett av världens mest berömda riskkapitalbolag, kända för sin aggressivitet i olika affärer. Det övergår mitt förstånd att regeringen agerar som den gör och att den är för det här, vilket ju regeringen faktiskt är. Regeringen skriver brev till EU-kommissionen och kräver att man ska ge företagen den här typen av rättigheter. Dessbättre finns det ett kraftigt motstånd. LO i Sverige säger att man hoppas att regeringen ska vilja lyfta ut investeringsskyddet ur avtalet. Den amerikanska fackföreningsrörelsen säger att man inte vill ha de här paragraferna; man säger att två områden med rättsstater inte behöver den typen av överklagansmöjligheter. Den tyska regeringen, där både socialdemokrater och kristdemokrater sitter, vill lyfta ut det här ur avtalet.  Det här är kanske den mest kontroversiella fråga som finns i den europeiska unionen i dag. Folkrörelser, miljöorganisationer och fackföreningar mobiliserar för att vi inte ska lämna över mer politisk makt till företag på demokratins bekostnad, och då skickar den ansvariga svenska ministern ett brev till EU och ber unionen göra precis det. Jag måste säga att jag är besviken. ","V"
"Jens Holm","Herr talman! Jag blev glad då Stefan Löfven läste upp regeringsförklaringen, där han bland annat sade att handelsavtal ska respektera demokratiskt fattade beslut. Därför undrar jag om man kan skriva in ett investeringsskydd för storföretagen över huvud taget, alltså om det är i linje med demokratiskt fattade beslut. Om ett land bestämmer sig för att ha en hög nivå på miljöpolitiken och konsumentskyddet, eller för att förbjuda vinster i välfärden, ska man väl nämligen kunna vara säker på att landet har det. Man ska inte behöva vara rädd att landet blir stämt av storföretag. Jag vill inte att så viktiga saker ska avgöras i anonyma skiljedomstolar där vi inte har den minsta insyn. Jag är egentligen inte mest rädd för företagens stämningar i sig, utan jag är mest rädd för vad det sänder för signaler till oss beslutsfattare. Jag är rädd att vi kommer att självcensurera oss om vi har ett investeringsskydd för storföretagen. Vi kommer att få signaler från jurister och andra om att vi omedelbart kommer att få en stämning från ett amerikanskt storbolag ifall vi stiftar den där lagen för att skydda djuren, försöker förbjuda det där köttet och så vidare, så det ska vi inte göra.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag tar upp det här därför att man i USA rutinmässigt behandlar djur med antibiotika, hormonbehandlar kött och doppar kycklingkött i klor. Det vill vi inte ha. Sedan får man utfästelser från olika personer på EU-nivå om att vi inte behöver oroa oss för det, för det är inte en del av förhandlingarna. Nej, men det är ju problemet - att man ger carte blanche till företagen. Då kan de stämma de stater som har förbud mot hormonbehandlat kött, mot antibiotika i kött och mot klordoppad kyckling. Företagen kan säga: Vi ska ha total frihandel mellan våra länder, och ni förbjuder det; det är inte okej. Det är därför vi inte ska ha något investeringsskydd. ","V"
"Amineh Kakabaveh","Herr talman! Jag tackar statsrådet Mikael Damberg, och jag tackar Jonas Sjöstedt för den här debatten. Det är nämligen en jätteviktig debatt.  Vi vet att folkrörelsen i Sverige har satt igång med olika debatter och seminarier, precis som på andra sidan av Atlanten i Europa. Det är flera hundratusen människor som har skrivit under protester och skickat dem till EU-parlamentet och många olika partier. Jag tycker att det Tyskland och Österrike har gjort är väldigt klokt.  Jag och statsrådet Mikael Damberg har haft en debatt om vad Sveriges regering, till skillnad från den förra regeringen, kommer att göra och vilken syn man har på detta frihandelsavtal och särskilt det investeringsskydd mina vänner har varit inne på. Det är nämligen den kontroversiella delen av handelsavtalet och kommer att ge storföretagen ännu mer makt över människor.  I folkrörelsen, som består av fackföreningar, miljöorganisationer och konsumentföreningar, är man väldigt orolig. Oron är faktiskt befogad; vi har exemplet Tyskland, vad som har hänt i Australien och så vidare. Det här är ett perspektiv där storföretagens makt går före demokrati. Det är mycket sorgligt om en socialdemokratisk regering här hemma inte skulle kunna lyfta ur investeringsskyddet och också i en öppen och offentlig debatt prata om vårt ställningstagande.  Vi kommer att få en hel del debatter och seminarier nästa vecka, och jag vet att debatten är igång på olika håll och kanter i Europa. Vi kan inte säga att det räcker bara för att vi har debatterat en gång.  Demokratin behöver hela tiden breddas och värnas, och det är vi som måste vara föregångare. För det krävs en rödgrön regering. Vi i Vänsterpartiet är de som driver på. Vi vill ju vara till hjälp för den här regeringen genom att säga att det här är farligt. Vi har tillsammans försökt och försöker stoppa storföretag från att inskränka människors rättigheter härhemma. Vi har förhandlat tillsammans om att stoppa storföretag inom vård och omsorg, den offentliga sektorn. Det här hänger ihop med just dessa politiska värderingar, för det handlar om politiska värderingar, eller hur? Det handlar ytterst om vem som ska ha mer makt. Är det storföretagen eller är det folkrörelser som är upprörda över detta? Jag tror att många bland det svenska folket kanske inte riktigt förstått vad det här kommer att innebära. Därför måste vi helt enkelt hjälpas åt. Jag har också förväntningar på att Mikael Damberg och den socialdemokratiska och miljöpartistiska regeringen har en helt annan syn än den förra regeringen på detta.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag undrar vad statsrådet kommer att säga om detta. ","V"
"Närings- och innovationsmin. Mikael Damberg","Herr talman! Jag ska först säga någonting om vad det här handlar om också. När man lyssnar till Vänsterpartiets representanter tar de upp en lång rad problem. Men eftersom vi i riksdagen har ställt oss bakom ambitionen med handelsavtalen undrar jag om det är bra för Sverige och för världen att det kommer till stånd breda handelsavtal. Det finns en diskussion här som jag tycker är lite märklig när det gäller stora och små företag. Stora företag har inga problem att navigera i världshandeln utan handelsavtal. Det är de små och medelstora företagen som har mest att vinna på att vi får till stånd handelsavtal som gör att reglerna blir begripliga och fungerande och gör att fler företag kan delta i internationell handel. Vi har också stort intresse av att inte minst den fattigare delen av världen får till stånd fler internationella handelsavtal. Där är Sverige drivande för en fri och rättvis världshandel. Just nu prövas lite grann världens idé om frihandel. Vi har hela WTO-systemet som skakar, eller hur? Vi har också de stora handelsavtalen som nu diskuteras. Jag hoppas verkligen att det svenska parlamentet kan vara överens om att de här handelsavtalen är viktiga, inte bara för Europa och USA utan för vårt land och våra företags möjligheter att finnas på en världsmarknad och klara till exempel frågor som vi är engagerade i, till exempel arbetslösheten i Sverige. Givet att man har den diskussionen kommer man till nästa diskussion: Hur ser investeringsskydden ut i dag? Det låter lite grann på Vänsterpartiet som att det inte finns några sådana avtal i dag. Det finns mängder av sådana avtal i dag. De är utformade ungefär så dåligt som exemplet Philip Morris visar. De var så breda och allmänna, inte distinkta med vad som skulle regleras så att det var möjligt för en del att gå till domstol. När jag första gången hörde talas om en del av de här historierna blev jag verkligen konfunderad. Ta bara stämningen i Slovakien när det gällde sjukförsäkringssystemet. Det låter helt absurt. Men efter stämningen visade det sig att Slovakiens egen författningsdomstol 2011 sade att det var olaglig lagstiftning, att den bröt mot Europakonventionen om mänskliga rättigheter, så lagstiftningen var nog inte så bra utformad. Oavsett hur man tycker i sakfrågan - privat eller offentligt - där vi står upp för en bra sjukförsäkring, kan man nog säga att lagstiftningen inte var så bra om den till och med bröt mot författningen och mot Europakonventionen. När det gäller fallet Philip Morris visade det bara på behovet av en modern investeringspolitik globalt sett som gör tydligt vad man får göra och inte får göra i relationer mellan stater och mellan företag och stater. Det är också en sådan diskussion som regeringen har öppnat för. Det brev som lite mystiskt sagts vara hemligt publicerades på regeringens hemsida - så hemligt var det då kanske inte. I brevet drev vi på för att ta nya tag i TTIP-förhandlingarna, för de är viktiga. Vi har ett window of opportunity ungefär ett år framåt med en amerikansk president som heter Barack Obama, som jag tror är vår bästa vän för att få till stånd ett bra handelsavtal med höga standarder, inte sänkta standarder, mellan USA och Europa.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är dags att flytta fram positionerna i förhandlingarna framöver om vi menar allvar med att ta fram ett frihandelsavtal. Regeringen välkomnar att kommissionen lyfter upp samrådsförfarandet och diskuterar i olika grupper hur sådana här frågor kan hanteras på ett bättre sätt. Det kommer att redovisas inför årsskiftet. Regeringen kommer att aktivt ta del av samrådsutslaget och vara aktiv i debatten om att forma en modern investeringspolitik med mycket öppenhet och transparens men också tydliga regler för vad som får göras och inte göras. ","S"
"Jonas Sjöstedt","Herr talman! Mikael Damberg! Det är Europeiska unionen som ingår handelsavtal nuförtiden. Vi har en gemensam handelspolitik. Jag satt i elva år i EU:s parlament och röstade för ett stort antal frihandelsavtal.  Jag är i grunden positiv till att man lyfter bort tullar och onödiga restriktioner för handel. Det är en viktig del av det vi behöver för att skapa välstånd i Sverige, och ofta är det tredje världens länder som lider mest av handelsrestriktioner. Men jag är inte beredd att ge rätten till storföretag att överpröva demokratiska beslut, och det är det diskussionen handlar om. Det är en global diskussion. Den finns i det australiensiska Labourpartiet efter deras erfarenheter. Den finns i den amerikanska fackföreningsrörelsen. Den här diskussionen finns i hela Europa. Rättsstater behöver inte en överdomare. Det visade det slovakiska exemplet. De skulle ha gått till den slovakiska domstolen. De klarade det på egen hand. Det gör rättsstater gentemot varandra. Det är en principfråga om vi ska ge företag rätten att överpröva demokratiska beslut. Vad innebär då brevet som Mikael Damberg har undertecknat. Där står det: The council mandate is clear in its inclusion of investor protection mechanisms in the TTIP negotiations. Det är ett krav på den här typen av mekanismer. Jag är besviken på den svenska regeringen. Jag tycker att man har lite grann sagt en sak hemma och en annan sak när man skriver brev till EU-kommissionen i Bryssel. Är det inte så, Mikael Damberg, att brevet innebär att Sverige tar ställning för ett investeringsskydd av den här typen? Det tyska exemplet visar hur orimligt det är. Vattenfall köpte kärnkraftverk, fast man visste att Tyskland skulle avveckla kärnkraften. Det fungerade inte när man fattade beslutet att sätta ett årtal för avvecklingen, och ändå kräver Vattenfall ett skadestånd. Vi skämmer ut oss i Tyskland genom Vattenfalls agerande. Jag menar att regeringen har ansvar för att ställa det här till rätta. Jag har två frågor. Den första är: Innebär inte brevet att regeringen har tagit ställning? Den andra är: Vad är egentligen skillnaden, som Amineh Kakabaveh frågade, mellan den här regeringens syn på TTIP-avtalet och den förra regeringens? Jag ser tyvärr ingen skillnad alls. ","V"
"Amineh Kakabaveh","Herr talman! Vänsterpartiet ska inte målas ut som ett parti som är emot avtal och emot tillväxt. Vi tycker att frihandelsavtal är viktigt från olika aspekter för Sverige, för sysselsättningen, för välståndet, för välfärden och för solidariteten. Det är bra, men för oss är demokratin överordnad, både härhemma och i fjärran, i sådana här handelsavtal och i internationella sammanhang. Därför vill jag betona att vi tycker att det är jätteviktigt att vi är en del av världen och är med och bidrar. Vi ska samtidigt vara förebilder. Vi ska arbeta för mänskliga rättigheter, demokrati, folkrörelser och särskilt värna om arbetsrätten. Den fackliga rörelsen går före allt annat. Det är viktigt att betona här.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag hoppas att vi i nästa debatt inte igen kommer att få stämpeln att vi är emot avtal och tillväxt. Det är viktigt för oss. Men det vi vill lyfta ut ur investeringsavtalet är det så kallade investeringsskyddet. Många folkrörelser på andra sidan Atlanten, i Europa, i Sverige och i många andra delar av världen varnar oss. De säger att det här har påverkat demokratin i andra länder. Vi vill inte att det ska vara så hos oss, och Vänsterpartiet har särskilt stora förväntningar på den här regeringen.  ","V"
