"Anna Johansson","Fru talman! Emma Wallrup har frågat mig vilka återreglerande åtgärder inom järnvägssystemet som jag avser att ta initiativ till för ett sammanhållet och fungerande järnvägssystem. Låt mig inleda med att säga att jag instämmer i vikten av ett väl fungerande järnvägssystem och att järnvägen behöver utvecklas för att vi ska klara klimatomställningen. Detta är, precis som interpellanten påpekat, beroende av en god samverkan mellan dess olika funktioner och aktörer. Jag delar också interpellantens syn på att rollfördelningen i dag i vissa fall är oklar, vilket leder till att järnvägssystemet inte alltid fungerar som det ska. Låt mig vara tydlig med att en väl fungerande järnväg i närtid är en viktig förutsättning för att samarbetsregeringens mål om att Sverige ska uppnå EU:s lägsta arbetslöshet år 2020 ska kunna nås. En väl fungerande järnväg bidrar också till en ökad andel kvalificerad industriproduktion samt minskad klimat- och miljöpåverkan.  Staten har det övergripande ansvaret för att säkerställa järnvägssystemets funktion. Efter initiativ från riksdagen tillsatte den förra regeringen en utredning om järnvägens organisation. Av direktiven framgår att utredningen bland annat ska lämna förslag till hur samordningen inom järnvägssektorn kan förbättras. Utredningen lämnade ett delbetänkande i form av en nulägesbeskrivning i november 2013. Av delbetänkandet framgår att utredaren anser att det behöver vidtas åtgärder för att utveckla formerna för en utvecklad samordning. Av delbetänkandet framgår också att formerna för samverkan inom järnvägssystemet är relativt detaljerat reglerade i EU-rätten och att utrymmet för en återreglering därför är begränsat. Utredningens slutbetänkande, med förslag till hur bland annat en bättre samverkan inom och mellan olika systemfunktioner kan åstadkommas, ska lämnas senast den 30 juni 2015.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Regeringen anser att utredningens delbetänkande förstärker bilden av att det finns möjligheter att förbättra järnvägens funktionssätt och skapa förutsättningar för att transportkunderna ska kunna erbjudas bättre och effektivare transporttjänster med tåg. Resenärer ska kunna lita på att tågen går i tid. Regeringen vill därför förbättra och bygga ut det nationella järnvägsnätet och börja bygga nya banor för höghastighetståg. Såsom aviserats i budgetpropositionen avser regeringen att vidta åtgärder för att säkerställa ett bättre fungerande vidmakthållande av det statliga järnvägsnätets kvalitet. En omedelbar åtgärd som vidtas är att regeringen ökar anslagen till drift och underhåll av järnvägen med 1,24 miljarder kronor per år, totalt ca 5 miljarder kronor extra på fyra år. Regeringen överväger också att i tilläggsdirektiv till den pågående utredningen sätta ytterligare fokus på hur staten ska ta det samlade ansvaret för kontroll och utförande vid underhållet av de svenska järnvägarna. Beträffande frågan om ytterligare åtgärder för att förbättra funktionen i det svenska järnvägssystemet avser regeringen att invänta slutbetänkandet från den pågående utredningen om järnvägens organisation och att efter sedvanlig remittering återkomma med förslag på eventuella ytterligare åtgärder. ","S"
"Emma Wallrup","Fru talman! Jag vill börja med att säga att vi från Vänsterpartiet är mycket positiva till att regeringen nu vill att staten ska utföra den samlade kontrollen och underhållet av de svenska järnvägarna och att man kommer att lägga mer resurser på underhåll som närmar sig den nivå som Trafikverket efterfrågar. Det är väldigt positivt. Men problemet är så mycket större än så. Tågsystemet är ett sammanhållet system, och samverkan mellan olika aktörer är viktig. Det är bra att infrastrukturministern delar min syn att det är nödvändigt att reda ut problemen som vi nu ser. Men jag oroar mig för att man inte kommer att ta till tillräckligt effektiva verktyg för att rätta till de stora problem som vi ser i nuläget. En ökad återreglering skulle öka samordningen inom järnvägssystemet. Infrastrukturministern hänvisar till delbetänkandet som har lagts fram i samband med utredningen om översynen av järnvägens organisation. Där pekar infrastrukturministern på att utrymmet för en återreglering är begränsat i EU-rätten. Det är tyvärr en trend i Sverige att inskränka sina möjligheter genom att övertolka EU-rätten. Det händer alltför ofta. Den svenska järnvägsmodellen är extremt avreglerad och fungerar inte i dag. Vi har gått längre i Sverige än många länder i EU. Tyskland har en fungerande samordning som också följer EU-lagstiftningen och är prövad i EU-domstolen, och Frankrike har beslutat om samma form av samordning, så det finns inte några lagmässiga hinder att göra till exempel som Tyskland och Frankrike. Det är viktigt att ta i beaktande i fortsatt utredning.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Hela tågsektorn går i dag på knäna. Det är inte en välmående sektor. Precis som i så mycket annan verksamhet i samhället har man skurit ned på marginalerna för mycket, ofta för att kunna ta ut vinst i slutänden. Det förstärks också av konkurrensen mellan bolag när operatörer slår ut varandra. Prisbilden har också påverkats, till exempel på A-Train, som går på Arlandabanan, där resorna har blivit mycket kostsamma för att ge ägaren vinst i slutänden. Jag upplevde själv i somras kaos vid förseningar. Tågoperatörerna bytte perrong varannan minut, och ett hundratal människor förflyttade sig fram och tillbaka mellan de olika perrongerna, vilket ledde till folkstockning och en mycket stressande situation för både barn och gamla. Vi blev till slut informerade om att Göteborgståget skulle gå från SL-perrongen, vilket verkade väldigt ologiskt. Men när jag frågade biljettförsäljarna vid SL-perrongen hade de ingen information och kunde inte svara på frågor om varför vi skulle vara där. Det här var på grund av dålig samordning mellan bolagen. Tillståndet av kaos kom av avregleringarna och ger en bild av problemen som uppkommer då för många aktörer med enskilda kortsiktiga vinstintressen ska sköta ett gemensamt system som kräver ett större ansvar. Jag undrar därför om infrastrukturministern på allvar tänker se över frågan om en återreglering av tågtrafiken för att motverka de här effekterna. ","V"
"Karin Svensson Smith","Fru talman! Jag tackar för svaret som minister Johansson har lämnat på interpellationen. Att få ordning på tågtrafiken är en oerhört väsentlig åtgärd, inte bara för att nå klimatmålen utan också för att arbete och utbildning ska fungera i hela landet, för att företagen ska kunna exportera det som de tillverkar och för att råvaror ska komma till fabrikerna. Det som vi har sett från Resenärsforum, där jag fortfarande är ordförande, är att det är en brist på ansvar. De åtta år som vi har haft en alliansregering har man på något sätt trott att marknaden löser alla problem. Det är klart att man ska ha marknadskrafter för att lösa vissa saker, men någon måste ta ett samlat ansvar. Och det största problemet med järnvägen i dag är att ingen tar ett samlat ansvar. Därför är samarbetsregeringen överens om att man måste ta ansvar för att underhållet fungerar, så att det inte blir de ideliga avbrotten som i dag är så pinsamma för den svenska järnvägen och så hämmande för människor som vill ta sitt klimatansvar genom att använda järnvägen i stället för bil eller flyg. Det handlar också om att se det här som en helhet. Vägtrafiken skiljer sig från järnvägstrafiken, och alla bitar måste hänga ihop om det ska fungera. Vi har oerhört många vittnesmål från resenärer som säger att man blir lämnade därhän. Om trafik handlas upp och ett bolag är ansvarigt för en viss sträcka tar bolaget ansvar bara för det man enligt kontraktet ska göra, men det krävs ett helhetsgrepp.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Den utredning som jag själv ingår i, Gunnar Alexanderssons utredning som ska lämna sitt betänkande nästa år, kommer, som jag förstår av interpellationssvaret, att bli ett underlag för vidare överväganden. Det som är en samlad ambition är att om jobb, miljö och klimatomställning ska fungera måste vi ha ett tågtrafiksystem som är ett pålitligt alternativ till lastbilar på vägen, personbilar på vägen och flyg. Det satsas mer pengar i budgeten, och det är jag väldigt nöjd med. Men det krävs också ordning och kompetens för att Trafikverket ska klara av det här. Vi hör nyheter varje vecka som visar att så inte är fallet i dag. Jag har tidigare suttit i riksdagen och varit med och beslutat om att sammanföra det tidigare Vägverket och Banverket till det sammanhållna Trafikverket. Intentionerna var att vi skulle få en rationell planering, så att man använde skattebetalarnas pengar för de mest rationella investeringarna för att lösa olika problem. Men när vi diskuterade och debatterade det i kammaren före beslutet var inte avsikten att man skulle blanda ihop väg och järnväg när det gällde underhåll, trafikledning och väldigt många av de saker som sker på Trafikverket i dag. För att få ordning på det här krävs en samlad järnvägskompetens inom Trafikverket, och det kommer vi från Miljöpartiet att verka för. ","MP"
"Pia Nilsson","Fru talman! Aldrig har förtroendet för svensk järnväg och svensk tågtrafik varit sämre än vad det är i dag. Det är helt oacceptabelt. Den samarbetsregering som jag företräder vill naturligtvis försöka ändra på den här ordningen. Vi behöver en kraftfull svensk tågtrafik och ett kraftfullt järnvägssystem mer än någonsin i dag. Vi vill att fler ska resa med tåg för jobbens skull och för klimatets skull. Vi vill att mer gods ska transporteras på spåren för jobbens skull och för klimatets skull. I dag råder det mer eller mindre tågkaos. Emma Wallrup har en poäng när hon säger att saker och ting naturligtvis kan bli bättre och att samverkan kan bli bättre. Jag är dock inte så säker på att den optimala lösningen är att återreglera. Låt mig understryka det statsrådet Anna Johansson, Karin Svensson Smith med flera tog upp. Underhållet är oerhört väsentligt. Vi satsar 1,2 miljarder mer per år för att detta ska fungera bättre. Livslängden för kontaktledningar, spårväxlar och ställverk har överskridits på många sträckor. Det håller inte, fru talman. Här måste vi reinvestera och se till att befintliga banor fungerar bättre än i dag. Samtidigt måste vi satsa på mer kapacitet och investera i fler banor så att fler människor kan ta tåget och mer gods kan transporteras på våra banor. Detta låter sig inte göras i en handvändning; det vet vi. Saker och ting tar tid. Men vi måste på allvar och kraftfullt våga investera och säga att vi står för detta över tid. Jag bor i Sala och har relativt tur med Dalabanan när jag ska ta mig till Stockholm. Men alla de som bor i Västerås och ska ta sig till Stockholm, många pendlar, har enorma svårigheter. Det gäller inte bara på vintern när det är snökaos utan även på sommaren med solkurvor och på hösten med höstlöv. Det är oacceptabelt. Många tåg och avgångar ställs in, och det beror på att det är så trångt på Mälarbanan. Vi behöver bygga ut, och det pågår arbete. Citybanan ska vara klar 2017. Vi vill ha fyra spår från Tomteboda ända till Kallhäll, inte bara Tomteboda-Barkarby utan hela sträckan, för att fler ska kunna ta tåget och för att punktligheten ska öka.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Detta är väsentligt, för den kritik som svenska folket och inte minst svenskt näringsliv riktar mot tågtrafiken och svenskt järnvägssystem är bristen på punktlighet. Man vågar inte lita på tågen. Det vill jag inte ställa upp på, utan vi måste med förenade krafter se till att det blir mycket bättre. Vår samarbetsregering har anslagit en bra summa pengar. Vi kan givetvis göra mycket mer, men det är en bra början. ","S"
"Lars Hjälmered","Fru talman! Emma Wallrup från Vänsterpartiet lyfter i sin interpellation upp ett relevant samhällsproblem vad gäller behovet av att öka tågtrafiken och förbättra godsmöjligheterna. Jag tycker dock att hon landar i fel slutsats om återreglering och förstatligande som lösningen för den svenska järnvägen. Fru talman! Jag tänker inte försköna verkligheten och säga att vi har ett perfekt järnvägssystem i Sverige, för det har vi inte. Vi har decennier av underinvestering. Olika regeringar har under decennier investerat för lite pengar, vilket gett många av de problem vi har i dag med kablar, växlar och så vidare i kombination med att trafiken har ökat ganska ordentligt de senaste åren. Det kommer att ta tid att komma i kapp. Det är därför glädjande att Alliansen satte på plats en dubblerad satsning på drift och underhåll av den svenska järnvägen relativt till vad det var före Alliansen. Det är i nivå med vad Trafikverket har sagt att man behöver för att stegvis komma i kapp med underhållet. Låt mig återvända till återregleringen. Den tes som Emma Wallrup och Vänsterpartiet för fram är att konkurrensutsättningen av drift och underhåll skulle göra det dyrare och ge lägre kvalitet. Det kan man läsa i Emma Wallrups interpellation. Det finns dock inget stöd för detta i forskningen eller i den utvärdering som har gjorts av avregleringen av drift och underhåll. I Trafikverksutredningen, som gjordes inför skapandet av Trafikverket, konstaterade man att konkurrensutsättningen ledde till 20-25 procent lägre priser på drift och underhåll. Enligt en färsk studie från Centrum för transportstudier har det blivit 12 procent billigare. Vi kan dividera om siffror, men genomgående faller Vänsterpartiets tes i interpellationen om att det skulle vara dyrare med konkurrensutsättning. Det andra som förs fram är att det skulle påverka kvaliteten. Centrum för transportstudier har tittat inte bara på kostnader utan även på kvalitetsfaktorer såsom urspårningar och C-fel, det vill säga sådana fel som är allvarliga och måste åtgärdas omgående. De finner i sin forskning inget stöd för att kvaliteten skulle ha sjunkit utan tvärtom har de allvarliga incidenterna minskat ganska markant mellan 1999 och 2011. Då faller Vänsterpartiets tes om att det skulle vara dyrare och sämre och att lösningen skulle vara en återreglering av drift och underhåll, av dem som bygger järnvägen och av dem som kör tågen. Det som blir kvar är en dogmatism, en ideologi om att det ska vara staten som bygger och underhåller järnvägen och kör tågen. Är det Vänsterpartiets vision och idé framåt, Emma Wallrup? Fru talman! I budgeten och i infrastrukturministerns svar i dag kommer drift och underhåll upp. I budgeten finns en formulering i stil med att staten ska ha kontroll över utförandet. Det är rimligt att titta på hur vi använder skattebetalarnas pengar på ett klokt sätt, till exempel vilka entreprenadformer vi har och hur vi utformar detta så att det leder till innovativitet och att priserna inte drar iväg.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Ska formuleringen i budgeten och i ministerns svar om att ha kontroll över utförandet tolkas som att Socialdemokraterna och Miljöpartiet i regeringsställning håller fast vid uppfattningen man hade tillsammans med Vänsterpartiet under förra mandatperioden då man var inne på Emma Wallrups linje om återreglering? Är det ministerns uppfattning att det ska ske i statlig regi? Eller kommer drift och underhåll även fortsättningsvis skötas av en serie olika offentliga och privata aktörer, vilket i enlighet med forskning och beprövad erfarenhet ger mest pang för pengarna? ","M"
"Boriana Åberg","Fru talman! När man lyssnar på interpellanten kan man få uppfattningen att avregleringen är roten till allt ont och att järnvägstrafiken fungerade mycket bättre förr, före avregleringen. Det var inga förseningar, tågen var rena och nya och underhållet fungerade perfekt. Så var det inte riktigt. Låt oss blicka tillbaka. Året var 1988, och Statens Järnvägar hade gjort stora förluster i många år. Den då nytillträdde generaldirektören Stig Larsson införde en lista på 100 punkter som skulle leda till välbehövliga förbättringar. Bland annat önskade han att tågen skulle avgå och komma i tid, att informationen till resenärerna skulle bli bättre och att servicenivån hos personalen skulle höjas. Dessa punkter visar att det inte var bättre förr när allt sköttes av staten. Fru talman! På alla andra områden är sund konkurrens och fler aktörer en förutsättning för utveckling och förbättring. Varför skulle en monopolställning vara bättre när det gäller just järnvägstrafiken? Skulle det verkligen underlätta för resenärerna om en enda aktör skötte biljettförsäljning, städning, drift och underhåll av tåg samt underhåll av järnväg och järnvägsstationer? Nej, så är det inte. Vad händer när en aktör har monopol? Jo, incitamentet att förbättra och utveckla minskar medan priserna blir högre och högre. Ett SJ uppbyggt på monopol med vagnar som står orörda och sjunkande kvalitet med förseningar samtidigt som man går med förlust varje år är knappast någonting att slå vakt om - särskilt inte med tanke på att det är resenärerna och skattebetalarna som får stå för kalaset. Avregleringen har inneburit att en friare marknad har skapats och öppnats upp, vilket gör att resenärernas inflytande på sikt kan stärkas med bättre utbud, bättre avgångar och lägre priser. Att kräva återreglering är att vrida klockan tillbaka. ","M"
"Anna Johansson","Fru talman! I den här diskussionen har det framförts att Sverige bland annat i EU-frågor ibland intagit en ganska extrem hållning, och det håller jag med om. Jag vill dock påpeka att det i huvudsak varit borgerliga regeringar, både tidigare och under den senaste perioden, som valt att förstärka marknadsorienteringen på flera olika områden, varav järnvägen naturligtvis är ett.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Jag skulle vilja påstå att järnvägens problem är mer mångfasetterade än så. Vi har haft en kraftigt ökad trafik på befintliga banor, vilket har ökat trängseln och därmed också sårbarheten. Vi har ett eftersatt underhåll, då den avgående regeringen och även tidigare regeringar inte avsatt tillräckliga medel för att hålla infrastrukturen i gott skick. Problemen har också att göra med oklara ansvarsförhållanden. Det är oklart vem som egentligen har ansvaret för att tågen ska gå i tid, vem som har ansvaret för att underhållet fungerar och så vidare. Regeringens ambition är, precis som man refererar till här, att stärka den statliga kontrollen över underhållet och också delvis över utförandet av detsamma, av det enkla skälet att vi ser att det finns områden där det inte fungerar fullt ut i dag. Till de här problemen kommer frågor som handlar om tilldelning, banavgifter och mycket annat som rör hur vi ska få en optimal järnvägstrafik under de kommande åren. Man kan konstatera att järnvägen är ett komplext system, precis som alla andra trafikslag och i synnerhet i kombination med andra trafikslag. Jag tror att det är angeläget att vi tar oss tid att utreda konsekvenserna av olika handlingsalternativ innan vi bestämmer oss för att det ena eller andra ganska enkla greppet med automatik löser problemen. Oavsett om järnvägstrafiken är reglerad eller avreglerad krävs det ökade insatser för att förbättra infrastrukturen. Det spelar ingen roll vem som kör tågen om inte spåren är hela och växlarna fungerar. Det finns också ibland, skulle jag säga, i olika politiska grupperingar en övertro på avreglering respektive påreglering som allena saliggörande för att lösa stora och komplexa problem. Regeringen vill avvakta den pågående utredningen och de resultat som den kommer att komma fram till. Därefter tar vi ställning till vilka åtgärder som behöver vidtas. Men det är inte så enkelt som att alla problem försvinner bara man påreglerar igen eller marknadsutsätter lite till. Hade det varit så enkelt hade det varit mycket enklare. ","S"
"Emma Wallrup","Fru talman! Jag vill lyfta in ytterligare saker i debatten. Avregleringen bidrar också till att de bolag som verksamheten är uppsplittrad på har dålig koll på sina underentreprenörer, vilket exempelvis har lett till att anställda inte har fullgod utbildning för det de ska utföra. Detta har orsakat dödsfall för maskinförare i samband med banunderhållet. Det är helt oacceptabelt. Så kan vi inte ha det. Det tyder på att saker och ting har gått för långt för länge sedan. Det är ingen som ska riskera att dö på jobbet. Det är också så att vi måste se över systemet för att kraftfullt förbättra och satsa på de hållbara transporterna, som har sagts här tidigare i debatten. Jag vill peka på att IPCC nu i dagarna kom ut med sin femte syntesrapport, där de med ännu större säkerhet än tidigare pekar på att vi påverkar klimatet med våra klimatutsläpp och att vi måste minska utsläppen med 40-70 procent globalt till 2050 för att undvika en tvågraders medeltemperaturhöjning på jorden.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sverige har unika förutsättningar för att ställa om. Vi är ett rikt land. Det är väldigt viktigt att vi använder teknik och styrmedel för att lyckas med det här. Transportsektorn är den allra viktigaste sektorn, och transporterna på järnväg är oerhört viktiga, som alla här inne vet. Det är därför jag verkligen vill att man skyndsamt ska organisera järnvägen på ett bättre sätt för att få över gods från lastbil till järnväg. Det är oerhört viktigt. Det är viktigt att vi också får över persontransporter till järnväg från biltrafiken. Jag vill också gå in lite på den ideologiska debatten. Man pratar om att jag går långt åt ena hållet och andra långt åt det andra med marknadsavregleringar. Jag tycker inte heller att pendeln ska gå för fort åt båda hållen. Jag tror inte att det är bra att gå för långt åt extremerna. Men nu har vi gått mot en sorts råkapitalism, där vi låter människor dö på jobbet, där vi låter människor stå på perrongen i totalt kaos och så vidare. Man har så länge trott på avregleringarna och på att det egoistiska vinstintresset ska kunna styra verksamheten på ett klokt och ansvarsfullt sätt i hanteringen av en helhet - som man måste ha ett helhetsansvar för. Därför anser jag att regeringen borde titta på möjligheterna för en viss återreglering. Jag menar inte heller att vi ska återreglera exakt allt och gå tillbaka till det som rådde tidigare, utan jag tror också på decentralisering. Vi ska ta vara på kunskaper ute i verksamheterna, lyssna och jobba med olika enheter, men vi ska titta på en återreglering som kommer bort från de alldeles för stora problem som vi ser. Till Lars Hjälmered vill jag säga att hans tolkning av de rapporter han talar om absolut inte stämmer överens med den erfarenhet som befolkning och företag har. Järnvägen fungerar inte i dag. Det har rapporterats i veckan i <em>Ekot</em> om att pengar som gått till järnvägen inte kommit fram på grund av det råder så stora brister i organisationen. I stället för att låta pengarna gå till ökat underhåll har underhållsföretagen sparkat och varslat 150 personer. Det här har också bidragit till att arbetsmiljön försämrats. Nu i veckan kom det rapporter om att underhållsarbetare fått jobba ute för att laga kontaktledningar 24 timmar i sträck. Det här är helt orimligt. Jag undrar om infrastrukturministern vill titta på arbetsmiljön i detta sammanhang. ","V"
"Karin Svensson Smith","Fru talman! För att fylla på nyhetsrapporteringen kan jag säga att vi i dag fick veta att lokförare har slutat rapportera fel eftersom de ser att det ändå inte görs någonting åt dem. Detta är oerhört allvarligt. Vi har faktiskt ansvar för den statliga infrastrukturen. Så här får det inte fungera. Storbritannien är kanske inte något lysande exempel på välfungerande avreglering. Biljettpriserna är högre där än på andra ställen. Man har också fler dokumenterade olyckor. Men samtidigt delar jag ministerns syn att det inte är så enkelt som att det bara handlar om avreglering eller återreglering, för det handlar om att man måste ha kompetens. Vi som fattade beslutet om att slå ihop Vägverket och Banverket till Trafikverket måste se till att kunnandet om järnvägen återupprättas och att det tas ett samlat ansvar, så att det finns kompetens och så att man vet vad man gör när man beställer och planerar ett arbete.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det krävs också ett långsiktigt ansvar. När stambanorna byggdes ut i Sverige var det ett mycket viktigt moment i att omvandla Sverige från ett fattigt jordbruksland till ett modernt industriland. Då tog man ett långsiktigt ansvar. Vi behöver göra det igen för att kunna klara oss utan olja i transportsystemet och hantera klimatfrågan. Då måste vi kunna beställa nya tåg. Vi måste ha fräscha vagnar. Vi måste ha en samhällsplanering som utgår från att man tänker långsiktigt. Tyvärr är det precis motsatsen till det som händer när man har en avreglerad marknad och korta tidsperioder. Då finns inte incitament till nytillverkning och långsiktig planering. Vi behöver under ordnade former se till att återupprätta förtroendet för järnvägen. Det är den samlade ambitionen från Miljöpartiet och Socialdemokraterna. ","MP"
"Pia Nilsson","Fru talman! Det var ett väldigt bra initiativ som förra riksdagen gav regeringen att ta fram en utredare som kunde jobba med frågan för att till exempel förbättra samordningen. Det finns uppenbara brister som inte minst Emma Wallrup här har fört fram. Karin Svensson Smith och Anna Johansson har också vidimerat det, kan man väl ändå säga. Det finns mycket att göra. När man ställer kunskapsfrågan till resenärer om de vet vem som äger vad tror i varje fall väldigt många att det är SJ som äger banorna och tågen, och sedan skyller de på SJ vid förseningar och när avgångar ställs in. Någonstans ska vi förhålla oss till det. Det är klokt. För en resenär spelar det ingen roll om det är Trafikverket som äger banorna och SJ eller andra tågaktörer som kör tågen. Det ska fungera. Det fungerar inte i dag, fru talman. Det har vi hört flera nämna här tidigare. Vi måste verkligen ta det på största allvar. Det är klokt att invänta utredningens slutbetänkande och se vad vi kan göra för att Emma Wallrups larm och varningar tas på allvar. Det är jätteviktigt. Det finns mycket att göra. I väntan på det måste vi se till att de banor och spår vi har kan användas mer optimalt. Fru talman! Det går att göra med ett bättre och effektivare underhåll. Men då måste det finnas någon som håller i helheten och tar ansvar. Där är vi inte ännu, men dit ska vi komma. ","S"
