"Mehmet Kaplan","Fru talman! Ewa Thalén Finné har frågat mig dels vilka konkreta åtgärder jag har vidtagit för att öka nyproduktionen av bostäder främst i våra stora städer där bostadsbristen är som allra störst, dels vilka konkreta åtgärder jag och regeringen avser att vidta framöver för att öka bostadsbyggandet i Sverige. Bostadsbristen är ett stort samhällsproblem som berör oss alla. Bostadsbristen skapar också problem på arbetsmarknaden, när företag inte kan rekrytera och människor inte kan flytta dit jobben finns. Extra utsatta är unga, studenter, nyanlända och andra som inte lyckas etablera sig på bostadsmarknaden. För att lösa denna utmaning krävs en aktiv bostadspolitik med fokus på ett ökat bostadsbyggande. Därför har regeringen pekat ut bostadspolitiken som en nationell angelägenhet. Bostadsbristen ska mötas med ökat bostadsbyggande, inte minst av hyresrätter. Målet är minst 250 000 nya bostäder till år 2020. En viktig förutsättning för bostadsbyggandet är infrastruktur - människornas möjligheter att snabbt och enkelt resa mellan bostad och arbetsplats. En annan är att när man bygger nytt också beakta behovet av att redan från början bygga hållbara bostäder och ett hållbart samhälle. Bostadsbyggandet är en del av stadsutvecklingen. För att öka bostadsbyggandet avser regeringen att vidta konkreta åtgärder för att skapa incitament både för byggandet av små energieffektiva hyresrätter och studentlägenheter och för de kommuner som står för ett ökat bostadsbyggande. Därutöver behöver planprocessen kortas ytterligare genom tydligare förutsättningar och färre hinder, bland annat genom snabbare överprövning. Bra kollektivtrafik öppnar för nya, attraktiva lägen för bostadsbyggande. Regeringen har påbörjat arbetet med att utveckla ett ramverk för så kallade stadsmiljöavtal. Stadsmiljöavtalen är en konkret åtgärd som kommer att öka nyproduktionen av bostäder. Täta städer med goda möjligheter till cykel, gång- och kollektivtrafik samt god samhällsservice behövs dessutom för att fler ska kunna leva hållbart och för att bidra till att nå de nationella miljökvalitetsmålen. Det finns varken enkla eller snabba lösningar på bostadsmarknadens problem. För att möta behoven och öka bostadsbyggandet krävs det att alla parter samarbetar. Därför har jag också en kontinuerlig dialog med berörda parter för att diskutera lämpliga initiativ. Det pågår ett intensivt arbete inom Regeringskansliet för att lösa bostadsutmaningen. ","MP"
"Ewa Thalén Finné","Fru talman! Jag vill börja med att tacka bostadsministern för svaret. Men jag kan konstatera att förslagen för ökat bostadsbyggande i stort lyser med sin frånvaro. Jag har nu vid flera tillfällen hört bostadsministern tala om en aktiv bostadspolitik, men jag har ännu inte hört vad det aktiva är för något. Att säga att man är aktiv är ju inte samma sak som att vara det. Jag kan konstatera att det finns två förslag i svaret. Det ena är snabbare överprövningar av planprocessen, vilket är bra om det innebär färre instanser. Det andra förslaget är stadsmiljöavtalen. De är ingenting som vi motsätter oss i sak. De ligger i linje med Stockholmsförhandlingen och Sverigeförhandlingen som vi har varit initiativtagare till. Vad jag efterlyser när det gäller stadsmiljöavtalen är dock den tydliga kopplingen till bostadsbyggande. Jag har inte i några underlag kunnat se att man säger till kommunerna att om de ska få tillgång till pengarna måste de också bygga bostäder. Jag hoppas att det kommer. Men så länge det inte kommer är det en from förhoppning att kommunerna kommer att säga ja till byggnation. Sedan finns det inga fler förslag. Vad mer vill ministern göra för att få fram fler bostäder? Jag kan konstatera att bullerförordningen inte har kommit på plats. Den skulle möjliggöra mindre lägenheter som blir billigare. Förordningen hade behövt vara på plats till årsskiftet, men den har fortfarande inte kommit. Min fråga, som vi har ställt tidigare, blir: När kommer förordningen? Ni måste ju ha en tidsplan. Till detta behöver planprocessen fortsatt förenklas, och där får jag ett lite svepande svar, men det innehåller ingenting i sak. Det finns färdiga lagförslag från alliansregeringen om en ytterligare förenkling av plan- och bygglagen, något som vi från allianspartierna har motionerat om här i riksdagen. Våra förslag innebär i korthet en möjlighet för kommuner att avstå från detaljplan, så att man direkt kan bevilja bygglov, en möjlighet att anta detaljplaner i kommunstyrelsen eller i byggnadsnämnden. Därutöver har vi föreslagit minskade utformningskrav i detaljplanen. Tyvärr röstade riksdagens samlade vänsterpartier - som även Miljöpartiet är en del av - nej till dessa förslag så sent som i juni. Exakt vad är det som ministern vill genomföra? Att säga att man för en aktiv bostadspolitik bygger inga bostäder. Vad är det aktiva i den politiken? Vilka konkreta förslag och tidsplaner är det som bostadsministern och regeringen avser att komma med? ","M"
"Mats Green","Fru talman! En rödgrön bostadspolitik sökes. Inför valet 2014 hörde vi samtliga tre rödgröna partier efterfråga en ny bostadspolitik. De valdes också för att kunna genomföra en ny bostadspolitik. Efter det har ingenting avhörts. Om fru talman ursäktar så här i semmeltider: Om man tar bort locket finns ingenting där. Jag instämmer helt och hållet i det som Ewa Thalén Finné slog fast. Vad är det för nya, radikala åtgärder som den rödgröna regeringen nu anser måste till? Jag kan konstatera att vi nu tack vare de åtgärder som alliansregeringen har genomfört har det högsta bostadsbyggandet i Sverige på mycket länge. Jag kan också konstatera att vi tack vare detta också med råge kommer att överträffa regeringens ganska lågt ställda mål om 250 000 nya bostäder fram till 2020. Nu kommer det att bli minst 300 000 bostäder. För det har vi inte alls den nuvarande rödgröna regeringen att tacka, utan för det kan vi tacka alla de reformer som alliansregeringen sjösatte under åtta år och som också fortsatte i den budget som riksdagen beslutade sig för att ställa sig bakom i december. Ewa Thalén Finné resonerar en del kring bostadsboomen i storstäderna, men det finns också en bostadsboom i hela övriga delen av landet. När det gäller bostadspolitik kan vi alltför ofta fastna i diskussioner om avstånd och bullernivåer. Det är givetvis viktigt, men vad det egentligen ytterst handlar om är att bygga ett land och att bygga ett samhälle, fru talman. Det är också därför som Alliansen genomförde Sverigepaketet där vi bygger ut kollektivtrafik och bygger fler bostäder samtidigt som vi genom detta satsar på infrastruktur. Allt det här, vartenda litet steg, har under alliansregeringens tid motarbetats av samtliga rödgröna partier. Nu har man accepterat den större delen, men jag skulle återigen vilja få konkretiserat av bostadsministern, med tanke på de höga ambitioner som fanns före valet och som det sedan har varit märkligt tyst om: Vad är det för konkreta åtgärder som man vill genomföra? Det finns tyvärr inget konkret i interpellationssvaret över huvud taget. Det finns ingen substans. Med tanke på att detta trissades upp så våldsamt under valrörelsen tycker jag att det är egendomligt att man inte förberedde sig. Fram till nu har man egentligen inte kommit med ett enda förslag över huvud taget. Det är ett antal som har varit med i jag vet inte hur många debatter i detta land, nu senast på Västerbottendagarna när vi diskuterade vikten av att öka trähusbyggandet. Jag kan konstatera att Alliansen hade det ena förslaget efter det andra. Ministern och även socialdemokratiska bostadspolitiska talespersoner var där. Ingen kom med något eget konkret förslag, utan man hänvisade bara till pågående utredningar - utredningar som jag vill påpeka att alliansregeringen sjösatte. Men återigen: Jag efterlyser en konkret bostadspolitik från den rödgröna regeringen. Det hade varit en sak om man hade haft förslag som hade röstats ned här i riksdagen, men vi har ju inte haft några sådana att ta ställning till. Då hade vi också kunnat ta den debatten i sak. Om man menar vad man sa före valet måste man nu faktiskt börja leverera. Sverige behöver en bostadspolitik, och då tycker jag att vi ska fortsätta på den framgångsrika väg som Alliansen valde. Men om man nu inte anser detta, när ska ni konkretisera en egen bostadspolitik? Det vill jag veta, fru talman. ","M"
"Hillevi Larsson","Fru talman! Under de senaste åtta åren har det varit ett rekordlågt bostadsbyggande. Även om det har blivit lite bättre har den förbättringen skett från väldigt låga nivåer. När stödet för bostadsbyggande avskaffades för åtta år sedan när den borgerliga regeringen tillträdde störtdök byggandet. Det finns en tydlig skillnad här. När man stöder byggande leder det till nya bostäder. När man inte stöder bostadsbyggande är det marknaden som ska sköta detta. Men det har ju inte lett till något positivt resultat.  Det lilla som har byggts har framför allt byggts för dem som har mycket pengar. Det är det som är problemet. Bostadsmarknaden är ju inte som vilken marknad som helst, utan det handlar också om att en bostad är en social rättighet. Alla måste ha någonstans att bo. Kan inte marknaden tillgodose det behovet måste vi politiker se till att det händer någonting. Annars bygger man sådant som är lönsamt. När det är bostadsbrist bygger man det som man kan tjäna mest pengar på, och det har ju fått katastrofala konsekvenser. Det är en hel generation som nu står utan bostad. Det gäller ungdomar som inte kan flytta hemifrån eller studenter som inte kan flytta till studieorten därför att det inte finns några studentlägenheter.  Det är klart att det behövs en annan politik, men det kommer att ta tid att skapa en sådan politik. Vi måste också förhålla oss till det parlamentariska läget och till det som vi kan få igenom i den här församlingen. Hittills har regeringen suttit ett par månader, och den förra regeringen satt i åtta år. Jag tycker att man ställer ganska höga krav på en ny regering som har suttit ett par månader efter ett totalt misslyckande under åtta år. En av de nyckelfrågor som vi bör titta på i framtiden - det här är definitivt ingen enkel fråga att lösa - är skillnaden mellan ägd bostad och hyresrätt. Den skattemässiga diskrimineringen uppgår till mellan 11 000 kronor och 40 000 kronor per år. Det finns också en utredning som stöder att det finns en sådan skattemässig diskriminering. Man har räknat på en nybyggd hyresrätt och jämfört med en nybyggd ägd bostad. Det är ju inte alltid som den som hyr sin bostad har mer pengar än den som äger sin bostad. Detta kan slå hårt mot den som redan har en ganska dålig ekonomi. Det är också väldigt många som i dag inte har fast jobb, och många som inte har jobb över huvud taget. Massarbetslösheten spelar också in, för den gör att det blir svårare att ta sig in på bostadsmarknaden. De kan inte få lån för att köpa en lägenhet, utan de hänvisas till hyresmarknaden där det är ett väldigt stort efterfrågetryck och inte finns lika många lägenheter som behövs, framför allt inte i den prisklass som efterfrågas. I framtiden måste vi titta på den skattemässiga diskrimineringen. När man stoppade stödet till byggande av hyresrätter störtdök ju det byggandet. Sedan har man också gjort det lättare att ombilda från hyresrätt till bostadsrätt. Då blir det lönsamt att äga sin bostad, men risken är att det blir färre hyresrätter och fler bostadsrätter. Sedan har vi ROT-avdrag och skattemässiga fördelar om man hyr ut delar av sin bostad eller hela bostaden. Allt detta sammantaget leder till en skev balans mellan hyrda lägenheter och ägda lägenheter. Hyresrätten är väldigt viktig för ungdomar och studenter.  Det är också viktigt för rörligheten på bostadsmarknaden att det finns hyresrätter. Om man ska kunna flytta dit där jobben finns måste det finnas hyreslägenheter. Man kanske inte vill äga sin bostad; man vet kanske inte hur länge man ska stanna. Det är alltså en viktig framtidsfråga. ","S"
"Nooshi Dadgostar","Fru talman! Vi har genomlidit en alliansperiod på åtta år som kännetecknats av passivitet och ideologiska utförsäljningar på bostadsområdet. Det har skapat stora problem i form av brister på bostadsmarknaden. Både jag och regeringspartierna har varit överens om att problemet är avsaknaden av bostadspolitik med ambitionen att politiskt och gemensamt lösa människors problem med att hitta ett hem att bo i. Det är en välfärdsfråga, men vi kan också konstatera att bostadsbristen leder till produktionsbortfall i ekonomin. Vi för ut alltför lite av våra tillgångar. Vi skjuter oss själva i foten när vi inte sätter spaden i jorden och får igång ett storskaligt byggande för breda löntagargrupper. Det är bra att regeringen nu sätter upp ett mål. Frågan är bara hur regeringen ska uppnå målet. Låt oss titta på förutsättningarna. Det är i dag i princip gratis för staten att låna pengar för investeringar. Vi talar närmast om negativ ränta. Samtidigt vädjar EU-kommissionen om att medlemsstaterna ska investera i ekonomin och använda det kapital som finns för att öka efterfrågan i ekonomin. Det bästa sättet att göra det är till exempel genom att bygga bostäder och infrastruktur. Vi kan konstatera att de EU-länder som Sverige brukar jämföra sig med satsar betydligt mer än Sverige på bostadsbyggande, exempelvis genom förmånliga statliga lån och andra former av statliga stöd. Det är framför allt hyresrätter som människor efterfrågar. Det finns kapital för att bygga, men bankerna har i dag en mycket stram bedömning av risker och kräver omfattande tillgångar hos byggherren. Sådana krav stänger ute mindre byggherrar som saknar egna ekonomiska tillgångar i tillräcklig omfattning. För att ge fler byggherrar möjlighet att bygga och förbättra konkurrensen på byggmarknaden kan staten bidra genom att till exempel förbättra kreditvillkoren för bostadsbyggande. Staten kan låna kapital på förmånliga villkor och låna ut till bostadsinvesterare genom att erbjuda bättre villkor än vad banker och kreditinstitut erbjuder. Det skulle förbättra konkurrensen i branschen och eventuellt sätta press på de orimliga avkastningskrav som jättarna i branschen har. Tänker regeringen titta på detta? Kan man använda sig av exempelvis SBAB? De kraftiga subventioner som i dag ges till det ägda boendet håller uppe priserna på villor och bostadsrätter, vilket i sin tur driver upp priserna på byggandet av hyresrätter. I kompensationssyfte behövs därför investeringsstimulanser för byggande av bostadsrätter. Det är delvis det som gör att byggandet på kajkanter i storstäderna och hyror på 14 000 i månaden för nybyggda hyresrätter fortfarande dominerar bilden. Vad vill regeringen göra för att förändra det byggandet? I regeringsdeklarationen talas det om en bostadsmiljard. När kommer den? Investeringsstöd är en beprövad metod. Vi vet att den fungerar, och dessutom håller det nere produktionskostnaderna. I början av 2000-talet var produktionskostnaderna för hyresrätter ungefär likvärdiga med dem för bostadsrätter. Investeringsbidragen, som infördes 2001 och som förenades med hyresnivåer, gjorde att produktionskostnaderna för hyresrätter minskade kraftigt. När vi fasade ut investeringsstödet ökade produktionskostnaderna igen. Investeringsstödet är det enskilt effektivaste sättet att styra produktionen mot byggande av bostäder för breda inkomstgrupper. Är regeringen beredd att titta på den typen av stimulanser och stöd som kan göra att vi kan bygga billiga hyresrätter till vår befolkning? ","V"
"Lars Eriksson","Fru talman! Den här debatten påminner lite om den som vi hade för någon vecka sedan och som också handlade om bostadspolitiken. Även kritiken från de borgerliga partierna påminner om den som framfördes då. Nu ser vi, med facit i hand, hur den tidigare regeringen valde att hantera de här frågorna, och jag tycker att det finns en avsaknad av självkritik och väldigt lite av balanserade bedömningar i frågan. Här slås i stället hårt mot den sittande regeringen för att den efter fyra månader inte har löst problemet, när den tidigare borgerliga regeringen under åtta år inte fick fram mer än ett rätt magert resultat. Efter de åtta åren kan man i huvudsak peka på tre punkter där regeringen Reinfeldt valde att lägga fram förslag för att hjälpa ungdomar och studenter att komma in på bostadsmarknaden. Det första var att man i princip införde marknadshyror på andrahandsbeståndet. Det som har inträffat är att man nu kan få betala 9 000-10 000 kronor för en etta. Det tror jag inte att ungdomar och studenter egentligen har råd med. Det andra var det stora anslaget med propositionen <em>Fler bostäder åt unga och studenter</em>. Propositionen lades fram efter sju år - inte efter fyra månader med regeringen Reinfeldt utan efter sju år. Det handlade om undantag för hiss upp till vindsvåningar. Jag tror inte att det har medfört att speciellt många ungdomar bor i vindsvåningarna som undantas från hiss. Det tredje tror jag var ministerns stoltaste stund i riksdagen, nämligen när man lade fram propositionen <em>Nya åtgärder som kan genomföras utan krav på bygglov</em>, det vill säga propositionen om Attefallshusen. Det beskrevs i kammaren som något som skulle hjälpa landets ungdomar genom att de kunde flytta in i ett Attefallshus på föräldrarnas tomt eller på grannens tomt. Det fanns ingen hejd på allt vad det skulle lösa. Dessa tre förslag tog det i princip sju år att komma fram med, inte fyra månader. Jag tycker därför att kritiken är lite väl häftig, och det tycker nog även de borgerliga ledamöterna. De flesta som ser debatten tror jag håller med om att bostadspolitiken är ett centralt politikområde som förtjänar att lyftas fram mycket mer. Jag ska i mitt nästa inlägg återkomma till hur jag tycker att det har synliggjorts. Men som sagt, resultatet av den förda bostadspolitiken under de borgerliga regeringsåren är inte något att skryta med. Efter de åtta åren ser man att det går bättre än vad det gjorde under de tidigare åtta åren. Man kan förvänta sig att förr eller senare ska åtminstone bostadsstatistiken visa på en bättre utveckling än under hela den borgerliga regeringstiden. ","S"
"Mehmet Kaplan","Herr talman! Ewa Thalén Finné och jag har debatterat den här frågan ett antal gånger. Jag tycker att det i grunden finns en idé om vart vi måste vara på väg. Det finns ett grundläggande problem, och det är att det saknas bostäder i Sverige. Det har saknats bostäder i Sverige under ett antal år, men inte i hela Sverige. Ungefär hälften av landets 290 kommuner uppger att de har bostadsbrist. Nästan alla studieorter, med undantag av tre, har brist på studentbostäder. Av siffror som Sveriges förenade studentkårer redovisar framgår att de har problem att inom en månad från det att studenten påbörjat sina studier få fram en bostad på studieorten. Det finns till och med studieorter som inte kan erbjuda studentbostad alls under studietiden. Man har hunnit gå färdigt sitt program innan man blir erbjuden en bostad. Det är ett prekärt läge. Men att under den här processen då vi jobbar fram ett antal frågor förminska saker som stadsmiljöavtal tycker jag är problematiskt. Stadsmiljöavtalen är - för att det ska vara klart vad det handlar om - en lösning där kommuner som har mark som byggbolagen inte anser är tillräckligt attraktiv att bygga på, så kallade B- och C-lägen, kan göra de lägena mer attraktiva genom att se till att planera för kollektivtrafikutbyggnad. Ett gott exempel på det är Malmö, som har planer på spårvagn ut till områden som annars inte hade varit tillräckligt attraktiva att bygga på. Kommunen klarar naturligtvis inte av en så stor satsning på kollektivtrafik, särskilt om den innefattar spår, och då ska staten kunna gå in med upp till 50 procent av kostnaden för kollektivtrafiksatsningen. Detta är ett beslut som har tagits. Det finns pengar avsatta i vår budget. Jag vill påstå att detta, på den relativt korta tid som vi har haft på oss, är ett viktigt steg mot att se till att kommuner klarar av att bygga ut och förtäta sina områden. Detta bereds nu inom myndigheten Trafikverket, som ska komma tillbaka, och då kan vi börja med denna satsning. Det är en mycket viktig del. En annan del handlar om en förkortad planprocess. Jag tog upp det i mitt svar. Det är en oerhört viktig fråga, för det handlar i grunden om hur tiden från ax till limpa kan reduceras. Vi har alltså haft en situation i Sverige där det även under de senaste åtta åren har tagit lång tid från beslut om att bygga till att sätta spaden i jorden. Den långa tiden på åtta tio månader ska gå att förkorta. Vi jobbar nu med detta inom departementet, och min förhoppning är att vi inom en snar framtid kan komma med förslag som förkortar tiden. Jag skyller inte på den gamla regeringen och säger att ni hade åtta år på er att göra detta och inte gjorde någonting. Jag menar att vi måste se framåt och se om vi klarar av att producera ett sådant här förslag som kan nå majoritet i denna riksdag. Då kommer vi att göra det. ","MP"
"Ewa Thalén Finné","Herr talman! Jag skulle vilja komma tillbaka till vad ett par olika debattörer har sagt om byggande och vad som är gjort och inte gjort, där man raljerar lite över tre förslag. Alliansregeringen lade under sina år fram över hundra ändringsförslag för att förbättra processen för byggande. Sedan hamnade vi i en mycket svår ekonomisk kris. Det är intressant att lyssna på framför allt socialdemokrater, för det låter som att den krisen över huvud taget inte har existerat. När stora kommunala bostadsbolag inte ens kunde omsätta sina lån fanns det inga pengar i processen. Men jag tänker göra som ministern och titta framåt i stället. Visst är det ett grundläggande problem att det i stora delar av landet saknas bostäder. Det är därför jag så gärna vill ha konkreta förslag. Ministern lyfter fram studentbostäder. Då skulle jag återigen vilja få konkreta förslag: Vad är det ministern skulle kunna tänka sig att göra? Vi har till exempel möjliggjort att sätta ned tillgänglighet - det är på dispens på några håll. Skulle man kunna fundera över att i en fastighet ha någon lägenhet som är tillgänglig, men att inte alla behöver vara det? Det är ett sätt att få ned yta, och får man ned yta får man ned pris. Vad man som student är beredd att betala och har möjlighet att betala är viktigt. Även här kommer vi tillbaka till frågan om bullerförordningen som vi fortfarande inte har fått något svar på. Jag tycker att det är synd att man inte tydligare kan komma med en tidsplan, men jag vet att det eventuellt finns någon liten oenighet här. Det vore skönt att få en tidsplan. Sedan skulle jag bara vilja säga till ministern: Nej, jag förringade inte stadsmiljöavtalen. Att infrastruktur är viktig för att man ska kunna bygga är vi alla överens om. Men vad jag saknar är den tydliga kopplingen: Ska man kunna få statliga pengar ska det också någonstans i andra änden utlovas bostäder. Det är det som var Stockholmsförhandlingen och som också är Sverigebygget, som nu är omdöpt till Sverigeförhandlingen. Det är det som det bygger på. Det är inte bara infrastrukturpengar, utan i andra änden ska kommunen garantera att det finns bostäder. Sedan var det detta med förkortad planprocess. I dag vet vi att det tar i genomsnitt åtta år från idé tills nyckel kan lämnas över. Där finns det bitar att jobba vidare med. Vi hade förslag, och ett som jag tror skulle kunna förkorta processen med kanske två till fyra år är att tillåta kommuner att avgöra när det behövs detaljplan. Kan vi hoppa över detaljplaneskedet sparar vi tid, om vi räknar in allt med överklagande och det som vi vet att vi har. Jag vill ha konkreta förslag, inte bara en förkortad planprocess. Det är lätt att säga, men vad innebär det för bostadsministern? ","M"
"Mats Green","Herr talman! Vi fortsätter debatten på temat Rödgrön bostadspolitik sökes. Statsrådet Kaplan sa här: Det finns en i grunden bra idé till en rödgrön bostadspolitik. Det är väl lite det som är poängen. Ja, då skulle vi också vilja se den idén och få möjlighet att debattera och ta ställning till just den. Det är naturligtvis lätt för socialdemokrater och vänsterpartister att stå här och problematisera rent allmänt kring bostadsutmaningar i vårt land. Vi kan nog alla vara överens om att det finns enorma utmaningar och att oändligt mycket återstår att göra i hela Sverige. Jag noterade att Vänsterpartiets debattör talade om avsaknaden av bostadspolitik från den tidigare regeringen. Då vill jag säga att det nog är vår replik. Säger man någonting sådant har man också skyldighet att leverera ett alternativ till allt detta. Jag vet att det enda av substans som Vänsterpartiet har levererat - Vänsterpartiet är också en del av det rödgröna regeringsunderlaget - är förslag om att införa obligatoriska kommunala bostadsförmedlingar. En bostadsförmedling förutsätter, herr talman, att det finns någonting att förmedla. Man kan sluta att stå och problematisera och nu börja leverera skarpa rödgröna förslag om vad man tycker ska göras åt det som är huvudfrågan. Vad är det för konkret politik för ett ökat bostadsbyggande i hela landet som statsrådet Mehmet Kaplan kommer att leverera? När kan riksdagen förväntas få den politiken presenterad för sig så att vi kan ta ställning och sedan debattera och slutligen votera om detta? Om man nu har gått till val på att det finns en bostadsbrist i detta land kanske man också borde ha gått till val på att klargöra för väljarna hur den i så fall skulle lösas. Återigen: svar önskas! ","M"
"Hillevi Larsson","Herr talman! Jag tror att man förenklar verkligheten väldigt mycket om man hänvisar till den ekonomiska krisen som skäl till att det inte har byggts någonting. Vi kunde ju se ett direkt resultat när stödet till byggande av hyresrätter avvecklades: Då störtdök genast produktionen. Vi kan också se tillbaka på 90-talet när vi hade 500 procents ränta att det inte innebar ett totalstopp för byggandet. Det är inte så enkelt att man kan hänvisa till en kris, utan det är väldigt avgörande vilken politik man faktiskt för. Visst, man kan se att det under de här åren har tillsatts en massa utredningar om det ena och det andra. Men man måste också se de direkt skadliga saker som har införts och som har rubbat balansen på bostadsmarknaden. Förutom det som har funnits sedan tidigare i form av ränteavdrag som gäller ägd bostad men inte hyresrätt har man infört ROT-avdrag som gäller ägd bostad men inte hyresrätt, gjort det förmånligt att hyra ut sin bostad och möjligt att ta ut marknadshyra på detta sätt samt infört de stora Attefallshusen. Man har genomfört det ena förslaget efter det andra som gynnar ägd bostad, men man har tagit bort det som fanns för att gynna hyresrätt. Det är den obalansen, som har byggts upp under många år under den förra regeringen, som vi nu ser resultatet av. Detta drabbar självklart den enskilde på bostadsmarknaden, men det drabbar också oss alla. I Stockholm räknar man med att den samhällsekonomiska förlusten är 21 miljarder per år. Även i Göteborgsregionen och Malmöregionen är det miljardbelopp vi förlorar. Byggande av hyresrätter till rimliga hyror gynnar alltså inte bara människor som behöver bostad utan oss alla. Det är det jag tycker vi måste ta tag i. Hur gynnar vi detta? Jag vill också säga att jag tycker att ministerns förslag är bra, bland annat när det gäller infrastruktur. ","S"
