"Magdalena Andersson","Herr talman! Fredrik Schulte har frågat mig vilken nivå av överskott i den offentliga sektorn som regeringen strävar efter och när detta överskott uppnås. Fredrik Schulte frågar vidare vilka finanspolitiska åtgärder regeringen har vidtagit för att närma sig överskottsmålet. De offentliga finanserna befinner sig i ett bekymmersamt läge. För tredje gången av tre lämnar en borgerlig regering efter sig stora hål i statens finanser. Ofinansierade skattesänkningar har medfört att underskotten i de offentliga finanserna har vuxit år efter år, trots att konjunkturläget har förbättrats på senare år. Det finansiella sparandet avviker tydligt från överskottsmålets nivå.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi behöver återupprätta respekten för det finanspolitiska ramverket. Ordning och reda i statens finanser är grunden för en hög och hållbar välfärd. De senaste årens ofinansierade skattesänkningar måste ersättas av en ordning där reformer genomförs på ett ansvarsfullt sätt. Alla reformer regeringen föreslår i budgetpropositionen för 2015 är därför fullt finansierade.  Underskottet i de offentliga finanserna ska steg för steg pressas tillbaka, så att Sverige inte längre bryter mot det finanspolitiska ramverket. Vi ska komma tillbaka till ett överskott på 1 procent i genomsnitt över en konjunkturcykel. Den takt som avvikelsen från överskottsmålet ska korrigeras bör i enlighet med det finanspolitiska ramverket baseras på en samlad bedömning utifrån stabiliseringsutgångspunkter, fördelningsutgångspunkter och strukturpolitiska utgångspunkter.  Regeringens samlade bedömning är att underskottet för närvarande är så stort att överskottsmålet inte förväntas nås under innevarande mandatperiod utan att det skulle få kraftigt negativa samhällsekonomiska konsekvenser. Vi är helt enkelt för långt ifrån att uppfylla överskottsmålet i dagsläget. En återgång till ett strukturellt överskott på 1 procent kommer att ta ytterligare något eller några år. ","S"
"Fredrik Schulte","Herr talman! Frågan om att ha stabila statsfinanser är kanske inte en särskilt spännande fråga i politiken. Det kan låta väldigt kameralt och långt ifrån de vardagliga samhällsproblem som människor står inför. Men faktum är att det är en central fråga därför att vi kan se att de länder som inte hade stabila statsfinanser när krisen kom i Europa och i världsekonomin också var de som drabbades värst. När krisen kommer måste det finnas utrymme att stimulera ekonomin för att kunna upprätthålla efterfrågan och för att kunna slippa göra massiva nedskärningar i välfärden. Under åtminstone de gångna sex åren är Sverige det land som har stimulerat sin ekonomi allra mest till följd av krisen. Detta var någonting som vi var helt överens om. Mellan 2007 och 2014 var den dåvarande alliansregeringen helt överens med Socialdemokraterna om nivån på stimulanserna. Det skilde några få procent. Men i grunden var man överens om i vilken utsträckning som ekonomin så att säga var tvungen att ta hjälp av staten för att vi skulle klara oss igenom krisen.  Då är det lite märkligt att Magdalena Andersson står här och på något sätt försöker ge en bild av att Alliansen skulle ha bidragit till att försätta Sverige i en situation där ladorna nu helt plötsligt skulle vara tomma, just därför att Socialdemokraterna i opposition var helt överens med oss i vilken utsträckning ekonomin skulle stimuleras.  Just påståendet från Magdalena Andersson om att Sverige skulle befinna sig i ett allvarligt läge blir ännu mer märkligt när hon själv sedan lägger fram en budget som innehåller utgiftsökningar på 120 miljarder över fyra års tid.  Logiken som på något sätt vägleder Magdalena Andersson är: Nu saknas det pengar, så vi spenderar mer pengar.   STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Detta går inte ihop. Det är därför som jag skrev den här interpellationen, där jag försökte få Magdalena Andersson att bli lite mer tydlig i fråga om hur mycket pengar det är som verkligen saknas för att vi ska nå en budget i balans. Då kan man faktiskt börja diskutera lite mer konkret vilken typ av prioriteringar som borde göras. I Socialdemokraternas budget föreslås till exempel utökade utgifter på kultur med 250 miljoner. Det är väl ingen som ifrågasätter det goda syftet i det? Alla vill väl förstärka satsningarna på kulturen? Men man måste göra prioriteringar, och det är uppenbart att Magdalena Andersson och Socialdemokraterna tycker att detta är viktigare än att säkerställa att vi återför de offentliga finanserna i balans.  Det som faktiskt är den största utgiftsposten i Socialdemokraternas budget är något som de kallar beräkningstekniska överföringar till hushållen och som rör sig om 30 miljarder och som de inte ens berättar vad det är. Det kommer vi att debattera lite senare.  Logiken går inte riktigt ihop. Det går inte att säga att Sverige skulle ha ett väldigt utsatt läge vad gäller våra statsfinanser när man själv har varit med och beslutat om stimulansnivåerna. ","M"
"Magdalena Andersson","Herr talman! Jag gläder mig åt Fredrik Schultes engagemang för de offentliga finanserna. Det är bra att det finns politiker i alla läger som står upp för och tycker att det är viktigt med ordning och reda i de offentliga finanserna. Problemet som vi har i Sverige just nu är att vi har ett stort underskott. Den socialdemokratiska regeringen ärvde ett stort underskott efter den borgerliga regeringen. Vi har också under de senaste åren kritiserat det faktum att man har lånat mycket pengar till att sänka skatten. Vi har lagt ett mindre reformutrymme än vad regeringen hade. Vi hade också velat se en annan profil på de reformer som man genomförde. Vi hade önskat mer investeringar i utbildning, jobb för unga och infrastruktur. Där skiljer sig profilerna åt men också omfattningen på stimulanserna. Nu har vi ett läge där vi har ett underskott som är stort i faktiska termer, men vi har också ett ganska stort strukturellt underskott. Här har regeringen varit tydlig med att det inte är långsiktigt hållbart att ha statsfinanserna i det läge som de är i nu. Vi behöver steg för steg ta oss mot en mer balanserad bana vad gäller de offentliga finanserna. Den strategi som regeringen kommer att följa är att det är slut med de ofinansierade skattesänkningar som präglade den borgerliga regeringens tid. År efter år genomförde man ofinansierade skattesänkningar. Det har vi inte råd och möjlighet att göra längre, utan nu måste reformer finansieras. I den budget som vi föreslog var alla reformer finansierade krona för krona. Den politik som vi avser att följa de närmaste åren handlar också om att finansiera våra reformer så att vi steg för steg kommer tillbaka till sunda statsfinanser och statsfinanser som är förenliga med de ramverk som vi de facto är överens om. ","S"
"Fredrik Schulte","Herr talman! Ja, vi har lite olika profil på de satsningar som vi föreslår. Att Socialdemokraterna skulle satsa mer på utbildning är dock inte en korrekt beskrivning. Mycket riktigt gjordes det olika prioriteringar i den budget som Alliansen lade fram i höstas och i den budget som Magdalena Andersson lade fram, men Alliansen gjorde mer prioriteringar på just utbildning.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Den stora skillnaden i politiken handlar om att Magdalena Andersson och Socialdemokraterna vill prioritera utbyggda bidragssystem. Det är därför som Socialdemokraterna föreslår massiva skattehöjningar och massiva utgiftsökningar över fyra år på 120 miljarder kronor för att kunna finansiera bidragsutbyggnaden. Som vi också kommer att diskutera lite mer senare vill man inte vara tydlig med att det är just detta man föreslår, utan man sätter en stor del av sina utgiftsökningar som en ospecificerad post som man kallar beräkningstekniska överföringar till hushållen. Man berättar inte vad det är, annat än att det är pengar som ska användas till att bekosta deras föreslagna förändringar av sjukförsäkringsreglerna, vilket kommer att innebära mer kostnader för samhället. Argumentationen går inte ihop, Magdalena Andersson. Jag tycker att det är ohederligt när finansministern står här och säger att den borgerliga regeringen under sin tid vid makten genomförde ofinansierade skattesänkningar. I era budgetar samma år föreslog ni ofinansierade bidragshöjningar. Vi var ju överens om stimulansnivån. Vi var helt överens om att Sverige stod inför tuffa ekonomiska tider med ett utsatt läge i den globala ekonomin och att vi därför var tvungna att upprätthålla efterfrågan i den svenska ekonomin. Det skilde någon miljard hit och någon miljard dit, men i det stora hela var vi helt överens. Den ni anklagar oss för att ha gjort i form av ofinansierade skattesänkningar har ni själva föreslagit i form av ofinansierade bidragshöjningar. Situationen hade inte sett annorlunda ut i dag ifall vi hade antagit Socialdemokraternas budgetar de senaste sex åren. Det blir ännu mer märkligt när Alliansens budget, som riksdagen valde att anta, föreslår en snabbare nedtrappning av underskotten för att vi därmed snabbare ska nå överskottsmålen och sedan, som jag var inne på tidigare, föreslår Magdalena Andersson massiva utgiftsökningar på 120 miljarder. Logiken går inte ihop. Det går inte att säga att pengarna är slut, så vi spenderar mer pengar. Det som jag tror behövs är en tydlig inriktning med fokus på att få fler människor i arbete, öka sysselsättningsgraden i samhället, i stället för att på nytt öppna bidragskranarna och öka utgifterna för att försörja människor på annat sätt än genom arbete. Det är här skon klämmer. Det är detta som är den stora utmaningen och den stora skillnaden i svensk politik. Det hade varit bra om Magdalena Andersson kunde vara tydlig med att det är på det sättet. ","M"
"Niklas Wykman","Herr talman! Bilden av Sverige genomgår en snabb förändring i omvärlden från att under krisåren ha beskrivits som ett nordiskt ljus, en trygg utpost i en mycket orolig värld, från att ha haft regeringar där finansministern utsetts till Europas bästa finansminister och en regering som såg till att vi hade Europas starkaste offentliga finanser till att vara ett land som nu beskrivs som en osäkerhetsfaktor i världsekonomin. Vi har fått regeringskriser som mer påminner oss om situationer som vi normalt sett har sett i Italien.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi har helt enkelt bytt ut en trygg och stark regering, som varit väl förberedd och haft en samlad politik, mot en regeringskoalition med miljöpartister och socialdemokrater med stöd av vänsterpartister som inte varit överens om vad man skulle göra, och de offentliga finanserna har fått betala priset. Vi ser konsekvenserna av detta i kronkurs, i oro för svenska företag och i avtagande tilltro på framtiden bland hushåll.  Vi ser kort och gott ett Sverige som har gått från trygghet och stabilitet mot instabilitet, som har gått från en stark regering med starka offentliga finanser till en svag regering som inte längre förmår att upprätthålla förtroendet för offentliga finanser. Just att upprätthålla överskottsmål och förtroende för offentliga finanser är avgörande för jobbtillväxt, för tillväxt i ekonomin och för att kunna upprätthålla den sociala trygghet vi ska erbjuda varandra i Sverige. Detta har Magdalena Andersson och övriga regeringen misslyckats med, och Sverige står inför ett svårt läge. Det fanns varningsklockor som ringde för detta före valet, inte minst för Magdalena Anderssons egna uttalanden. Prognoserna för svensk ekonomi byttes kvartalsvis. Ena kvartalet skulle det stimuleras för att det i nästa kvartal skulle bromsas. Under något kvartal skulle man avvakta och se. Åtgärder skulle stimuleras och sedan bromsas. Så där höll Magdalena Andersson på i opposition. När denna politik nu kommer in i regeringsställning är det klart att det bygger upp mycket osäkerhet kring svensk ekonomi och förutsättningarna för jobbtillväxt i Sverige. Detta har mycket tydligt påtalats av bland annat Finanspolitiska rådet, som tydligt beskrev Magdalena Anderssons politik som ett brott mot ramverket. Finanspolitiska rådet underströk att så här har vi aldrig tidigare uttryckt oss när de beskrev finansministerns politik som ett brott mot ramverket. Det har sedermera fortsatt att komma kritik från Finanspolitiska rådet, till exempel mot den beskrivning som Magdalena Andersson gjorde av svensk ekonomi som att det var tomt i ladorna. Det försvagar givetvis förtroendet för Sverige och för politiken när man har en finansminister som beskriver det som är EU:s starkaste offentliga finanser som att det är tomt i ladorna. Detta kritiserades starkt av ledande ekonomer och av Finanspolitiska rådet. Det som kanske har varit ännu mer oroande när vi talar om överskottsmålet är att vi för första gången på mycket länge har en statsminister och en finansminister som i den offentliga debatten och det offentliga samtalet beskriver läget i svensk ekonomi på helt olika sätt. I december höll Stefan Löfven en presskonferens, som är omtalad, där han talade om att Sverige trots allt har en relativt stark ekonomi. Den ekonomi som statsministern beskriver som relativt stark beskriver finansministern som att det är tomt i ladorna.  Med en regering som talar med så många olika röster om läget i svensk ekonomi grumlas människors framtidstro i Sverige. Det minskar incitamenten, lusten och möjligheten att investera i Sverige, och det driver på sikt upp arbetslösheten. Magdalena Andersson borde kunna vara tydlig och förklara sig. Instämmer hon i statsministerns förklaring? Eller har hon blivit underkänd av sin egen statsminister offentligt? Det skulle i sådana fall vara en unik händelse i svensk politik. ","M"
"Monica Green"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Det är onekligen olika bilder som målas upp. När jag lyssnar på Magdalena Andersson hör jag henne tala om de reformer hon vill genomföra för att sätta Sverige i arbete igen, för att ge trygghet åt människor och för att satsa på sociala reformer så att vi åter kan tro på framtiden. När jag lyssnar på de borgerliga ledamöterna hör jag något helt annat. De försöker svartmåla Sverige och talar om regeringskris och så vidare. Det verkar som att de borgerliga ledamöterna har glömt att de förlorade valet och att de faktiskt förlorade valet för att människor var trötta på den politik som fördes av den borgerliga regeringen. Människor var trötta på den höga arbetslösheten och otryggheten. De var trötta på den fördelning som gjordes som innebar att man sänkte skatterna mest för dem som hade det bäst och slog undan fötterna för dem som hade det svårt. Människor utan arbete och människor som stod långt från arbetsmarknaden fick det allt sämre hela tiden. Det verkar som att de borgerliga ledamöterna redan har glömt det. Det beklagar jag. Det verkar dessutom som att de borgerliga ledamöterna har glömt att Finanspolitiska rådet gång på gång kritiserade den borgerliga regeringen för olika saker, bland annat för att man var för otydlig med hur man skulle dämpa konjunkturnedgången och hur man skulle klara överskottsmålet. Det verkar som att de borgerliga ledamöterna har skygglappar och inte vill kännas vid detta. Vi hade en expansiv budget. Det är viktigt att ha det i sådana här lägen. Den budget som Moderaterna tillsammans med Sverigedemokraterna, Centern, Folkpartiet och Kristdemokraterna valde att rösta ned var en budget som skulle ge trygghet och tro på framtiden igen, vuxenutbildning och investeringar i infrastruktur och bostäder. Det stämmer att Sverige hade en god ekonomi. Varför hade vi det? Jo, för att när vi hade en borgerlig regering i början av 90-talet hamnade Sverige i ekonomisk kris. Då var den hemmagjord och rörde bara Sverige för att den borgerliga regeringen inte kunde hantera ekonomin.  Det tog vi hand om när vi vann valet 1994. Då jobbade Magdalena Andersson på Regeringskansliet, och tillsammans med Göran Persson och andra byggde Socialdemokraterna upp en trygg och bra ekonomi för Sverige igen.  Många borgerliga ledamöter har berömt Socialdemokraterna för att vi satte upp tydliga mål och att vi hade buffert, överskottsmål och så vidare.  Sverige klarade den internationella kris som började 2008 med jobbstoppet tack vare dessa tydliga regler som vi tillsammans satte upp i riksdagen under den socialdemokratiskt ledda regeringen. Detta tycks de borgerliga ledamöterna fullständigt ha glömt bort. ","S"
"Patrik Björck","Herr talman! Jag reagerade på Niklas Wykmans verklighetsbeskrivning. Sverige har haft åtta år av misslyckad allianspolitik, åtta år av alliansbudgetar som har lett oss från höga överskott till underskott. Orsaken till att det har gått så här illa är att politiken har misslyckats kapitalt, Niklas Wykman. Man trodde naturligtvis att denna politik skulle leda till att man skulle klara av arbetsmarknadspolitiken och lösa arbetslösheten. Men vad som har skett är att arbetslösheten under dessa år har ökat med 30 procent, långtidsarbetslösheten har tredubblats och ungdomsarbetslösheten är så hög att vi får bidrag från EU. Skattebetalarna i EU betalar alltså Niklas Wykmans och Alliansens misslyckade politik.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Tyvärr har Sverige drabbats av en nionde alliansbudget där Alliansen och Niklas Wykman tillsammans med Sverigedemokraterna fortsätter med samma misslyckade ekonomiska politik. Det är djupt tragiskt för Sverige och ett stort bekymmer för alla arbetslösa och för alla företag som har att agera i vår omvärld. Herr talman! Jag får välkomna Niklas Wykman till kammaren. Jag har inte sett honom i någon debatt här tidigare. Niklas Wykman måste dock ha tillbringat de senaste åtta åren på ett partikansli eller så, för den verklighetsbeskrivning som han delger riksdagen från talarstolen är fullständigt omöjlig. Åtta år av misslyckande. Åtta år då arbetslösheten skenat och då underskotten, på grund av att man misslyckats med att bekämpa arbetslösheten, sjunkit som en sten.  Det stannar inte där. Låt oss diskutera skolutvecklingen. Var befann sig Niklas Wykman när PISA-rapporten publicerades? Herr talman! Denna typ av verklighetsbeskrivningar är farliga. Det finns all anledning att kräva lite ordning och reda i debatten. Det finns all anledning att skapa lite realism i hur man utvärderar åtta års alliansmisslyckande. ","S"
"Hanif Bali","Herr talman! Det är intressant att diskussionen hamnar i ett slags historiebeskrivning genom Monica Green och Patrik Björck. Monica Green säger att Sverige förvisso hade en bra ekonomi under krisen. Patrik Björck säger att dessa åtta år har varit helt fruktansvärda. Det är bara att titta på vår omvärld. Har Sverige klarat sig bättre eller sämre än vår omvärld? Det klarar alla vi andra att göra, men det klarar uppenbart inte Socialdemokraterna. Låt oss gå tillbaka till kärnan i denna diskussion: Vad hade Socialdemokraterna gjort? Tittar vi på de budgetar ni har lagt fram de senaste åtta åren ser vi att Socialdemokraterna inte har velat spara mer än Alliansen. Socialdemokraterna har inte velat lägga mindre pengar än Alliansen. Patrik Björck och hans vänner ville köpa Saab. Patrik Björck och hans vänner ville inte sälja de bolag som vi sålde strax före krisen för att kunna sänka statsskulden och hålla räntorna låga. Patrik Björck och hans vänner i Socialdemokraterna har lagt fram budget efter budget där vi i efterhand kan se att det hade varit katastrof för Sverige. Med sin historiebeskrivning vill Patrik Björck göra gällande att Socialdemokraternas budgetar hade lett till långt lägre arbetslöshet och statsskuld. Det stämmer inte. Det är intressant att Finanspolitiska rådet är en auktoritet för Monica Green när det för finansministern är något man bara kan ignorera. Ska vi ägna oss åt historiebeskrivning vore det bra om ni kunde er egen historia och era egna budgetar innan ni börjar klaga på våra. ","M"
"Magdalena Andersson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Det är en spännande debatt att följa. Mycket intressant har sagts. En intressant fråga som har kommit upp är om situationen hade sett annorlunda ut om de socialdemokratiska budgetarna hade gått igenom i stället för de borgerliga. Svaret på frågan är ja. Det är skillnad på de stimulansåtgärder som vi socialdemokrater föreslog och de skattesänkningar som den tidigare regeringen stod för. Skattesänkningarna de föreslog är permanenta åtgärder som kostar lika mycket de kommande åren, om man inte höjer skatten, medan de stimulansåtgärder som vi socialdemokrater föreslog var av temporär karaktär. De kan man öka i dåliga tider och dra ned på i bättre tider. Det är till exempel arbetsmarknadsutbildningar och olika former av arbetsmarknadsåtgärder. Vi har också föreslagit en del andra förändringar av utgifter som har den funktionen i statsbudgeten att de inte ökar i takt med att ekonomin växer utan har tak, till exempel barnbidraget. Skattesänkningar däremot blir dyrare och dyrare i takt med att ekonomin växer. Ja, statsfinanserna hade varit i bättre skick om de socialdemokratiska budgetarna hade gått igenom under de senaste åtta åren. Dessutom har vi under de senaste två åren kritiserat regeringen för att vi tyckte att den hade ett alltför väl tilltaget reformutrymme i sina budgetar. Vi har lagt fram stramare förslag under de senaste två åren. Fredrik Schulte säger att Socialdemokraterna vill öppna bidragskranarna. Jag måste kommentera det. Det är ett ganska kraftfullt uttryck - att öppna bidragskranarna. Det vi pratar om är ensamstående föräldrar, där vi vill göra en rejäl satsning på underhållsstödet. Det har inte höjts, och det har verkligen inte följt med i prisutvecklingen. Vi ser att allt fler barn växer upp under mycket svåra ekonomiska omständigheter. Andelen barn som växer upp i fattiga familjer har ökat radikalt under de borgerliga åren. Vi ville göra en ordentlig satsning så att fler barn skulle få möjlighet att leva i en familj som har rimliga ekonomiska omständigheter. Vi gjorde därför en historisk satsning på underhållsstödet. Det kallar Fredrik Schulte för att öppna bidragskranarna. En annan förändring vi vill göra är att stoppa utförsäkringarna i sjukförsäkringen. Att allvarligt sjuka människor inte ska bli utkastade ur sjukförsäkringen tycker jag är civiliserat och mänskligt. Fredrik Schulte kallar det för att öppna bidragskranarna. Vi har en mycket annorlunda ideologisk syn på hur vi ska organisera vårt samhälle. Jag står för solidaritet och medkänsla, men Fredrik Schulte kallar det för att öppna bidragskranarna. ","S"
"Fredrik Schulte","Herr talman! Det var välkommet att vi fick en diskussion om hur läget hade sett ut om Socialdemokraternas budgetar hade gått igenom under de senaste åren. Det Magdalena Andersson försökte säga var att de föreslog tillfälliga satsningar som inte hade kostat lika mycket som våra så kallade skattesänkningar gjort. Det är intressant för Magdalena Andersson har i flera tidigare debatter hävdat att det är just de två tre senaste åren med allianspolitik som har försatt de offentliga finanserna i en dålig situation. Jag kommer att hålla det uttalandet emot dig, Magdalena Andersson, och återkomma i en interpellation där du ska få redovisa vad det är för typ av tillfälliga åtgärder i era budgetar de två senaste åren som inte hade inneburit att underskotten hade sett lika höga ut i dag.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Magdalena Andersson för fram logiken att det är slut på pengar och att vi därför ska spendera mer pengar. Socialdemokraterna föreslog i sin budget 120 miljarder i ökade utgifter under de kommande fyra åren. Vi har nu en alliansbudget som vann riksdagens stöd för 2015 och som innebär att vi går snabbare mot en budget i balans. Det försöker Magdalena Andersson undvika att kommentera och förhålla sig till. Bilden att det är Magdalena Andersson som tar ansvar för de offentliga finanserna står mycket långt ifrån verkligheten. När det gäller bidragskranarna är den stora satsningen i Socialdemokraternas budget att höja taket i a-kassan, vilket gör att många vanliga människor kommer att få mindre pengar i lön än vad de får i bidrag. ","M"
