"Abdu","Said","FP","Västra Götalands läns norra","1986","Man"
"Abrahamsson","Maria","M","Stockholms kommun","1963","Kvinna"
"Adan","Amir","M","Stockholms kommun","1985","Man"
"Ahl","Jeff","SD","Hallands län","1987","Man"
"Ahlberg","Ann-Christin","S","Västra Götalands läns södra","1957","Kvinna"
"Ahlgren","Anders","C","Dalarnas län","1952","Man"
"Ahlin","Urban","S","Västra Götalands läns östra","1964","Man"
"Alm Ericson","Janine","MP","Västra Götalands läns norra","1973","Kvinna"
"Amin","Jabar","MP","Västerbottens län","1959","Man"
"Andersson","Erik","M","Stockholms län","1974","Man"
"Andersson","Jan R","M","Kalmar län","1970","Man"
"Andersson","Johan","S","Östergötlands län","1961","Man"
"Andersson","Jörgen","M","Kalmar län","1966","Man"
"Andersson","Magdalena","S","Stockholms län","1967","Kvinna"
"Andersson","Phia","S","Västra Götalands läns södra","1955","Kvinna"
"Andersson","Ulla","V","Gävleborgs län","1963","Kvinna"
"Andersson Willner","Maria","S","Västra Götalands läns norra","1978","Kvinna"
"Arkelsten","Sofia","M","Stockholms kommun","1976","Kvinna"
"Arnholm","Maria","FP","Stockholms län","1958","Kvinna"
"Ask","Beatrice","M","Stockholms kommun","1956","Kvinna"
"Asplund","Lena","M","Västernorrlands län","1956","Kvinna"
"Avsan","Anti","M","Stockholms län","1958","Man"
"Axelsson","Lennart","S","Örebro län","1952","Man"
"Bali","Hanif","M","Stockholms län","1987","Man"
"Baylan","Ibrahim","S","Stockholms län","1972","Man"
"Bengtsson","Angelika","SD","Stockholms kommun","1990","Kvinna"
"Bengtsson","Finn","M","Östergötlands län","1956","Man"
"Berg","Ulf","M","Dalarnas län","1957","Man"
"Berg Kjellin","Margareta","M","Gävleborgs län","1948","Kvinna"
"Bergheden","Sten","M","Västra Götalands läns östra","1965","Man"
"Bergman","Håkan","S","Örebro län","1954","Man"
"Bergstedt","Hannah","S","Norrbottens län","1977","Kvinna"
"Bergström","Stina","MP","Värmlands län","1958","Kvinna"
"Bieler","Paula","SD","Kalmar län","1988","Kvinna"
"Bill","Per","M","Uppsala län","1958","Man"
"Billström","Tobias","M","Malmö kommun","1973","Man"
"Bjälkö","Sara-Lena","SD","Örebro län","1976","Kvinna"
"Björck","Patrik","S","Västra Götalands läns östra","1957","Man"
"Björklund","Jan","FP","Stockholms län","1962","Man"
"Björling","Ewa","M","Stockholms län","1961","Kvinna"
"Bohlin","Carl-Oskar","M","Dalarnas län","1986","Man"
"Bolund","Per","MP","Stockholms kommun","1971","Man"
"Bouveng","Helena","M","Jönköpings län","1962","Kvinna"
"Bråkenhielm","Catharina","S","Västra Götalands läns västra","1956","Kvinna"
"Brännström","Katarina","M","Kronobergs län","1950","Kvinna"
"Bucht","Sven-Erik","S","Norrbottens län","1954","Man"
"Bylund","Linus","SD","Skåne läns norra och östra","1978","Man"
"Büser","Johan","S","Göteborgs kommun","1983","Man"
"Bäckström","Daniel","C","Värmlands län","1975","Man"
"Bäckström Johansson","Mattias","SD","Västernorrlands län","1985","Man"
"Börjesson","Agneta","MP","Hallands län","1957","Kvinna"
"Carlson","Andreas","KD","Jönköpings län","1987","Man"
"Carlsson i Hisings Backa","Gunilla","S","Göteborgs kommun","1966","Kvinna"
"Carlsson i Skövde","Ulrika","C","Västra Götalands läns östra","1965","Kvinna"
"Carlsson Löfdahl","Emma","FP","Jönköpings län","1970","Kvinna"
"Carvalho","Teresa","S","Östergötlands län","1984","Kvinna"
"Cederbratt","Mikael","M","Västra Götalands läns norra","1955","Man"
"Cederfelt","Margareta","M","Stockholms kommun","1959","Kvinna"
"Christensson","Fredrik","C","Västra Götalands läns västra","1991","Man"
"Coenraads","Åsa","M","Västmanlands län","1978","Kvinna"
"Dadgostar","Nooshi","V","Stockholms län","1985","Kvinna"
"Dahlqvist","Mikael","S","Värmlands län","1967","Man"
"Damberg","Mikael","S","Stockholms län","1971","Man"
"Damm","Sofia","KD","Skåne läns södra","1977","Kvinna"
