"2775"
"","185"
"grundskoleutredningens","1"
"finanser?","3"
"mjölkkvoterna","1"
"bältet","2"
"hybridaspar","1"
"visningar","1"
"sjukersättning","5"
"qaraqosh","1"
"abrupt","1"
"upprättas","2"
"upprättat","1"
"grundbelopp","1"
"förbättringen","3"
"nedläggningen","6"
"utslaget","1"
"energiöverenskommelsen","2"
"upprättad","1"
"stökigt","1"
""jämförelser","1"
"inkomstbortfallsprincip","4"
"kosta","46"
"anställningsskyddet","3"
"&","1"
"byggkostnaderna","2"
"häktats","1"
"skogsbruksfamilj","1"
"kl. 11","1"
"-","1060"
"förringade","1"
"körskola","3"
"0","1"
"1","136"
"sjukvårdslagstiftning","1"
"2","66"
"motiv?","1"
"3","47"
"biståndsmyndigheten","1"
"4","44"
"5","41"
"attentatet","2"
"6","30"
""obligatorium","1"
"7","14"
"stortinget","2"
"8","23"
"optimisterna","1"
"9","6"
"bekämpningsmedel","6"
"bussen","2"
"hemsedal","1"
"upphandlingsdelarna","1"
"attentaten","2"
"moget","1"
"flit","2"
"punktlighet","2"
"glada","26"
"tvärvillkorskontrollanter","1"
"ungdomslönerna","1"
"kulturskaparna","1"
"1000","1"
"170-260","3"
"trafikslag","11"
"skype","2"
"valfriheten","15"
"maskerade","1"
"förfrågningsunderlaget","2"
"skymma","1"
"mogen","1"
"karriär","20"
"a","9"
"b","11"
"c","2"
"miljöbränslen","1"
"okontroversiellt","1"
"g","2"
"i","2749"
"kväveutlakningen","1"
"1800-talet","3"
"sammanträffanden","1"
"m","1"
"170-250","2"
"o","6"
"biträder","1"
"r","8"
"hypotetisk","6"
"s","20"
"u","2"
"v","2"
"gruppvåldtäktssituationer","1"
"x","3"
"skiddestinationerna","1"
"information","106"
"straffpåföljden","1"
"kärnvapenarsenaler","1"
"degerfors","1"
"häktningstid","2"
"bussar","4"
"rekryteringar","3"
"kärnkraftsägarna","2"
"avvattna","1"
"nationalekonomer","3"
"läkarutbildning","1"
"artikelserie","1"
"industrikansler","2"
"myriad","1"
"nedläggningar","2"
"resurs","15"
"stickmyggsproblem","1"
"omringad","1"
"identifierats","1"
"fördelad","4"
"dementera","1"
"kapitalpåfyllnad","1"
"redigt","3"
"östasiatiska","1"
"rekryteringsprocesser","4"
"nyland","1"
"§","3"
"spotpriset","1"
